source_queue	volume	page	line	from_token	proposed_to_token	final_to_token	context_excerpt	support	decision	reason	evidence_tag	example_ref
possible_missed_google_readings	WtS 1-34	17	24	Dharmakirti	Dharmakīrti	Dharmakīrti	Chos kyi grags pa / Dharmakirti: Nyaya	google	promote	Google unresolved row and bibliographic Sanskrit proper-name context support exact normalisation.	google_unresolved_sanskrit_proper_name	wts_1_34:17:24
possible_missed_google_readings	WtS 35-51	18	73	Srävakas	Śrāvakas	Śrāvakas	die Srävakas Gautamas sind grausam	google	promote	Google unresolved row supports exact Sanskrit Buddhist term normalisation.	google_unresolved_sanskrit_term	wts_35_51:18:73
possible_missed_google_readings	WtS 35-51	73	20	saptotsadah	saptotsadaḥ	saptotsadaḥ	Lexical Sanskrit context near Toh/Mvy material	google	promote	Google unresolved row supports final visarga in Sanskrit term.	google_unresolved_sanskrit_term	wts_35_51:73:20
possible_missed_google_readings	WtS 35-51	73	69	Taksaka	Takṣaka	Takṣaka	Taksaka in Sanskrit proper-name list context	google	promote	Google unresolved row supports retroflex Sanskrit proper-name spelling.	google_unresolved_sanskrit_proper_name	wts_35_51:73:69
possible_missed_google_readings	WtS 35-51	164	19	sahasrikä	sāhasrikā	sāhasrikā	sahasrikä Prajiapäramitä	google	promote	Google unresolved row and Prajnaparamita title context support exact diacritic repair.	google_unresolved_sanskrit_diacritic	wts_35_51:164:19
possible_missed_google_readings	WtS 35-51	177	8	vrndah	vṛndaḥ	vṛndaḥ	Lexical Sanskrit context on Mahasamnipata page	google	promote	Google unresolved row supports vocalic r and visarga in Sanskrit term.	google_unresolved_sanskrit_term	wts_35_51:177:8
possible_missed_google_readings	WtS 35-51	177	32	Düramgamä	Dūramgamā	Dūramgamā	Düramgamä / Acalä title-name list context	mixed	promote	Google alternate supports the name; final form uses Sanskrit title/proper-name normalisation.	google_unresolved_sanskrit_proper_name	wts_35_51:177:32
possible_missed_google_readings	WtS 35-51	177	74	samnipätab	samnipātaḥ	samnipātaḥ	Mahäsamnipäta/Sanskrit title context	mixed	promote	Google row supports the family; final form uses language-knowledge normalisation to visarga.	google_unresolved_sanskrit_term	wts_35_51:177:74
possible_missed_google_readings	WtS 35-51	217	25	paräkarsayati	parākarṣayati	parākarṣayati	Sanskrit verb form in lexical context	google	promote	Google unresolved row supports macron and retroflex sibilant repair.	google_unresolved_sanskrit_term	wts_35_51:217:25
possible_missed_google_readings	WtS 9-m	198	76	tamala	tamāla	tamāla	tamala in Sanskrit lexical plant-name context	google	promote	Google unresolved row supports exact macron repair.	google_unresolved_sanskrit_term	wts_9_m:198:76
possible_missed_google_readings	WtS 9-m	229	69	Näga	Nāga	Nāga	Näga-König in proper-name context	google	promote	Google unresolved row supports exact Sanskrit proper-name spelling.	google_unresolved_sanskrit_proper_name	wts_9_m:229:69
possible_missed_google_readings	WtS 9-m	233	88	apadal	apadaḥ	apadaḥ	fußlos / apadal Sanskrit gloss context	mixed	promote	Google row supports the Sanskrit term; final form uses language-knowledge normalisation to visarga.	google_unresolved_sanskrit_term	wts_9_m:233:88
google_sanskrit_candidate_readings	WtS 35-51	177	32	Acalä	Acalā	Acalā	Acalä beside Düramgamä in title-name list context	google	promote	Google candidate and local title/proper-name context support exact final macron.	google_unresolved_sanskrit_proper_name	wts_35_51:177:32
google_sanskrit_candidate_readings	WtS 35-51	40	57	rakab	rakaḥ	rakaḥ	rakab in Sanskrit lexical context	mixed	promote	Google candidate supports final visarga; final form follows Sanskrit term normalisation.	google_unresolved_sanskrit_term	wts_35_51:40:57
google_sanskrit_candidate_readings	WtS 9-m	198	32	tamab	tamaḥ	tamaḥ	tamab in same lexical plant-name/term cluster as tamāla	mixed	promote	Google candidate supports final visarga; context is Sanskrit lexical material.	google_unresolved_sanskrit_term	wts_9_m:198:32
google_sanskrit_candidate_readings	WtS 9-m	198	74	tamäla	tamāla	tamāla	tamäla near tamala in Sanskrit lexical plant-name context	google	promote	Google candidate supports exact macron repair.	google_unresolved_sanskrit_term	wts_9_m:198:74
google_sanskrit_candidate_readings	WtS 9-m	52	3	mallikä	mallikā	mallikā	mallikä in Sanskrit lexical/proper-name context	google	promote	Google candidate supports exact final macron.	google_unresolved_sanskrit_term	wts_9_m:52:3
google_sanskrit_candidate_readings	WtS 9-m	285	17	Mära	Māra	Māra	Mära in Buddhist proper-name context	google	promote	Google candidate supports exact Sanskrit proper-name spelling.	google_unresolved_sanskrit_proper_name	wts_9_m:285:17
google_sanskrit_candidate_readings	WtS 35-51	18	51	Märas	Māras	Māras	Märas near Śrāvakas/Gautama Buddhist context	google	promote	Google candidate supports exact Sanskrit proper-name spelling.	google_unresolved_sanskrit_proper_name	wts_35_51:18:51
google_sanskrit_candidate_readings	WtS 35-51	164	9	Ahalyä	Ahalyā	Ahalyā	Ahalyä in Sanskrit proper-name/title context	google	promote	Google candidate supports exact final macron.	google_unresolved_sanskrit_proper_name	wts_35_51:164:9
google_sanskrit_candidate_readings	WtS 35-51	177	25;31	meläpaka	melāpaka	melāpaka	meläpaka in Mahasamnipata lexical/title cluster	google	promote	Google candidate supports exact macron repair in repeated Sanskrit term.	google_unresolved_sanskrit_term	wts_35_51:177:25;wts_35_51:177:31
google_sanskrit_candidate_readings	WtS 35-51	177	28;33	upameläpaka	upamelāpaka	upamelāpaka	upameläpaka in Mahasamnipata lexical/title cluster	google	promote	Google candidate supports exact macron repair in repeated Sanskrit term.	google_unresolved_sanskrit_term	wts_35_51:177:28;wts_35_51:177:33
google_sanskrit_candidate_readings	WtS 35-51	177	28	smasäna	śmaśāna	śmaśāna	smasäna in Mahasamnipata lexical/title cluster	mixed	promote	Google candidate supports Sanskrit reading; final form uses standard śmaśāna normalisation.	google_unresolved_sanskrit_term	wts_35_51:177:28
all_sanskrit_review_suggestions	WtS 8-b	353	6	indriyaparāparajnānabalam	indriyaparāparajñānabalam	indriyaparāparajñānabalam	indriyaparāparajnānabalam in stobs/bala technical-term context	review_queue	promote	Exact jñ-family technical term in Sanskrit/Tibetan gloss context.	review_queue_sanskrit_jn_family	wts_8_b:353:6
all_sanskrit_review_suggestions	WtS 9-m	258	81	Jnānagarbha	Jñānagarbha	Jñānagarbha	Jnānagarbha proper-name context	review_queue	promote	Exact Buddhist proper name; no general jn rule added.	review_queue_sanskrit_proper_name	wts_9_m:258:81
all_sanskrit_review_suggestions	WtS 1-34	1206	87	Prajnāpā	Prajñāpā	Prajñāpā	Prajnāpā- in Prajnaparamita title family context	existing_family	promote	Exact Prajnaparamita-family title fragment in reviewed context.	prajna_jn_family_exact_context	wts_1_34:1206:87
all_sanskrit_review_suggestions	WtS 35-51;WtS 8-b	139;365	15;27	Prajnāpāra	Prajñāpāra	Prajñāpāra	Prajnāpāra- in Prajnaparamita title family context	existing_family	promote	Exact Prajnaparamita-family title fragment in reviewed contexts.	prajna_jn_family_exact_context	wts_35_51:139:15;wts_8_b:365:27
all_sanskrit_review_suggestions	WtS 9-m	394	82	vādavidhijnena	vādavidhijñena	vādavidhijñena	vādavidhijnena in Sanskrit technical-term context	review_queue	promote	Exact jñ-family technical term in Sanskrit context.	review_queue_sanskrit_jn_family	wts_9_m:394:82
all_sanskrit_review_suggestions	WtS 8-b	42	62	sarvajnatāpragbhārab	sarvajñatāpragbhārab	sarvajñatāpragbhārab	sarvajnatāpragbhārab in Buddhist technical-term context	review_queue	promote	Exact sarvajñatā-family correction; remaining OCR damage left untouched.	review_queue_sanskrit_jn_family	wts_8_b:42:62
