source_token	suggested_token	source_count	suggested_count	edit_distance	confidence	ambiguous	example
bā	ba	2	589	0	medium	0	མ་ཧཱ་ ma bā groß, skt. maha°.
$a	sa	7	151	0	medium	0	ma $a aus Eisen und ma $a aus Kupfer sind
dziṅ	dzin	2	85	0	medium	0	1: 279,4); spun dgra — dkyilgri dziṅ gi dnag
bźir	ba'i	2	68	2	medium	0	phyogs bźir sans rgyas mamskyis ni / byin gyis
mkho	mkhan	2	66	2	medium	1	na / smad par our Ziri mkho bar mi 'gur
dbwi	dbaṅ	2	47	2	medium	1	ya ki dbwi lcari lo nas / ma ki Zabs kyi lon
roin$	rmoṅs	2	45	2	medium	1	"sagt:"" (RoIN$ 20,7); lha khani geig tu dul ba'i"
khuns	khams	2	44	2	medium	1	"dan khuns — chod pa yin 'dug ""es wurde nicht"
phons	phyogs	2	42	2	medium	1	"— phons pa la / sbyin gton bgyid ""er hat den"
phyins	phyogs	2	42	2	medium	0	"pa'am 'phyins pa bsal ba'i don ""steht auch als"
$in	siṅ	6	37	0	medium	0	"230,19); $in tu —na ...gokarnayodpa ""derin"
mthol	mchog	2	36	2	medium	1	"gesungen"" (Nel 4b2); — 'chab — sbed mthol"
tses	thos	2	32	2	medium	1	"Tempel]"" (Nel 1246); rgya — kon tses bsoyur"
bhul	bdun	2	29	2	medium	1	"Lager an der Brücke auf"" (Bhul.g 98,11);"
tskh	tshe	2	26	2	medium	1	"heraus"" (TsKh 13: 418,3)."
gźng	gcig	2	22	2	medium	1	"schützen"" (Udr 21,19); nad pas ~ gźng pa'i"
mthil	mtha'	2	22	2	medium	1	mthil gnas pa Itar / dge slonn — yis mthon
māgha	mtha'	2	22	2	medium	0	am māgha Bez. für den Monat mchu, vgl.
$en	seṅ	1	21	0	medium	0	kam, floh der Kaiser Tha'i dzun nach $en-
gañs	gyis	1	20	2	medium	1	"die anderen Gift"" (Tär 119,4); gañs chu / klut"
$u	su	1	18	0	medium	0	"näht haben"" (brDa); — nas $u ba 'thog pa ni"
dzā	dza	2	17	0	medium	0	མ་མོ་ཨི་ཀ་ཛཱ་ཏེ་ ma mo e ka dzā ti npr. eine
tshañs	tshogs	1	16	2	medium	1	196b2); tshañs pa'i gtso / ~ ni mgon btsun
bskon	bskal	2	15	2	medium	1	des dpun gi tshogs ... go bskon te / yul — gZom
g$en	gtsaṅ	2	12	2	medium	1	"9.3/// mtsho bya bar (bjtags (metr.) ""[g$en-"
glañ	gtsaṅ	1	12	2	medium	1	(MigTo 103,17); mo yin na lcan ma glañ mi
graṅ	gtsaṅ	2	12	2	medium	1	མིན་གྲང་ min graṅ
gśam	gtsaṅ	2	12	2	medium	1	myig) lo ba'am mo Sam (v.]. gśam)
