family_key	canonical	family_total	variant_count	non_canonical_total	confidence	top_variants	example_line
aksobhya	Aksobhya	14	2	5	high	Aksobhya:9 | aksobhya:5	2. npr. cin Buddha, skt. Aksobhya.
snan	snaṅ	6	2	2	high	snaṅ:4 | sñan:2	Lex. nam mkha' (brDa); —r snaṅ = nam
vaisravana	Vaiśravana	3	2	1	high	Vaiśravana:2 | Vaiśravaṇa:1	Reichtumsgottes Vaiśravana.
sravakas	Śrāvakas	2	2	1	medium	śrävakas:1 | Śrāvakas:1	in [das Fahrzeug] der śrävakas eingetreten
sravasti	Śrāvastī	2	2	1	medium	śrävasti:1 | Śrāvastī:1	dha luden den edlen śinaväsika aus Śrāvastī
aksobhyavarna	Aksobhyavarna	2	2	1	low	aksobhyavarna:1 | Aksobhyavarna:1	Lex. aksobhyavarna (Bhad 642).
gsam	gśam	2	2	1	low	gśam:1 | gsam:1	ba'am mo Sam (¥, ], gsam) = vandhyah (Mvy
isvara	Isvara	2	2	1	low	Isvara:1 | ISvara:1	"Lex. dban phyug la'an ""auch für ISvara"""
isvaras	Iśvaras	2	2	1	low	Iśvaras:1 | Isvaras:1	"sna'i min ""Bez. für den älteren Sohn Iśvaras,"
mataramgara	mātaramgara	2	2	1	low	mātaramgara:1 | Mātaramgara:1	"hat"", für skt. Mātaramgara, vgl. Irma"
mnam	mñam	2	2	1	low	mñam:1 | mnam:1	"mnam ""tefliegend"" (Mvy 5276); sina = — ba"
sadhya	sādhya	2	2	1	low	sādhya:1 | Sādhya:1	Silbe miam auf dem Bauchnabel des Sādhya,
sastras	śästras	2	2	1	low	śästras:1 | Śästras:1	"tras, Upadesas, Śästras usw."" (Nigu 41,3);"
suddhaavasagottheiten	suddhāavāsa-Gottheiten	2	2	1	low	suddhāavāsa-Gottheiten:1 | suddhāavasa-Gottheiten:1	fünf suddhāavasa-Gottheiten, uncl die Welt,
bodhisattva	Bodhisattva	21	1	0	none	Bodhisattva:21	"— = acyutābhijiiab ""[ein Bodhisattva,] des-"
bodhisattvas	Bodhisattvas	13	1	0	none	Bodhisattvas:13	"mahäyändcyutäb ""[Bodhisattvas,] die nicht"
gnis	gñis	9	1	0	none	gñis:9	(Dagy);burdzi ~ dan 'dzin ma dan ma gñis
