tibetan_syllable	normalized_source_variant	source_variants_and_counts	proposed_target	candidate_count	dominant_count	damaged_count	insufficient_count	competing_count	structure_mismatch_count	marker_attached_count	accepted_form_evidence	volumes
ཀང	kan	kan:21	kaṅ	21	0	1	20	0	0	0	1	wts_1_34
ཅང	can	can:13	caṅ	13	0	2	11	0	0	0	1	wts_1_34
སྙིང	sin	sin:13	siṅ	13	0	0	0	13	0	0	3	wts_1_34
གླེང	glen	glen:12	gleṅ	12	0	1	0	11	0	0	1	wts_1_34
གློང	gron	gron:11	groṅ	11	0	0	0	0	11	0	1	wts_1_34
ཀྱོང	gyon	gyon:7	gyoṅ	7	0	0	7	0	0	0	1	wts_1_34
ཞེང	zen	Zen:4	zeṅ	4	0	0	0	4	0	0	1	wts_1_34
འཆེང	chin	chin:3	chiṅ	3	0	0	3	0	0	0	1	wts_1_34
ཁོང	khon	Khon:1; khon:1	khoṅ	2	1	1	0	0	0	0	27	wts_1_34
གཡང	g.yan	g.yan:2	g.yaṅ	2	0	0	2	0	0	0	1	wts_35_51;wts_9_m
དྲང	dran	dran:2	draṅ	2	0	2	0	0	0	0	43	wts_1_34
མཇིང	mjin	mjin:2	mjiṅ	2	0	0	2	0	0	0	1	wts_1_34
མདོང	mdon	mdon:2	mdoṅ	2	0	0	2	0	0	0	1	wts_1_34
འབྱང	byun	byun:2	byuṅ	2	0	0	2	0	0	0	1	wts_1_34
ཤང	san	San:2	Saṅ	2	0	0	0	2	0	0	1	wts_1_34
སྲང	srun	srun:2	sruṅ	2	0	0	0	2	0	0	1	wts_1_34
ཧང	han	han:2	haṅ	2	0	0	2	0	0	0	1	wts_1_34
ཀློང	klon	klon:1	kloṅ	1	0	1	0	0	0	0	22	wts_1_34
གཅུང	gcun	gcun:1	gcuṅ	1	0	0	1	0	0	0	1	wts_1_34
གཏང	gtan	gtan:1	gtaṅ	1	0	1	0	0	0	0	10	wts_1_34
གསུང	gsun	gsun:1	gsuṅ	1	1	0	0	0	0	0	10	wts_1_34
ཐྲང	than	than:1	thaṅ	1	0	0	0	0	1	0	1	wts_1_34
དགུང	dgun	dgun:1	dguṅ	1	0	1	0	0	0	0	10	wts_1_34
པྲང	bran	bran:1	braṅ	1	0	0	1	0	0	0	1	wts_1_34
བབཟུང	bzun	bzun:1	bzuṅ	1	0	0	1	0	0	0	1	wts_1_34
བསྐྱེང	bskyen	bskyen:1	bskyeṅ	1	0	0	1	0	0	0	1	wts_1_34
མཐང	mthon	mthon:1	mthoṅ	1	0	0	1	0	0	0	1	wts_1_34
མེང	min	min:1	miṅ	1	0	0	0	1	0	0	2	wts_1_34
མྐྱོང	myon	myon:1	myoṅ	1	0	0	1	0	0	0	1	wts_1_34
རྐྱོང	rkyon	rkyon:1	rkyoṅ	1	0	0	1	0	0	0	1	wts_1_34
རྱོང	myon	myon:1	myoṅ	1	0	0	0	1	0	0	2	wts_1_34
སྒོང	sgon	sgon:1	sgoṅ	1	0	1	0	0	0	0	9	wts_1_34
སྡིང	sdin	sdih:1	sdiṅ	1	0	0	1	0	0	0	1	wts_35_51
སྡེང	sden	sden:1	sdeṅ	1	0	0	1	0	0	0	1	wts_1_34
