family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
guarded_dollar_to_sacute:s:s	guarded_dollar_to_sacute	$ (171)	ś (171)	171	1	wts_9_m:4:15; wts_9_m:9:83; wts_9_m:11:85; wts_9_m:11:87; wts_9_m:15:53	"Iranistik 19, $. 109-122. || bisun mo ... 0?7/$ — dga’ nas ""seine beiden Ge- || (Vdk-M 157,2); bu 9)7/$ dwa ru — bZag dan"	guarded_dollar_scan:171	low:171	defer
unknown:rol:rol	unknown	rol (20)	Rol (20)	20	1	wts_9_m:96:57; wts_9_m:147:64; wts_9_m:160:20; wts_9_m:178:45; wts_9_m:185:75	"par rol pa ""VPhags-pa 'Jig-rten dban-phyug, || rol phyin ba 'di (metr.) ""wenn sie ohne die || dan smigrgyu dan $,07/// ma'i pha rol tu phyin"			siglum_policy_review
unknown:ins:ins	unknown	ins (19)	Ins (19)	19	1	wts_9_m:31:84; wts_9_m:123:49; wts_9_m:205:3; wts_9_m:205:43; wts_9_m:208:40	"ins Ohr]"" (Hipp 225,6). || sechs Dialektikern, ins Verderben gestürzt"" || gestattet sind, ins Feuer springen"" (Vdk-M"			siglum_policy_review
unknown:lis:lis	unknown	Lis (12), Li$ (3), LIS (1), LiS (1)	Liś (17)	17	1	wts_9_m:317:71; wts_9_m:102:74; wts_9_m:121:6; wts_9_m:133:69; wts_9_m:178:14	"AA_LIS_LY )- /...- . || mi Zum ""unerschrocken, kühn"" (Lis 16,3). || Lex. mi nas ni — dam rim nad (Li$ 24,9)."			siglum_policy_review
unknown:gs-h:gs-h	unknown	GS-H (5), G$-H (2), Gs-H (2)	Gś-H (9)	9	1	wts_9_m:7:49; wts_9_m:143:85; wts_9_m:173:14; wts_9_m:211:27; wts_9_m:233:9	"(GS-H 6la); rin chen sgron — mams kyani || se Diener, ungezähmte Pferde"" (G$-H 58); || schlechten Menschen zusanimen ist"" (G$-H"			siglum_policy_review
unknown:gz1:gzi	unknown	gZ1 (7)	gZi (7)	7	1	wts_9_m:58:46; wts_9_m:136:33; wts_9_m:178:70; wts_9_m:231:10; wts_9_m:306:66	"andere Lasttiere"" (gZ1 3: 762,2). || des] Land gereist"" (gZ1 4: 475,4); bar — rgya || tiere entfernt"" (gZ1 2: 206,3)."			siglum_policy_review
unknown:vist:vist	unknown	VisṬ (3), VisT (2), Vi$T (1), ViST (1)	ViśT (7)	7	1	wts_9_m:52:35; wts_9_m:52:35; wts_9_m:198:26; wts_9_m:198:26; wts_9_m:233:40	"vorgebracht habe"" (VisT' 112,20); rnam par || stalt von sattva, rajas und tamas hat"" (VisT"			siglum_policy_review
dngos_family:dnos:dṅos	dngos_family	dnos (6)	dṅos (6)	6	1	wts_9_m:68:2; wts_9_m:143:10; wts_9_m:190:77; wts_9_m:229:33; wts_9_m:233:35	Lex. la sogs pa = dnos su gsal por ma ston par || _ la gser gym ... sogs dnos po' rigs tshon || sa' dnos gi tsbig don griis ka — la soxs	google_blocked_wrong_target_plus_language_knowledge:5, google_unresolved_plus_language_knowledge:1	medium:3, high:3	review
unknown:lsdz:lsdz	unknown	L$dz (3), Lsdz (3)	Lśdz (6)	6	1	wts_9_m:10:80; wts_9_m:14:43; wts_9_m:169:61; wts_9_m:200:16; wts_9_m:211:57	"Gelübde nicht"" (L$dz 150,1); Iha khani yon || Mittel und Weisheit"" (L$dz 84,6); 'bum pa || Geschwister geboren"" (L$dz 26,5)."			siglum_policy_review
citation_or_siglum:bzin:bzin	citation_or_siglum	bZin (5)	bZin (5)	5	1	wts_9_m:211:74; wts_9_m:229:26; wts_9_m:229:83; wts_9_m:232:58; wts_9_m:233:42	"pa bZin (metr.) ""es war so, als ob die Erde als || du ni ran bZin — (metr.) ""in der absolu- || (r. na tsho) zug gzer la rañ bZin ~ ""die Qualen"	siglum_shape:5	policy:5	already_canonical_siglum
