reason	base_token	alternate_token	count	volume_count	sample_refs	sample_contexts
alternate_witness_google_loc_nasal_upgrade	dan	daṅ	140	1	wts_9_m:6:43; wts_9_m:8:91; wts_9_m:15:25; wts_9_m:20:64; wts_9_m:22:48	ba' srun ma dan / byad — de bZin srin po || mi phyed — dan / phra gzugs — dan / rtse ba || pha spre'u dan / — brag srin mo las chad (r.
alternate_witness_initial_i_to_l_translit	Ita	lta	103	1	wts_9_m:7:37; wts_9_m:18:75; wts_9_m:45:11; wts_9_m:47:26; wts_9_m:49:69	"45,15); skran phur — Ita bur 'dug pa ""Tumo- || Lex. yul — na Ita bu ""wie: in dem Land da || Zes pa Ita bu 'das pa dan / ma 'ons pa na sanis"
alternate_witness_initial_i_to_l_translit	Iha	lha	54	1	wts_9_m:5:4; wts_9_m:6:34; wts_9_m:8:83; wts_9_m:10:3; wts_9_m:10:80	"— ni Iha mo gos dkar mo (metr.) ""ma ist die || boren"" (Dzl 273,6); Iha mo 'phrog — 'khor || ston Iha za mtshan drug — (metr.) ""[du]"
alternate_witness_initial_i_to_l_translit	Ina	lṅa	20	1	wts_9_m:7:87; wts_9_m:104:6; wts_9_m:104:69; wts_9_m:121:16; wts_9_m:143:77	"sñigs ~ Ina po ""die fünffache Degeneration"" || mthus go chod par byun — sum cu so Ina son || kyi rdel Ina Kalku-"
alternate_witness_initial_i_to_l_translit	Idan	ldan	15	1	wts_9_m:6:54; wts_9_m:6:84; wts_9_m:42:40; wts_9_m:58:39; wts_9_m:63:81	"ten Lächeln"" (Nägn 49,5); brtse Idan — yi || 1222); klu mo mdzes Idan — ""die klu mo || dari Idan pa 'ba' zig tn yari — kyi / chos sgrogs"
alternate_witness_google_loc_fricative_upgrade	zes	źes	14	1	wts_9_m:18:2; wts_9_m:18:27; wts_9_m:68:70; wts_9_m:68:71; wts_9_m:98:86	la gtogs pa bram ze dbyar tshul zes bya ba || su ///5)/// zes bya bas dpal na landä'i gnas su || Lex. — ston ni dbus par la — ldon zes 7?7//7? bas
alternate_witness_google_loc_nasal_upgrade	bzan	bzaṅ	14	1	wts_9_m:56:31; wts_9_m:60:21; wts_9_m:72:16; wts_9_m:80:9; wts_9_m:245:92	"rgyal po -""idussu ... gnas gZi bzan po Zigphul || bzan po la / brag brtsegs — na nor ""phel 'gur || ren Glauben"" (Sdr 129,1); 'di kun tu bzan po"
alternate_witness_citation_siglum	Lis	Liś	12	1	wts_9_m:102:74; wts_9_m:133:69; wts_9_m:178:14; wts_9_m:262:64; wts_9_m:313:8	"mi Zum ""unerschrocken, kühn"" (Lis 16,3). || lich, unangenehm"" (Lis 17,11); — gze = drag || thug (Lis 12,10, KlonD 725,3); -r thugpa ="
alternate_witness_google_loc_nasal_upgrade	snan	snaṅ	11	1	wts_9_m:120:64; wts_9_m:219:19; wts_9_m:272:68; wts_9_m:298:6; wts_9_m:312:30	"pa mams kyi snan ba la ""nach Ansicht der || Lex. dbal ni ... ༡)76 '/ drod ni snan fio ""Feuer- || Zan snan gis / sum khans thams sad 'bans"
alternate_witness_google_loc_nasal_upgrade	gron	groṅ	10	1	wts_9_m:6:19; wts_9_m:68:54; wts_9_m:102:85; wts_9_m:200:54; wts_9_m:200:57	"1); gron pa'i bu mo dga' mo dan dea' stobs || — pi gron du byon pa na ""als der Mönch in || Lex. gron dan gron khyer la'an ""Dorf und"
alternate_witness_initial_i_to_l_translit	Ihan	lhan	9	1	wts_9_m:5:33; wts_9_m:58:56; wts_9_m:79:73; wts_9_m:168:16; wts_9_m:173:12	"(K6 da 21747); rig — Ihan cig goms byas pas || — na yari dag skyes dan / Ihan gcig skyes na || — dan Ihan cig ... sbar te ""man zünde sie zu-"
alternate_witness_google_loc_fricative_upgrade	gsegs	gśegs	9	1	wts_9_m:18:22; wts_9_m:60:82; wts_9_m:102:40; wts_9_m:135:91; wts_9_m:187:2	"(LbAmz 53,3); de bZin gsegs pa'i riri bsrel ~i || mtshur phu 'jamdbyans gu sri ba'i gsegs rdeon || [usw.]"" (Suv 4,5); de bin gsegs pa —'! Zal"
alternate_witness_google_loc_nasal_upgrade	man	mañ	9	1	wts_9_m:62:3; wts_9_m:126:13; wts_9_m:169:77; wts_9_m:208:10; wts_9_m:208:17	"oder weniger: man ñun re"" (Be'uD 225,6). || Lex. mi grans man nun gi 'bor ""eine Menge || byun ste / dge bsrien ga' Zig mi — / man po"
alternate_witness_google_loc_nasal_upgrade	nid	ñid	9	1	wts_9_m:72:45; wts_9_m:91:7; wts_9_m:104:37; wts_9_m:128:30; wts_9_m:138:62	"796,1); de — du slob dpon nid kyis 'grel ba || 08); de de bin gśegs pa la chos nid du yan || bare Glückseligkeit"" (Debh 695,3); chos nid"
alternate_witness_initial_i_to_l_translit	Ihun	lhun	8	1	wts_9_m:20:3; wts_9_m:49:60; wts_9_m:50:38; wts_9_m:52:57; wts_9_m:109:2	Ihun grub dpal bzari gis / zani zan brag nas — || gis pbyogs Ihun gi dbani gis bzed don la bar || char) gyis Ihun po dan mtshwis mdzes pa 'dzin
alternate_witness_citation_siglum	gZ1	gZi	7	1	wts_9_m:58:46; wts_9_m:136:33; wts_9_m:178:70; wts_9_m:231:10; wts_9_m:306:66	"andere Lasttiere"" (gZ1 3: 762,2). || des] Land gereist"" (gZ1 4: 475,4); bar — rgya || tiere entfernt"" (gZ1 2: 206,3)."
alternate_witness_google_loc_nasal_upgrade	spon	spoṅ	7	1	wts_9_m:100:76; wts_9_m:100:85; wts_9_m:125:52; wts_9_m:130:18; wts_9_m:213:54	"khrims kyis ... mi khom brgyad spon de yi dal || cad spon gyur cig / mi khom brgyad po dag las || spon Zinn ... de bkren ses par bya (metr.) ""den"
alternate_witness_google_loc_fricative_upgrade	bsad	bśad	7	1	wts_9_m:117:27; wts_9_m:126:61; wts_9_m:135:76; wts_9_m:232:19; wts_9_m:344:57	"nen"" (AA 3.3d); deyimi mthun phyogs bsad || — man po la phan thogs / chos bsad / sdom || phag dan ni / — mi thun dan ... Zes bsad pa'i"
alternate_witness_google_loc_nasal_upgrade	ston	stoṅ	7	1	wts_9_m:128:34; wts_9_m:130:66; wts_9_m:138:83; wts_9_m:214:70; wts_9_m:289:61	(Mvy 948, Abt. ston pa ben broyad kyi min; || gi mdo med pa'i cha myon — ston zad du sor || brtsi ba'i min); — pa'i chad pa'am ston (v.).
alternate_witness_google_loc_nasal_upgrade	dban	dbaṅ	7	1	wts_9_m:135:30; wts_9_m:161:72; wts_9_m:214:63; wts_9_m:236:27; wts_9_m:286:19	་ཡི་དབང་པོ་ miyi dbaṅ po tmi dban. || lin tog dari — la sogs pa ni dban po lagnas pa || Lex. 'dod lha bdud dga' rab dban phyue
alternate_witness_google_loc_nasal_upgrade	bzun	bzuṅ	6	1	wts_9_m:28:62; wts_9_m:80:71; wts_9_m:137:35; wts_9_m:173:34; wts_9_m:214:23	"rd nos bzun ste ""sie schen den Anavatapta || 28.23); —' tshes geig nas bzun ste (merr.) || dzu 706 pa nas bzun ste — beu grüis kyi bar"
alternate_witness_google_loc_nasal_upgrade	sten	steṅ	6	1	wts_9_m:37:69; wts_9_m:61:57; wts_9_m:61:57; wts_9_m:183:64; wts_9_m:229:70	(gZi 4: 143,6); sten phyogs ~i skon mdos || sten lus sten gi khrinxs) skabs dan bstun pa'i
alternate_witness_google_loc_nasal_upgrade	gton	gtoṅ	6	1	wts_9_m:79:10; wts_9_m:121:68; wts_9_m:171:60; wts_9_m:252:12; wts_9_m:281:10	"du la byas nas gtonis (r. gton) ""man ver- || khral dan 'u lag dgos pa' lun gton ba dari || dgon khag gton sgo'i (mi)tshon byins la won"
alternate_witness_google_loc_nasal_upgrade	ran	raṅ	6	1	wts_9_m:120:13; wts_9_m:236:86; wts_9_m:268:35; wts_9_m:312:27; wts_9_m:379:79	"ran yon ma rian pa dan ""die Gemeinden soll- || Zes brjod pa'i sgras ran gi dgag bya bkay Sul || 9.44d); sems can ran bZin — (metr.) ""daher"
