volume	page	line	token_index	tibetan_syllable	current_latin_token	integrity_status	integrity_pass	known_feature_violation	feature_coverage	transcription_gateway_status	transcription_exception_status	transcription_exception_scope	alignment_confidence	headword_transliteration_span_status	token_start	token_end	preceding_character	following_character	token_boundary_status	expected_high_confidence_features	observed_features	violated_rules	canonical_full_target	canonical_target_evidence	domain_context	damage_scope	marker_attached	context_excerpt
wts_9_m	6	1	1	ན	ma	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	4	6	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	ན།་ ma
wts_9_m	6	71	2	པབ	metr	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	10	14	(	.	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"dakki པབ (metr.) ""[ihr] Däkinis, Emanatio-"
wts_9_m	7	1	1	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	4	6	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	མ།་ ma
wts_9_m	14	48	1	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	5	7	""""		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"མ།་ ""ma"
wts_9_m	16	1	1	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	4	6	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	མ།་ ma
wts_9_m	16	14	1	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	7	9	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	མ་ཀཱི་ ma kī npr. eine weibliche Gottheit, skt. Mmali
wts_9_m	16	14	2	ཀཱི	kī	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	10	12	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	མ་ཀཱི་ ma kī npr. eine weibliche Gottheit, skt. Mmali
wts_9_m	16	25	1	མ	makura	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	8	14	 	 	token_boundary_secure						sanskrit_or_indic_transcription	none	no	མ་ཀུ་ར་ makura Spiegel; skt. makura.
wts_9_m	16	25	2	ཀུ	Spiegel	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	15	22	 	;	token_boundary_secure						sanskrit_or_indic_transcription	none	no	མ་ཀུ་ར་ makura Spiegel; skt. makura.
wts_9_m	16	25	3	ར	skt	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	24	27	 	.	token_boundary_secure						sanskrit_or_indic_transcription	none	no	མ་ཀུ་ར་ makura Spiegel; skt. makura.
wts_9_m	16	27	1	མ	makena	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	8	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	མ་ཀེ་ན་ makena Ime ge na.
wts_9_m	16	27	2	ཀེ	Ime	marker_or_damage	no	yes	none	blocked			marker_or_damage	probable_span	15	18	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	yes	མ་ཀེ་ན་ makena Ime ge na.
wts_9_m	16	27	3	ན	ge	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	19	21	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	མ་ཀེ་ན་ makena Ime ge na.
wts_9_m	16	31	1	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	མ་ཀླས་ ma klas auch ma glas Verachtung, Ge-
wts_9_m	16	31	2	ཀླས	klas	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	10	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	མ་ཀླས་ ma klas auch ma glas Verachtung, Ge-
wts_9_m	16	36	1	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	probable_span	13	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	མ་སྐྱེས་དགྲ་ ma skyes dera
