source_queue	volume	page	line	token_index	source_token	proposed_canon	work_title	intro_line_ref	status	context_excerpt	suggested_action
corrected_text_scan	wts_9_m	31	84		ins	Ins	Inscription sources	abbr_lit_2	active	"ins Ohr]"" (Hipp 225,6)."	siglum_policy_review
corrected_text_scan	wts_9_m	33	68		gzi	gZi	gZi siglum	abbr_lit_4	active	gros bzi (r. gzi) chen mtsho mo la / ma paṅ	siglum_policy_review
corrected_text_scan	wts_9_m	96	57		rol	Rol	Rol siglum	abbr_lit_4	active	"par rol pa ""VPhags-pa 'Jig-rten dban-phyug,"	siglum_policy_review
corrected_text_scan	wts_9_m	115	23		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	"gs bsgribs (metr.) ""in des Himmels Unbe-"	siglum_policy_review
corrected_text_scan	wts_9_m	123	49		ins	Ins	Inscription sources	abbr_lit_2	active	"sechs Dialektikern, ins Verderben gestürzt"""	siglum_policy_review
corrected_text_scan	wts_9_m	147	64		rol	Rol	Rol siglum	abbr_lit_4	active	"rol phyin ba 'di (metr.) ""wenn sie ohne die"	siglum_policy_review
corrected_text_scan	wts_9_m	160	20		rol	Rol	Rol siglum	abbr_lit_4	active	dan smigrgyu dan $,07/// ma'i pha rol tu phyin	siglum_policy_review
corrected_text_scan	wts_9_m	178	45		rol	Rol	Rol siglum	abbr_lit_4	active	5020, Abt. rol moi cha byad kyi min).	siglum_policy_review
corrected_text_scan	wts_9_m	185	75		rol	Rol	Rol siglum	abbr_lit_4	active	"wurden"" (1SK 1: 215,3,4); phyi rol — pa"	siglum_policy_review
corrected_text_scan	wts_9_m	186	8		rol	Rol	Rol siglum	abbr_lit_4	active	56,3); phyi rol — pa la gnas skabs kyi bde ba	siglum_policy_review
corrected_text_scan	wts_9_m	187	28		rol	Rol	Rol siglum	abbr_lit_4	active	Inps can zphyi rol pa'i rtags can lta bu (brDa);	siglum_policy_review
corrected_text_scan	wts_9_m	188	5		rol	Rol	Rol siglum	abbr_lit_4	active	"usw."" (brDa); phyi rol pa äig ste bye brag pa"	siglum_policy_review
corrected_text_scan	wts_9_m	205	3		ins	Ins	Inscription sources	abbr_lit_2	active	"gestattet sind, ins Feuer springen"" (Vdk-M"	siglum_policy_review
corrected_text_scan	wts_9_m	205	43		ins	Ins	Inscription sources	abbr_lit_2	active	"Zugs ""ins Feuer gehen"" (116 40,15); —s mi"	siglum_policy_review
corrected_text_scan	wts_9_m	205	63		Viś	Vis	Vis source	abbr_lit_2	active	"brannt"" (Viś 19a); dod chags dan / Ze sdani"	siglum_policy_review
corrected_text_scan	wts_9_m	208	40		ins	Ins	Inscription sources	abbr_lit_2	active	"tativ ins Feuerelement versenken"" (Anav I:"	siglum_policy_review
corrected_text_scan	wts_9_m	235	40		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. chad par lta ba spyi dan phyi rol pa'i	siglum_policy_review
corrected_text_scan	wts_9_m	235	76		Viś	Vis	Vis source	abbr_lit_2	active	"der Mond unweigerlich verschluckt"" (Viś"	siglum_policy_review
corrected_text_scan	wts_9_m	246	28		ins	Ins	Inscription sources	abbr_lit_2	active	"ins Tibetische übersetzt"" (MigTo 309,25)."	siglum_policy_review
corrected_text_scan	wts_9_m	247	92		ins	Ins	Inscription sources	abbr_lit_2	active	"Schwein-Jahr ging er ins Nirvāṇa ein"" (KTh"	siglum_policy_review
corrected_text_scan	wts_9_m	253	21		gzi	gZi	gZi siglum	abbr_lit_4	active	TAX ༠༩ po ri npr. Lokalgottheit (gzi	siglum_policy_review
corrected_text_scan	wts_9_m	253	40		gzi	gZi	gZi siglum	abbr_lit_4	active	Lex. mogpor byed, mogmogpa = gzi byin med	siglum_policy_review
corrected_text_scan	wts_9_m	262	74		gs	Gs	rGyud sde kun btus	abbr_lit_1	active	Lex. — pa = bka' mol gnani ba'am gs wos	siglum_policy_review
corrected_text_scan	wts_9_m	267	38		ins	Ins	Inscription sources	abbr_lit_2	active	"ins Nirvāṇa zu verkünden"" (Liyl 173a7);"	siglum_policy_review
corrected_text_scan	wts_9_m	267	56		ins	Ins	Inscription sources	abbr_lit_2	active	"""[die Bitte,] nicht ins Nirvāṇa einzugehen,"	siglum_policy_review
corrected_text_scan	wts_9_m	267	60		ins	Ins	Inscription sources	abbr_lit_2	active	"ging er ins Nirvāṇa ein"" (KTh 1: 387,5)."	siglum_policy_review
corrected_text_scan	wts_9_m	267	82		ins	Ins	Inscription sources	abbr_lit_2	active	"er selbst ins Nirvāṇa eingegangen ist"" (Rgs"	siglum_policy_review
corrected_text_scan	wts_9_m	268	21		ins	Ins	Inscription sources	abbr_lit_2	active	mens Siddhārtha, der ins Nirvāṇa eingegan-	siglum_policy_review
corrected_text_scan	wts_9_m	268	50		ins	Ins	Inscription sources	abbr_lit_2	active	"rer ins Nirvāṇa eingegangen ist"" (Nel 252);"	siglum_policy_review
corrected_text_scan	wts_9_m	268	51		rol	Rol	Rol siglum	abbr_lit_4	active	tshu rol gi 'gram 'jig(s} tsbogs nas pha rol	siglum_policy_review
corrected_text_scan	wts_9_m	268	51		rol	Rol	Rol siglum	abbr_lit_4	active	tshu rol gi 'gram 'jig(s} tsbogs nas pha rol	siglum_policy_review
corrected_text_scan	wts_9_m	268	57		ins	Ins	Inscription sources	abbr_lit_2	active	"nats ging er ins Nirvāṇa cin"" (Debm 3667);"	siglum_policy_review
corrected_text_scan	wts_9_m	268	60		ins	Ins	Inscription sources	abbr_lit_2	active	vergangen, seit der Buddha ins Nirvarn ein-	siglum_policy_review
