volume	page	line	token_index	source_file	source_queue	source_token	suspected_marker_source	suspected_marker_target	suspected_direction	attached_token	normalized_attached_token_candidate	context_excerpt	zone	near_tibetan_script	near_transliteration	near_vgl	near_headword	candidate_family	confidence	suggested_action	notes
wts_9_m	10	30	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	btsir	btsir	"pa dan / — btsir ba dag ""|wenn] die Se-"	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	10	92	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	lha	lha	kar du / lha gsegs ni Zal — 'tshol (metr.)	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	17	60	2	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	dan	dan	dan /rta dbyans dan / — dan / pha khol dani /	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	17	61	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	chos	chos	lhub dka' dan / chos ldan rab 'byor dan / ma ti	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	19	33	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	dge	dge	mthil gnas pa ltar / dge slonn — yis mthon	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	24	78	3	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	dan	dan	ma /0/20/ dan / pha khol dan / thub dka' dani /	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	25	73	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	gnas	gnas	bcom rnam thar debZin gsegs kyi — par / gnas	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	28	68	3	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	mgo	mgo	"ni — g.yu miitsho gnas chen ñer /?2/""/ mgo /"	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	29	19	2	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	dan	dan	"Lex. ma ri /5/ dan — smig royu ""dom na ri"	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	30	53	2	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	de'i	de'i	2,14); käsa se na / dei bu ~ / de'i bu ra thī ka	german_prose_with_translit	0	1	1	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	30	73	2	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	dge	dge	za ma ma yin nam / — ma yin nam / dge	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	32	25	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	ma'i	ma'i	Lex. )7/ ma'i chun ma'ah zer (brDa, ähnl.	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	36	17	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	brgyad	brgyad	"te / — brgyad la rjes su gtad nas ""Suvarna-"	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	37	30	2	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	tshanis	tshanis	te / — de dag kyani gari Ze na / tshanis pa mo	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	38	20	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	dan	dan	jug ma dan / — dan / mtshan mo dan ...	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	42	40	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	chos	chos	dari ldan pa 'ba' zig tn yari — kyi / chos sgrogs	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	43	34	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	dan	dan	yod pa der khan gsar dan / — dan / brag mgo	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	43	53	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	ma'i	ma'i	Lex. )7/ ma'i min (brDa, Dagy).	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	44	30	5	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	rgyal	rgyal	'ons dusna 6@ 77? / /)// khyod kyari / rgyal ba de	latin_other	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	44	59	1	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	chos	chos	"der / chos thams cad dar gyis ""mithilfe dieser"	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
wts_9_m	45	70	2	wts_9_m_corrected_full.txt	corrected_text_scan	/	/	↑/↓	direction_needs_review	tshan	tshan	Lex. Zan po (Dagy); ma 7// tshan mishuns =	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	exact_review_candidate	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
