tibetan_syllable	source_variant	source_signature	proposed_target	hypothetical_target	candidate_count	old_categories	new_categories	compatible_accepted_target_count	compatible_competing_forms	incompatible_dotted_forms_excluded	damage_count	volumes
ཁང	kban	kba<FINAL_NASAL>	kbaṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	4		khaṅ:89	0	wts_1_34
སྙིང	sin	si<FINAL_NASAL>	siṅ		13	competing_latin_forms:13	source_compatible_structure_mismatch:13	3		sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
འཕྲང	phran	phra<FINAL_NASAL>	phraṅ		1	competing_latin_forms:1	source_compatible_marker_attached:1	3		phaṅ:2; plraṅ:1; siṅ:1	0	wts_35_51
གདང	gdon	gdo<FINAL_NASAL>	gdoṅ		2	not_emitted_by_legacy_global_target:2	source_compatible_structure_mismatch:2	2		gdaṅ:11; ggdaṅ:2	0	wts_1_34
ཀློང	gron	gro<FINAL_NASAL>	groṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	2		kloṅ:22	0	wts_1_34
མེང	min	mi<FINAL_NASAL>	miṅ		1	competing_latin_forms:1	source_compatible_structure_mismatch:1	2		maṅ:1	0	wts_1_34
འཕྲང	phan	pha<FINAL_NASAL>	phaṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	2		phraṅ:3; plraṅ:1; siṅ:1	0	wts_35_51
རྱོང	myon	myo<FINAL_NASAL>	myoṅ		1	competing_latin_forms:1	source_compatible_structure_mismatch:1	2		mmyoṅ:1	0	wts_1_34
སྤང	spyah	spya<FINAL_NASAL>	spyaṅ		1	not_emitted_by_legacy_global_target:1	source_compatible_structure_mismatch:1	2		spaṅ:29; sbaṅ:5; smaṅ:1	0	wts_35_51
དྲང	dran	dra<FINAL_NASAL>	draṅ		45	not_emitted_by_legacy_global_target:45	source_compatible_single_anchor:43; source_compatible_damaged_context:2	1		raṅ:1	2	wts_1_34
ཁོང	khon	kho<FINAL_NASAL>	khoṅ		28	competing_latin_forms:27; damaged_context:1	source_compatible_single_anchor:27; source_compatible_damaged_context:1	1		kboṅ:1	1	wts_1_34
ཀང	kan	ka<FINAL_NASAL>	kaṅ		21	insufficient_consensus:20; damaged_context:1	source_compatible_single_anchor:20; source_compatible_damaged_context:1	1			1	wts_1_34
ཏིང	tin	ti<FINAL_NASAL>	tiṅ		16	competing_latin_forms:16	source_compatible_single_anchor:16	1		dziṅ:1	0	wts_1_34;wts_8_b
འབྱང	byun	byu<FINAL_NASAL>	byuṅ		15	not_emitted_by_legacy_global_target:15	source_compatible_structure_mismatch:15	1		byaṅ:1	0	wts_1_34
སྲོང	sron	sro<FINAL_NASAL>	sroṅ		15	not_emitted_by_legacy_global_target:15	source_compatible_single_anchor:15	1		spoṅ:2	0	wts_1_34
སློང	slon	slo<FINAL_NASAL>	sloṅ		15	competing_latin_forms:15	source_compatible_single_anchor:15	1		slonṅ:1	0	wts_1_34
ཅང	can	ca<FINAL_NASAL>	caṅ		13	insufficient_consensus:11; damaged_context:2	source_compatible_single_anchor:11; source_compatible_damaged_context:2	1			2	wts_1_34
བྱང	byun	byu<FINAL_NASAL>	byuṅ		13	not_emitted_by_legacy_global_target:13	source_compatible_structure_mismatch:13	1		byaṅ:88; bbyaṅ:2	0	wts_1_34
གླེང	glen	gle<FINAL_NASAL>	gleṅ		12	competing_latin_forms:11; damaged_context:1	source_compatible_single_anchor:11; source_compatible_damaged_context:1	1		gliṅ:1	1	wts_1_34
གཏང	gtan	gta<FINAL_NASAL>	gtaṅ		10	insufficient_consensus:9; damaged_context:1	source_compatible_single_anchor:9; source_compatible_damaged_context:1	1			1	wts_1_34
དགུང	dgun	dgu<FINAL_NASAL>	dguṅ		10	insufficient_consensus:9; damaged_context:1	source_compatible_single_anchor:9; source_compatible_damaged_context:1	1			1	wts_1_34;wts_35_51
སྒོང	sgon	sgo<FINAL_NASAL>	sgoṅ		10	not_emitted_by_legacy_global_target:10	source_compatible_single_anchor:9; source_compatible_damaged_context:1	1		skyoṅ:1	1	wts_1_34
གྱོང	gyon	gyo<FINAL_NASAL>	gyoṅ		8	insufficient_consensus:8	source_compatible_single_anchor:8	1			0	wts_1_34
བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ		8	insufficient_consensus:8	source_compatible_single_anchor:8	1			0	wts_1_34
ཀྱོང	gyon	gyo<FINAL_NASAL>	gyoṅ		7	insufficient_consensus:7	source_compatible_single_anchor:7	1			0	wts_1_34
འཆེང	chin	chi<FINAL_NASAL>	chiṅ		7	insufficient_consensus:7	source_compatible_structure_mismatch:7	1			0	wts_1_34
རུང	run	ru<FINAL_NASAL>	ruṅ		6	insufficient_consensus:6	source_compatible_single_anchor:6	1			0	wts_1_34
ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ		4	competing_latin_forms:4	source_compatible_single_anchor:4	1		zeṅ:1; Ziṅ:1; ziṅ:1	0	wts_1_34
རང	rin	ri<FINAL_NASAL>	riṅ		4	not_emitted_by_legacy_global_target:4	source_compatible_structure_mismatch:4	1		raṅ:14	0	wts_1_34
ཤང	sin	si<FINAL_NASAL>	siṅ		4	not_emitted_by_legacy_global_target:4	source_compatible_structure_mismatch:4	1		Saṅ:1	0	wts_1_34
ངང	han	ha<FINAL_NASAL>	haṅ		3	not_emitted_by_legacy_global_target:3	source_compatible_single_anchor:3	1		daṅ:2	0	wts_1_34
བྲང	than	tha<FINAL_NASAL>	thaṅ		3	not_emitted_by_legacy_global_target:3	source_compatible_structure_mismatch:3	1		braṅ:31; byuṅ:1; byaṅ:1	0	wts_1_34
ལྟོང	lton	lto<FINAL_NASAL>	ltoṅ		3	not_emitted_by_legacy_global_target:3	source_compatible_single_anchor:3	1		koṅ:1	0	wts_1_34
གཡང	g.yan	g.ya<FINAL_NASAL>	g.yaṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_35_51;wts_9_m
ང	khan	kha<FINAL_NASAL>	khaṅ		2	not_emitted_by_legacy_global_target:2	source_compatible_single_anchor:2	1		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	0	wts_1_34
བློང	blon	blo<FINAL_NASAL>	bloṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_8_b
མཇིང	mjin	mji<FINAL_NASAL>	mjiṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34
མདོང	mdon	mdo<FINAL_NASAL>	mdoṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34
ཞང	Zan	Za<FINAL_NASAL>	Zaṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34
འདིང	din	di<FINAL_NASAL>	diṅ		2	insufficient_consensus:2	source_compatible_single_anchor:2	1			0	wts_1_34
