change_type	volume	page	line	token_index	tibetan_syllable	source_latin_token	old_target	new_target	old_category	new_category	compatible_anchor_count	context_excerpt
newly_discovered	wts_1_34	1001	169	2	རྨང	rlun				source_compatible_no_anchor	0	ཐལ་རྨང་ thal rlun Sandsturm.
newly_discovered	wts_1_34	1001	28	2	བྱང	byun		byuṅ		source_compatible_not_final_ng_only	1	ཐལ་བྱང་འགྲོ་ thal byun 'gro.
newly_discovered	wts_1_34	1001	9	2	ཀྱང	byun				source_compatible_no_anchor	0	ཐལ་ཀྱང་ thal byun geradewegs; ༡ du ’gro glatt
newly_discovered	wts_1_34	1004	15	1	ཐང	thin				source_compatible_no_anchor	0	ཐང་ཤང་ thin sin ein blauer Farbstoff.
newly_discovered	wts_1_34	1004	15	2	ཤང	sin		siṅ		source_compatible_not_final_ng_only	1	ཐང་ཤང་ thin sin ein blauer Farbstoff.
newly_discovered	wts_1_34	1004	7	1	བིང	thin				source_compatible_no_anchor	0	བིང་ ཡུག་ thin yug eine hohe Zahl.
newly_discovered	wts_1_34	1014	15	2	འབྱང	byun		byuṅ		source_compatible_not_final_ng_only	1	"ཐུགས་འབྱང་ thugs ""byun pf. Tthugs byun"
newly_discovered	wts_1_34	1015	194	4	བང	thun				source_compatible_no_anchor	0	Dämonen besessen sein. བང་ thun alttib. auch thune kurz, klein sein; ༡
newly_discovered	wts_1_34	1017	200	2	མོང	thun				source_compatible_no_anchor	0	"ཐུན་མོང་ EN"" thun mon chos."
category_changed	wts_1_34	1018	20	4	རུང	run	ruṅ	ruṅ	source_compatible_insufficient_evidence	source_compatible_single_anchor	1	ཐུན་ཚོད་དུ་རུང་བ་ thun tshod du run ba „eine
newly_discovered	wts_1_34	1028	18	3	རྐང	bran				source_compatible_no_anchor	0	བའུ་བང་རྐང་གཅུག་ lhe u bran rkan geig ein für
newly_discovered	wts_1_34	1033	42	2	དུང	drun				source_compatible_no_anchor	0	ཐོག་དུང་ thog drun hoch und niedrig; Höhe.
newly_discovered	wts_1_34	1036	167	1	ང	thon				source_compatible_no_anchor	0	ང་ཐང་ thon thon
newly_discovered	wts_1_34	1036	167	2	ཐང	thon				source_compatible_no_anchor	0	ང་ཐང་ thon thon
newly_discovered	wts_1_34	1036	214	2	བོང	thon				source_compatible_no_anchor	0	ཐོང་བོང་ thon thon Lebensalter; jugendlich.
newly_discovered	wts_1_34	1036	55	1	ཐང	Ithon				source_compatible_marker_attached	0	ཐང་ Ithon
newly_discovered	wts_1_34	1037	19	1	བོང	thon				source_compatible_no_anchor	0	བོང་མི་ཁྲ་ thon mi ba.
