volume	page	line	token	candidate_family	proposed_target	context_excerpt	evidence	confidence	suggested_action	score	score_explanation
wts_9_m	9	83	$	dollar_ś	ś	"bisun mo ... 0?7/$ — dga’ nas ""seine beiden Ge-"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	11	87	$	dollar_ś	ś	"sen zurück!"" (gZer 609,5); tha /$/)/9 — bsriel"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	15	53	$	dollar_ś	ś	"lteba'i dkyil du bu ༡// {$ } srog thag daṅ —"" sñiñ"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	19	79	$	dollar_ś	ś	babs bźi . .. $?7/7 ma la pha brgyud (r. rgyud)	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	29	50	$	dollar_ś	ś	"na ka $ / manidzu Sri dzñā na ""die dreizehn"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	31	80	$	dollar_ś	ś	"mischt"" (Hipp 193,19); — ru rta a rc ($)(2༡///"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	33	32	$	dollar_ś	ś	225); tshas nan na / ma pani ni! mtsho ?/$ brun	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	36	83	$	dollar_ś	ś	— ni khra ¡$ 'ishal / 'ur prug ni thani la gram	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	45	4	$	dollar_ś	ś	"Zeiten"" (Dagy); ?/ (///$ = anāgatakālah ""zu-"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	47	2	$	dollar_ś	ś	མཱ་ར་སྙེང་ཟ་ *་ mära $/7//? za ...	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	56	21	$	dollar_ś	ś	2. Imtsho $)7/)? ma ha de wa.	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	57	78	$	dollar_ś	ś	"bZin du $?7/7? rje rje skad du hu'o ""wie ci-"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	65	78	$	dollar_ś	ś	"genstände"" (gNas 4,7); phyi nani 7/9$5 pa"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	66	29	$	dollar_ś	ś	"489); da royal $ Zn 07// phyin ril bgyis ""da"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	66	31	$	dollar_ś	ś	"dern"" (PT1288 23); da royal ~$ / mtsho"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	66	32	$	dollar_ś	ś	nag ston rur / rgya $0'// den pan dan / nol	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	69	70	$	dollar_ś	ś	(Akhr2 100,13); 9)7/5$ kyani — so byas na gsum	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	74	72	$	dollar_ś	ś	lho phyogs $?10// po — 'phren ba rgyus (metr.)	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_9_m	75	5	$	dollar_ś	ś	stod las $// ... bar gi gnas 0/7/5 ... Man	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
