tibetan_syllable	source_variant	source_signature	proposed_target	candidate_count	old_categories	new_categories	compatible_accepted_target_count	compatible_competing_forms	incompatible_dotted_forms_excluded	damage_count	volumes	transcription_integrity_status	transcription_integrity_blocked_count
ཁང	kban	kba<FINAL_NASAL>	kbaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	4		khaṅ:89	0	wts_1_34	insufficient_feature_coverage	0
སྙིང	sin	si<FINAL_NASAL>	siṅ	13	competing_latin_forms:13	source_compatible_not_final_ng_only:13	3		sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34	insufficient_feature_coverage	0
འཕྲང	phran	phra<FINAL_NASAL>	phraṅ	1	competing_latin_forms:1	source_compatible_marker_attached:1	3		phaṅ:2; plraṅ:1; siṅ:1	0	wts_35_51	insufficient_feature_coverage	0
གདང	gdon	gdo<FINAL_NASAL>	gdoṅ	2	not_emitted_by_legacy_global_target:2	source_compatible_not_final_ng_only:2	2		gdaṅ:11; ggdaṅ:2	0	wts_1_34	canonical_syllable_mismatch	0
ཀློང	gron	gro<FINAL_NASAL>	groṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	2		kloṅ:22	0	wts_1_34	canonical_syllable_mismatch	0
མེང	min	mi<FINAL_NASAL>	miṅ	1	competing_latin_forms:1	source_compatible_not_final_ng_only:1	2		maṅ:1	0	wts_1_34	insufficient_feature_coverage	0
འཕྲང	phan	pha<FINAL_NASAL>	phaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	2		phraṅ:3; plraṅ:1; siṅ:1	0	wts_35_51	canonical_syllable_mismatch	0
རྱོང	myon	myo<FINAL_NASAL>	myoṅ	1	competing_latin_forms:1	source_compatible_not_final_ng_only:1	2		mmyoṅ:1	0	wts_1_34	insufficient_feature_coverage	0
སྤང	spyah	spya<FINAL_NASAL>	spyaṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	2		spaṅ:29; sbaṅ:5; smaṅ:1	0	wts_35_51	canonical_syllable_mismatch	0
སྲོང	spoh	spo<FINAL_NASAL>	spoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	2		sroṅ:17	0	wts_1_34	canonical_syllable_mismatch	0
སྲོང	spon	spo<FINAL_NASAL>	spoṅ	1	not_emitted_by_legacy_global_target:1	source_compatible_not_final_ng_only:1	2		sroṅ:17	0	wts_1_34	canonical_syllable_mismatch	0
ཀང	kan	ka<FINAL_NASAL>	kaṅ	21	insufficient_consensus:20; damaged_context:1	source_compatible_single_anchor:20; source_compatible_damaged_context:1	1			1	wts_1_34	insufficient_feature_coverage	0
འབྱང	byun	byu<FINAL_NASAL>	byuṅ	15	not_emitted_by_legacy_global_target:15	source_compatible_not_final_ng_only:15	1		byaṅ:1	0	wts_1_34	insufficient_feature_coverage	0
ཅང	can	ca<FINAL_NASAL>	caṅ	13	insufficient_consensus:11; damaged_context:2	source_compatible_single_anchor:11; source_compatible_damaged_context:2	1			2	wts_1_34	insufficient_feature_coverage	0
བྱང	byun	byu<FINAL_NASAL>	byuṅ	13	not_emitted_by_legacy_global_target:13	source_compatible_not_final_ng_only:13	1		byaṅ:88; bbyaṅ:2	0	wts_1_34	canonical_syllable_mismatch	0
