volume	page	line	token	candidate_family	proposed_target	context_excerpt	evidence	confidence	suggested_action	score	score_explanation
wts_8_b	14	80	$	dollar_ś	ś	"[$© und rote Banner, phya ra ra"" (gZi 2: 64,2)."	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	17	50	$	dollar_ś	ś	(brDa); zil pa (Dagy); ~$ rag pa = zil pas	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	30	63	$	dollar_ś	ś	"Lex. — pa = chan ""thuns pas $0///5 bag med"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	38	65	$	dollar_ś	ś	byed rnams / — las $// mkhas pas rab tu bstan	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	46	19	$	dollar_ś	ś	"sdoris nas lha sdan baud du {?) /:4/)$ ""aus dem"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	49	23	$	dollar_ś	ś	བཛྲ་ཨཱ་ས་ན་ badzra ā $ ¢ ¿¢ npr. Bodhgaya in	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	54	16	$	dollar_ś	ś	— phan ishun gi $07 blon pos gnod pa	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	57	54	$	dollar_ś	ś	"sħags-gliñ"" (gNas 20,8); si 0?7/$ po'i ~ sman"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	59	66	$	dollar_ś	ś	(Sdr 410,6); — rdzon sdod dpal gron 0?7/$ nas	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	61	33	$	dollar_ś	ś	"befindet"" (\/(1]( 2: 358,3); dbus gtsari 077/$ kyi"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	63	56	$	dollar_ś	ś	6345); gan dag —r gnas pa de dag ni / yid 0)7/$	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	64	36	$	dollar_ś	ś	phyi 0?7/$ kyi bar la las dban gis yar mar bda'	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	74	37	$	dollar_ś	ś	'di'dab chags bdag po'i kha las bskyabs $? ~	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	79	87	rūińn	loc_nasal_damage	rūiṅn	"ni ~ 206 pa'i brda rūińn no ""spad ist ein alter"	orthography_scan	medium	review	55	LOC-style acute-n appears in a Tibetan transliteration context.
wts_8_b	82	68	$	dollar_ś	ś	"on"" (Debm 2b5); de 0)7/$ kyi — rim par 'gyes"	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
wts_8_b	85	60	$	dollar_ś	ś	(Ki kha 19146); chun ma la — mig 077/$ bya	orthography_scan	medium	review	50	Dollar sign may represent ś in transliteration; sigla are handled separately.
