source_queue	volume	page	line	token_index	source_token	proposed_canon	work_title	intro_line_ref	status	context_excerpt	suggested_action
corrected_text_scan	wts_8_b	10	13		rol	Rol	Rol siglum	abbr_lit_4	active	T2688 lHan cig skyes pa'i rol pa: Kun nas sgor 'jug pa'i 'od zer gtsug tor	siglum_policy_review
corrected_text_scan	wts_8_b	23	16		rol	Rol	Rol siglum	abbr_lit_4	active	~ yi sgra yaṅ ni / phyi rol tshal du (metr.)	siglum_policy_review
corrected_text_scan	wts_8_b	28	62		gzi	gZi	gZi siglum	abbr_lit_4	active	Lex. gzi brjid can (brDa, Dagy).	siglum_policy_review
corrected_text_scan	wts_8_b	57	4		ins	Ins	Inscription sources	abbr_lit_2	active	"er ins Parinirväna eingehen"" (][ 1 kha 61b2);"	siglum_policy_review
corrected_text_scan	wts_8_b	57	30		ins	Ins	Inscription sources	abbr_lit_2	active	"chen und betrachte sie bis ins Mark"" (Bca"	siglum_policy_review
corrected_text_scan	wts_8_b	71	21		rol	Rol	Rol siglum	abbr_lit_4	active	"rol ba'i a tsa ra Zig dan (byrtsad pas ""Se-btsun"	siglum_policy_review
corrected_text_scan	wts_8_b	77	76		ins	Ins	Inscription sources	abbr_lit_2	active	ins Wasser gefallen ist, wurde der Wald ent-	siglum_policy_review
corrected_text_scan	wts_8_b	99	16		rol	Rol	Rol siglum	abbr_lit_4	active	"Lex. rol mo cha lan la'ani ""auch für ein Mu-"	siglum_policy_review
corrected_text_scan	wts_8_b	104	25		ins	Ins	Inscription sources	abbr_lit_2	active	"Lex. — pa = Sinn sogs mer bus pa ""Holz ins"	siglum_policy_review
corrected_text_scan	wts_8_b	117	92		ins	Ins	Inscription sources	abbr_lit_2	active	"zen"", — kyiyuldu our ""ins Tibetische über-"	siglum_policy_review
corrected_text_scan	wts_8_b	119	26		ins	Ins	Inscription sources	abbr_lit_2	active	"ins Tibetische übersetzen"" (sGra 0); rgya gar"	siglum_policy_review
corrected_text_scan	wts_8_b	119	52		ins	Ins	Inscription sources	abbr_lit_2	active	"nesischen ins Tibetische übersetzt"" (MigTo"	siglum_policy_review
corrected_text_scan	wts_8_b	122	52		ins	Ins	Inscription sources	abbr_lit_2	active	"setzer dieses Berichts ins Tibetische"" (Debm"	siglum_policy_review
corrected_text_scan	wts_8_b	164	23		rol	Rol	Rol siglum	abbr_lit_4	active	"Näropa"" (Tär 181,10); — chu rol dan 'thab"	siglum_policy_review
corrected_text_scan	wts_8_b	174	63		lis	Liś	Li shi source siglum	abbr_lit_3	active	'tsbo mdzad chos bzan mtshan can lis — rdo	siglum_policy_review
corrected_text_scan	wts_8_b	179	60		rol	Rol	Rol siglum	abbr_lit_4	active	244,12); pha rol — dan sbod gton bzlog par	siglum_policy_review
corrected_text_scan	wts_8_b	198	4		ins	Ins	Inscription sources	abbr_lit_2	active	"— sre mon ins pa yod (metr.) ""es hat ci-"	siglum_policy_review
