volume	page	line	token_index	tibetan_syllable	current_latin_token	integrity_status	integrity_pass	known_feature_violation	feature_coverage	transcription_gateway_status	transcription_exception_status	transcription_exception_scope	alignment_confidence	token_start	token_end	preceding_character	following_character	token_boundary_status	expected_high_confidence_features	observed_features	violated_rules	canonical_full_target	canonical_target_evidence	domain_context	damage_scope	marker_attached	context_excerpt
wts_8_b	11	23	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	4	6	""""	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	"བ་ ""ba Ipa."
wts_8_b	11	64	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	5	7	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་ཀ་ ba ka ein Baum.
wts_8_b	11	64	2	ཀ	ka	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	8	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་ཀ་ ba ka ein Baum.
wts_8_b	12	29	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	8	10	'	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་དཀར་ 'ba dkar weiße Kuh.
wts_8_b	12	29	2	དཀར	dkar	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་དཀར་ 'ba dkar weiße Kuh.
wts_8_b	12	37	1	བ	tba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	7	10	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	བ་དཀར་ tba dkar Kalk (Jä 367).
wts_8_b	12	37	2	དཀར	dkar	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	later_gloss_or_commentary	no	བ་དཀར་ tba dkar Kalk (Jä 367).
wts_8_b	12	38	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་སྐྱ་ ba skya trockener Nasenschleim.
wts_8_b	12	38	2	སྐྱ	skya	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	10	14	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་སྐྱ་ ba skya trockener Nasenschleim.
wts_8_b	12	41	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	6	8	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གམ་ ba gam
wts_8_b	12	41	2	གམ	gam	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	9	12	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གམ་ ba gam
wts_8_b	13	1	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	10	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གྲུས་མ་ ba grus ma
wts_8_b	13	1	2	གྲུས	grus	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	13	17	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གྲུས་མ་ ba grus ma
wts_8_b	13	1	3	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	18	20	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གྲུས་མ་ ba grus ma
wts_8_b	13	22	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	10	12	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གྲུས་མ་ ba grus ma auch ba drus ma Milch-
wts_8_b	13	22	2	གྲུས	grus	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	13	17	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གྲུས་མ་ ba grus ma auch ba drus ma Milch-
wts_8_b	13	22	3	མ	ma	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	18	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གྲུས་མ་ ba grus ma auch ba drus ma Milch-
wts_8_b	13	30	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་གླང་ ba glaṅ lba laṅ.
wts_8_b	13	30	2	གླང	glaṅ	transcription_integrity_pass	yes	no	sufficient	pass			secure_positional_alignment	10	14	 	 	token_boundary_secure	ང:ṅ	ṅ				ordinary_tibetan_lexical_or_compound	none	no	བ་གླང་ ba glaṅ lba laṅ.
wts_8_b	13	34	1	བ	ba	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	7	9	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	བ་རྒྱ་ ba rgya auch baṅ rgya, bar rgya Spinnen- དཀལ ༈༈ +
