volume	page	line	token_index	tibetan_syllable	source_latin_token	source_signature	proposed_latin_target	compatible_accepted_target_count	compatible_competing_form_counts	incompatible_dotted_form_counts	same_tibetan_dotted_evidence_total	old_alignment_category	source_compatible_category	damage_scope	syllable_identity_guard	confidence	suggested_action	context_excerpt	reason_for_deferral
wts_8_b	255	4	2	ཁུང	Felsh	Fels<FINAL_NASAL>	Felsṅ	0		khuṅ:36; kbuṅ:1	37	not_emitted_by_legacy_global_target	source_compatible_structure_mismatch	none	consonantal_structure_mismatch	manual	syllable_specific_analysis	བྲཐ།ཁུང་ bragkburi Felshöhle, Felsspalte.	Proposed target omits an explicit Tibetan consonant or vowel feature: u, vowel_u; requires a syllable-specific analysis.
wts_8_b	330	74	1	བློང	blon	blo<FINAL_NASAL>	bloṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བློང་ 'blon.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_8_b	331	13	2	བློང	blon	blo<FINAL_NASAL>	bloṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བྲོང་བློང་ bloṅ blon.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_8_b	177	42	1	ཀྱང	byan	bya<FINAL_NASAL>	byaṅ	1		kyaṅ:7; gyaṅ:1	9	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	"ཀྱང་མའི་ལྕགས་ ""byan ma'ilcags Eisenplatte."	Fewer than two case-sensitive compatible dotted anchors are available.
wts_8_b	225	5	1	བང	byun	byu<FINAL_NASAL>	byuṅ	0		baṅ:14; dbaṅ:4; bahṅ:1; buṅ:1; byaṅ:1; byiṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_structure_mismatch	none	consonantal_structure_mismatch	manual	syllable_specific_analysis	"བང་སྔོང་ ""byun son Einkünfte und Ausgaben."	Proposed target omits an explicit Tibetan consonant or vowel feature: vowel_a; requires a syllable-specific analysis.
wts_8_b	473	18	1	འབུང	byun	byu<FINAL_NASAL>	byuṅ	0		Duṅ:1; buṅ:1; baṅ:1	3	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	"འབུང་བཞི་ ""byun bäi auch 'byun ba bäi die vier"	Fewer than two case-sensitive compatible dotted anchors are available.
wts_8_b	422	19	2	བྲེང	entzweien	entzweie<FINAL_NASAL>	entzweieṅ	0		breṅ:10	10	not_emitted_by_legacy_global_target	source_compatible_structure_mismatch	none	consonantal_structure_mismatch	manual	syllable_specific_analysis	བྲེན་བྲེང་ dbyenbyed entzweien, spalten, tren-	Proposed target omits explicit Tibetan subjoined r; requires a syllable-specific analysis.
wts_8_b	295	33	2	མཐང	mthan	mtha<FINAL_NASAL>	mthaṅ	0		mthoṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བླ་མཐང་ bla mthan.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_8_b	284	55	3	བྲེང	rennen	renne<FINAL_NASAL>	renneṅ	0		breṅ:10	10	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བྲེངས་སེ་བྲེང་ brenssebreṅ onom. rennen,	Fewer than two case-sensitive compatible dotted anchors are available.
wts_8_b	225	5	2	སྔོང	son	so<FINAL_NASAL>	soṅ	0		sbyoṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	"བང་སྔོང་ ""byun son Einkünfte und Ausgaben."	Fewer than two case-sensitive compatible dotted anchors are available.
wts_8_b	102	59	2	ཏིང	tin	ti<FINAL_NASAL>	tiṅ	1		dziṅ:1	2	competing_latin_forms	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བུར་ཏིང་ bur tin.	Fewer than two case-sensitive compatible dotted anchors are available.
