page	line	token_index	base_token	alternate_token	reason	base_key	alternate_key	base_line	alternate_line	alignment_method	alignment_attribution	resynchronization_attribution	resynchronization_source	base_to_alternate_page_delta	alternate_page	page_match_score	canonical_overlap	shared_canonical_tokens	base_nonempty_count	alternate_nonempty_count	line_count_ratio
1	12	5	Ita	lta	alternate_witness_initial_i_to_l_translit	ita	lta	dus = dpyid ka'i dus Ita bu'am mig la'ani yid	dus = dpyid ka'i dus lta bu'am mig la'ani yid	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	1	0.654	0.891	204	69	76	0.908
1	31	8	Lis	Liś	alternate_witness_citation_siglum	lis	lis	(Dagy); — pi pi lin du don dan (Lis 37,13);	(Dagy); — pi pi lin du don dan (Liś 37,13);	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	1	0.654	0.891	204	69	76	0.908
1	46	10	sin	śin	alternate_witness_google_loc_fricative_upgrade	sin	sin	(KTh 1: 36,1); na tshod yar yar 'dzegs sin man	(KTh 1: 36,1); na tshod yar yar 'dzegs śin man	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	1	0.654	0.891	204	69	76	0.908
1	60	7	nid	ñid	alternate_witness_google_loc_nasal_upgrade	nid	nid	"bcom ldan ""das kyis ... mdzes pa nid dan / ~'"	"bcom ldan ""das kyis ... mdzes pa ñid daṅ / ~'"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	1	0.654	0.891	204	69	76	0.908
1	60	8	dan	daṅ	alternate_witness_google_loc_nasal_upgrade	dan	dan	"bcom ldan ""das kyis ... mdzes pa nid dan / ~'"	"bcom ldan ""das kyis ... mdzes pa ñid daṅ / ~'"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	1	0.654	0.891	204	69	76	0.908
1	63	4	ses	śes	alternate_witness_google_loc_fricative_upgrade	ses	ses	"Lex. ~am tshod ses pa zmätrajiiah ""das rech-"	"Lex. ~am tshod śes pa zmätrajiiah ""das rech-"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	1	0.654	0.891	204	69	76	0.908
1	65	6	rlans	rlañs	alternate_witness_google_loc_nasal_upgrade	rlans	rlans	"Lex. drod las byun ba'i rlans pa ""aus Wärme"	"Lex. drod las byun ba'i rlañs pa ""aus Wärme"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	1	0.654	0.891	204	69	76	0.908
2	2	2	gser	gśer	alternate_witness_google_loc_fricative_upgrade	gser	gser	དྲོད་གཤེར་ drod gser	དྲོད་གཤེར་ drod gśer	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	2	0.542	0.905	296	85	90	0.944
2	26	8	bzan	bzaṅ	alternate_witness_google_loc_nasal_upgrade	bzan	bzan	Lex. 72 ti sukmel ka ko la / — bzan po gsum	Lex. 72 ti sukmel ka ko la / — bzaṅ po gsum	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	2	0.542	0.905	296	85	90	0.944
2	32	4	kyan	kyaṅ	alternate_witness_google_loc_nasal_upgrade	kyan	kyan	"chen po dag kyan gsol bar mdzad ""er nahm"	"chen po dag kyaṅ gsol bar mdzad ""er nahm"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	2	0.542	0.905	296	85	90	0.944
2	48	5	Y$	Yś	alternate_witness_citation_siglum	ys	ys	"trunken, besiegt es Verschiedenes"" (Y$ 236);"	"trunken, besiegt es Verschiedenes"" (Yś 236);"	recovered_rewrapped_page	recovered_rewrapped_fallback	direct_recovered_rewrapped_fallback		0	2	0.542	0.905	296	85	90	0.944
