page	line	entry_id	zone	from_token	to_token	tier	reason	applied	line_excerpt
246	1	1321	headword_line	phaṅ	phan	B	discover_medium_context	0	རྡོ་འཕང་ཀོང་ rdo 'phaṅ koṅ
18	85	70	german_prose_with_translit	śrävakas	śrāvakas	B	sanskrit_char_normalize	0	ste „die śrävakas Gautamas sind grausam und
20	99	75	german_prose	sitacchatträ	sitacchattrā	B	sanskrit_char_normalize	0	für skt. sitacchatträ Anethum Sowa Roxb.
28	55	103	german_prose_with_translit	śrävaka	śrāvaka	B	sanskrit_char_normalize	0	von einem śrävaka zu disziplinieren?“ (Prav
49	82	214	german_prose	mmahäsattva	mmahāsattva	B	sanskrit_char_normalize	0	würdig, großes Wesen, skt. mmahäsattva; auch
56	88	273	latin_other	Kämeśvaras	Kāmeśvaras	B	sanskrit_char_normalize	0	bzw. Kämeśvaras.
111	44	729	german_prose_with_translit	śrävakas	śrāvakas	B	sanskrit_char_normalize	0	glanzsütra, das alle śrävakas und Pratycka-
115	58	753	german_prose_with_translit	śriläbha	śrilābha	B	sanskrit_char_normalize	0	der Ehrwürdige śriläbha“ (Tär 54,2).
141	88	882	german_prose_with_translit	tadyathänusrūyate	tadyathānusrūyate	B	sanskrit_char_normalize	0	des gehört (skt. tadyathänusrūyate): der Bo-
144	23	886	german_prose	evärtham	evārtham	B	sanskrit_char_normalize	0	Lex. don — 22 imam evärtham „eben diese Sache“ (in Mvy 6372).
159	12	930	german_prose	asamjräisattva	asamjrāisattva	B	sanskrit_char_normalize	0	reich von Gottheiten, skt. asamjräisattva.
196	38	1033	german_prose_with_translit	Kämäśoka	Kāmāśoka	B	sanskrit_char_normalize	0	ein König, skt. Kämäśoka.
239	76	1239	german_prose_with_translit	śrävaka-Mönchen	śrāvaka-Mönchen	B	sanskrit_char_normalize	0	breya re mchod do „sie gewährten in Vajräsana je 500 śrävaka-Mönchen, in Nälan-
301	29	1589	german_prose_with_translit	Buddhasöh	Buddhasoh	B	sanskrit_char_normalize	0	die Disziplin (skt. samvara) der Buddhasöh-
390	12	1934	german_prose_with_translit	adhyätmagate	adhyātmagate	B	sanskrit_char_normalize	0	gehen (skt. adhyätmagate nabhijnä)“ (Käsy
405	30	2010	latin_other	vyädhyavasthä	vyādhyavasthā	B	sanskrit_char_normalize	0	heitszustand (skt. vyädhyavasthä) usw. ge-
436	24	2207	german_prose_with_translit	śrotaäpanna	śrotaāpanna	B	sanskrit_char_normalize	0	Stufen] vom śrotaäpanna bis zum Arhat als
463	23	2285	german_prose	yathäsämarthyam	yathāsāmarthyam	B	sanskrit_char_normalize	0	(skt. yathäsämarthyam) will ich die Merk-
549	68	2639	latin_other	śrotradhätuh	śrotradhātuh	B	sanskrit_char_normalize	0	mam par śes pa’i kbams = śrotradhätuh, sa-
549	72	2639	german_prose_with_translit	śroträyatanamı	śrotrāyatanami	B	sanskrit_char_normalize	0	min); — ba’i skye mched = śroträyatanamı „das
721	31	3560	german_prose_with_translit	śära	śāra	B	sanskrit_char_normalize	0	„er läßt viele tapfere (skt. śära) und heldenhafte Männer erscheinen“ (Rgs 20.36); —
725	100	3597	german_prose_with_translit	Siddhaikavframahäta	Siddhaikavframahāta	B	sanskrit_char_normalize	0	ein buddh, Text, skt. Siddhaikavframahäta-
843	6	4291	german_prose_with_translit	kärcikā	kārcikā	B	sanskrit_char_normalize	0	la sogs stobs skyed ciù (merr) „frühe Biestmilch, eingedickte Milch (skt. kärcikā), spä-
901	13	4598	latin_other	Bnddhävatamsakanämamahävai	Bnddhāvatamsakanāmamahāvai	B	sanskrit_char_normalize	0	do, skt. Bnddhävatamsakanämamahävai-
999	30	5262	german_prose_with_translit	śrävasti	śrāvasti	B	sanskrit_char_normalize	0	nitan 2/0// (7// — nas „Mahäkätyäyana gelangte letzten Endes nach śrävasti“ (Udr 44,13);
1028	40	5443	german_prose_with_translit	cärnayitva	cārnayitva	B	sanskrit_char_normalize	0	(skt. cärnayitva) hat“ (Suv 46,11); — dan /
