tibetan_syllable	source_variant	source_signature	supported_target	historical_baseline_sha	historical_anchor_present	historical_anchor_location	historical_anchor_provenance_class	historical_anchor_change_reason	reviewed_same_tibetan_target_count	undotted_clean_row_count	base_ocr_dotted_anchor_count	reviewed_exact_dotted_anchor_count	google_adopted_anchor_count	other_postprocess_anchor_count	unknown_provenance_anchor_count	base_provenance_unverified_anchor_count	same_volume_raw_anchor_count	cross_volume_raw_anchor_count	explicit_same_entry_repeat_count	direct_repeated_tibetan_alignment_count	probable_cross_reference_count	google_unresolved_exact_target_count	google_candidate_exact_target_count	google_conflicting_reading_count	prior_reviewed_same_source_exact_count	prior_reviewed_same_tibetan_target_different_source_count	damaged_row_count	marker_row_count	tibetan_structure_status	entry_series_cluster_count	alignment_review_status	zero_anchor_source_state	target_evidence_channels	lemma_identity_channels	recurrence_context_channels	circular_reviewed_anchor_count	suggested_review_tier	volumes	sample_contexts
ཁོང	khon	kho<FINAL_NASAL>	khoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:408:1:2	historical_pre_family_present_unattributed	none	0	27	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	4	exact_source_signature_supported			explicit_same_entry_repetition	undotted_rows:27;entry_series_clusters:4	0	anchor_provenance_or_identity_review	wts_1_34	ཀིམ་ཤང ཁོང་ཅོ kim San khon co, kim Sin kon co, || ཁོང་ 'khon auch khon pa pron. 3. pers. sing. || ཁོང་སྐེམ་པ་ khon skem pa
ཀང	kan	ka<FINAL_NASAL>	kaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:235:49:4	historical_pre_family_present_unattributed	none	0	20	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	3	exact_source_signature_supported			explicit_same_entry_repetition	undotted_rows:20;entry_series_clusters:3	0	anchor_provenance_or_identity_review	wts_1_34	ཀང་ kan lkhani, \kin kai. || ཀང་ཀ་ kan ka ~ skt. kanka ein Raubvogel. - vgl. || ཀང་ཀ་ཀ་ kan ka ka eine weibliche zornvolle
ཏིང	tin	ti<FINAL_NASAL>	tiṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:875:113:1	historical_pre_family_present_unattributed	none	0	16	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	2	exact_source_signature_supported			explicit_same_entry_repetition;direct_repeated_tibetan_alignment	undotted_rows:16;entry_series_clusters:2	0	anchor_provenance_or_identity_review	wts_1_34;wts_8_b	ཁོམ་ཏིང་ khom tin tiefsitzend. || ཏིང་ tin ein Gefäß, Schale; vgl. chin, SH ting || ཏིང་ཀྲས་ tin kras cin Vogel.
སྲོང	sron	sro<FINAL_NASAL>	sroṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m:69:6:2	historical_pre_family_present_unattributed	none	0	15	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	2	exact_source_signature_supported			explicit_same_entry_repetition	undotted_rows:15;entry_series_clusters:2	0	anchor_provenance_or_identity_review	wts_1_34	དྲང་སྲོང་ draṅ sron || དྲང་སྲོང་ draṅ sron. || དྲང་སྲོང་ draṅ sron
སློང	slon	slo<FINAL_NASAL>	sloṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:849:51:3	historical_pre_family_present_unattributed	none	0	15	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported			probable_cross_reference_requires_review	undotted_rows:15	0	anchor_provenance_or_identity_review	wts_1_34	ཀུན་ནས་སློང་བ་ kun nas slon ba, Kurzf. \kun slon. || ཀུན་ནས་སློང་བ་པོ་ kun nas slon ba po „der Erhe- || ཀུན་སློང་ kun slon
གླེང	glen	gle<FINAL_NASAL>	gleṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34:398:72:1	historical_pre_family_google_adopted	alternate_witness_google_loc_nasal_upgrade	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	0	exact_source_signature_supported		google_adopted_anchor		undotted_rows:11	0	anchor_provenance_or_identity_review	wts_1_34	གྲོས་གླེང་ gros glen Gespräch, Beratung, Dis- || གླེང་ glen sprechen, berichten, erklären. || གླེང་མོ་ glen mo
གཏང	gtan	gta<FINAL_NASAL>	gtaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:1009:1:2	historical_pre_family_present_unattributed	none	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	1	exact_source_signature_supported				undotted_rows:9;entry_series_clusters:1	0	anchor_provenance_or_identity_review	wts_1_34	ངེས་པར་གཏང་བར་བྱཀྱི་ nes par gtan bar bgyi fut. || ཆགས་གསུམ་གཏང་བ་ chags gsum gtan ba ein || གཏང་ gtan fur. zu Igton.
དགུང	dgun	dgu<FINAL_NASAL>	dguṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:425:55:2	historical_pre_family_present_unattributed	none	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:9	0	anchor_provenance_or_identity_review	wts_1_34;wts_35_51	དགུང་ཆར་ dgun char || དགུང་ཆར་ dgun char Bez. für Regen. || དགུང་མོ་ ” dgun mo
སྒོང	sgon	sgo<FINAL_NASAL>	sgoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b:147:23:2	historical_pre_family_present_unattributed	none	0	9	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	exact_same_tibetan_syllable	1	exact_source_signature_supported				undotted_rows:9;entry_series_clusters:1	0	anchor_provenance_or_identity_review	wts_1_34	སྒོང་ 'sgon pf. Ibsgons fut. 1/5907 imp. Isgons || སྒོང་སྐྱེས་ sgon skyes aus dem Ei geboren, Bez. || སྒོང་སྐྲན་ sgon skran eine Krankheit.
གྱོང	gyon	gyo<FINAL_NASAL>	gyoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51:935:16:2	historical_pre_family_present_unattributed	none	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	exact_same_tibetan_syllable	0	exact_source_signature_supported				undotted_rows:8	0	anchor_provenance_or_identity_review	wts_1_34	ཀོ་ གྱོང་ ko gyon || ཀོ་གྱོང་ ko gyon hartes Leder. || ཁེ་གྱོང་ khe gyon Gewinn und Verlust.
