volume	page	line	token_index	base_token	alternate_token	proposed_target	reason	base_key	alternate_key	candidate_family	context_excerpt	alternate_line	evidence	confidence	suggested_action	score	score_explanation	alignment_method	alignment_attribution	resynchronization_attribution
wts_1_34	12	32	1	AA	Ahs	AA	unsafe_token_disagreement	aa	ahs	citation_or_siglum	AA Byams pa: Ses rab kyi pha rol tu phyin pa’i man nag gi bstan bcos mnon par rtogs pa’i	Ahs Byams pa: Ses rab kyi pha rol tu phyin pa'i man nag gi bstan bcos mṅon par rtogs pa'i	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for AA; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	12	36	7	pa’i	sñiṅ	sñiṅ	unsafe_token_disagreement	pai	snin	google_tibetan_diacritic_disagreement	Ahs Pha gol: Yan lag breyad pa’i sin po bsdus pa / Vägbhata: Astängahrdayasambhitä. Teilw.	Pha gol: Yan lag brgyad pa'i sñiṅ po bsdus pa / Vāgbhața: Aṣṭāngahṛdayasamhitā. Teilw.	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_1_34	12	36	11	pa	Vāgbha	Vāgbha	unsafe_token_disagreement	pa	vagbha	citation_or_siglum	Ahs Pha gol: Yan lag breyad pa’i sin po bsdus pa / Vägbhata: Astängahrdayasambhitä. Teilw.	Pha gol: Yan lag brgyad pa'i sñiṅ po bsdus pa / Vāgbhața: Aṣṭāngahṛdayasamhitā. Teilw.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Vāgbha; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	12	37	2	VoceL	VOGEL	VoceL	non_translit_context	vocel	vogel	citation_or_siglum	Ed.: VoceL 1965. Exzp.: H. Uebach.	Ed.: VOGEL 1965. Exzp.: H. Uebach.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for VoceL; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	12	40	4	DyAgHüsana	A	A	non_translit_context	dyaghusana	a	citation_or_siglum	Amarakosa. Ed.: ViıDyAgHüsana 1911; zitiert nach Seite und Strophe,	Amarakosa. Ed.: VIDYĀBHŪṢAŅA 1911, zitiert nach Seite und Strophe.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for A; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	107	52	8	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	Hevajra“ (Hev 1.2.3); kye yi rdo rje’i dnos	Hevajra“ (Hev 1.2.3); kye yi rdo rje’i dños	google_blocked_wrong_target_plus_language_knowledge	high	exact_promotion_candidate	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_1_34	110	130	2	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	lus dnos bar la — zer „[den Text] vom Anfang	lus dños bar la — zer „[den Text] vom Anfang	google_blocked_wrong_target_plus_language_knowledge	medium	review	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_1_34	147	135	3	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	404,3); dnos 92: mdo don yı ger — te tshig don	404,3); dños 92: mdo don yı ger — te tshig don	google_blocked_wrong_target_plus_language_knowledge	high	exact_promotion_candidate	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_1_34	156	68	5	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	sind“ (VaiNth 145,1); — dnos grub thob pa la	sind“ (VaiNth 145,1); — dños grub thob pa la	google_blocked_wrong_target_plus_language_knowledge	high	exact_promotion_candidate	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_1_34	170	15	9	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	238,1); skad cig bde chen mchog gi dnos su	238,1); skad cig bde chen mchog gi dños su	google_blocked_wrong_target_plus_language_knowledge	high	exact_promotion_candidate	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_1_34	234	171	5	dnos	dños	dṅos	blocked_alternate_witness_wrong_nasal_dnos	dnos	dnos	dngos_family	Lex. — dgos = g.yar po’i dnos po — bar bya	Lex. — dgos = g.yar po’i dños po — bar bya	google_blocked_wrong_target_plus_language_knowledge	medium	review	98	Google exposed the suspicious token but the dños alternate is rejected; Tibetan target is dṅos.			
wts_1_34	238	9	14	Vdk	Vḍk	Vḍk	unsafe_token_disagreement	vdk	vdk	citation_or_siglum	khan chen sogs ... — pa la (metr.) „sie haben einen großen Tempel usw. geschaffen“ (Vdk 2:	khan chen sogs... ~pa la (metr.) „sie haben einen großen Tempel usw. geschaffen“ (Vḍk 2:	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Vḍk; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	238	29	1	116	Liś	Liś	unsafe_token_disagreement	116	lis	citation_or_siglum	(116 26,1); — bya = gsar du — par bya „neu	(Liś 26,1); ~ bya ≈ gsar du ~ par bya „neu	sigla_registry	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Liś; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	238	38	2	pa	paḍā	paḍā	unsafe_token_disagreement	pa	pada	citation_or_siglum	Lex. ¬~ pa =däru — pa Zes snanı „erscheint	Lex. ~ paḍā ru ~ pa źes snaṅ „erscheint	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for paḍā; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	240	10	1	HiLL	HILL	HiLL	unsafe_token_disagreement	hill	hill	citation_or_siglum	HiLL, Nathan, „Personalpronomina in der Lebensbeschreibung des Mi la ras pa, Kapitel III“.	"HILL, Nathan, Personalpronomina in der Lebensbeschreibung des Mi la ras pa, Kapitel III""."	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for HiLL; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	240	11	4	pp	PP	PP	non_translit_context	pp	pp	citation_or_siglum	ZAS 36 (2007), pp. 277-287.	ZAS 36 (2007), PP. 277-287.	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for PP; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	240	55	12	Kävyäd	Kāvyād	Kāvyād	non_translit_context	kavyad	kavyad	citation_or_siglum	yi rlun (metr.) „der Wind aus dem vorzüglichsten Mund der Geliebten“ (Kävyäd	"yi rlun (metr.) „der Wind aus dem vorzüglichsten Mund der Geliebten"" (Kāvyād"	siglum_shape	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Kāvyād; do not treat as Sanskrit/Tibetan OCR evidence.			
wts_1_34	240	59	3	Zes	źes	źes	unsafe_token_disagreement	zes	zes	google_tibetan_diacritic_disagreement	241,17); Zes bdag gi ~ yis tshig ’di zer (metr.)	241,17); źes bdag gi~yis tshig 'di zer (metr.)	google_unresolved_tibetan_context	medium	review	45	Google has a Tibetan-looking diacritic alternate, but this needs manual validation.			
wts_1_34	240	64	1	330	Yś	Yś	non_translit_context	330	ys	citation_or_siglum	(¥ 330); skyu ... -r beug „er steckte den	(Yś 33c); skyu .. ~ bcug „er steckte den	sigla_registry	policy	already_canonical_siglum	5	Bibliographic siglum candidate for Yś; do not treat as Sanskrit/Tibetan OCR evidence.			
