volume	page	line	token_index	tibetan_syllable	reviewed_canonical_target	aligned_source_token	additional_source_token	context_between	proposed_target	echo_category	evidence	review_status	reason	prior_decision	decision_rationale	active_queue	context_excerpt
wts_1_34	35	164	7	ཞང	Zaṅ	Zan	Zan	, auch ska cog 	Zaṅ	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	manual_review	The entry explicitly repeats an alternate form after auch.			yes	ཀ་ཅོག་ཞང་ ka cog Zan, auch ska cog Zan Kurzf. für
wts_1_34	46	65	8	ལིང	liṅ	liṅ	lin	 ka, auch ka linika, ka 	liṅ	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	manual_review	The entry explicitly repeats an alternate form after auch.	deferred	The later ka linika form may preserve a distinct foreign-name spelling and is not normalized from Tibetan identity alone.	no	ཀ་ལིང་ཀ་ ka liṅ ka, auch ka linika, ka lin ga, ka
wts_1_34	48	99	3	ཀིང	kiṅ	kiṅ	kin	 	kiṅ	uncertain	same_line_entry_structure_after_positional_alignment	defer	No explicit entry-structure cue establishes lemma identity.	deferred	The extra kin is not independently aligned with the single Tibetan ཀིང syllable.	no	ཀང་ཀིང་ kan kiṅ kin kan.
wts_1_34	48	99	4	ཀང	kaṅ	kan	kan	 kiṅ kin 	kaṅ	uncertain	same_line_entry_structure_after_positional_alignment	defer	No explicit entry-structure cue establishes lemma identity.			yes	ཀང་ཀིང་ kan kiṅ kin kan.
wts_1_34	50	34	5	ཚང	tshaṅ	tshaṅ	tshan	 \karma kam 	tshaṅ	uncertain	same_line_entry_structure_after_positional_alignment	defer	No explicit entry-structure cue establishes lemma identity.	deferred	Backslash-attached reference unresolved.	no	ཀམ་ཚང་ kam tshaṅ \karma kam tshan.
wts_1_34	54	18	4	ཀང	kaṅ	kan	kan	, auch 	kaṅ	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	manual_review	The entry explicitly repeats an alternate form after auch.			yes	ཀིང་ཀང་ kiṅ kan, auch kan kiṅ, kan dan kiṅ, rkani
wts_1_34	54	18	6	ཀང	kaṅ	kan	kan	, auch kan kiṅ, 	kaṅ	explicit_same_lemma_repetition	same_line_entry_structure_after_positional_alignment	manual_review	The entry explicitly repeats an alternate form after auch.			yes	ཀིང་ཀང་ kiṅ kan, auch kan kiṅ, kan dan kiṅ, rkani
wts_1_34	54	214	4	ཚང	tshaṅ	tshaṅ	tshan	 \ke’u 	tshaṅ	uncertain	same_line_entry_structure_after_positional_alignment	defer	No explicit entry-structure cue establishes lemma identity.	deferred	Backslash-attached reference unresolved.	no	ཀིའུ་ ཚང་ kin tshaṅ \ke’u tshan.
wts_1_34	82	132	7	སློང	sloṅ	slon	slon	 ba, Kurzf. \kun 	sloṅ	cross_reference_probable	same_line_entry_structure_after_positional_alignment	manual_review	Cross-reference language suggests, but does not prove, identity.			yes	ཀུན་ནས་སློང་བ་ kun nas slon ba, Kurzf. \kun slon.
wts_1_34	87	30	7	ཀོང	koṅ	koṅ	kon	 jo \wun sin 	koṅ	uncertain	same_line_entry_structure_after_positional_alignment	defer	No explicit entry-structure cue establishes lemma identity.			yes	ཀུན་ཤེང་ཀོང་ཇོ་ kun sen koṅ jo \wun sin kon jo.
wts_1_34	87	195	7	སློང	sloṅ	slon	slon	, Kurzf. für Tkun 7775 	sloṅ	damaged_reference	same_line_entry_structure_after_positional_alignment	defer	Damage obscures the relationship to the aligned lemma.			yes	ཀུན་སློང་ kun slon, Kurzf. für Tkun 7775 slon ba.
