candidate_family	suspected_marker_source	suspected_marker_target	suspected_direction	attached_token	normalized_attached_token_candidate	context_type	suggested_action	confidence	count	volume_count	sample_refs	sample_contexts	notes
standalone_marker_candidate	/	↑/↓	direction_needs_review	dan	dan	transliteration	exact_review_candidate	medium	49	1	wts_1_34:41:168;wts_1_34:49:154;wts_1_34:51:186;wts_1_34:65:89;wts_1_34:68:141;wts_1_34:76:155;wts_1_34:80:176;wts_1_34:82:170	mi nag dan / yu gur dan / — dan / khyi dan „das || dan / — dan / ma la sa’i glin ... rnams na bstan || gZon nu dan / — dan phug na gnas pa dan /	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	dan	dan	cross_reference+transliteration	exact_review_candidate	medium	39	1	wts_1_34:46:38;wts_1_34:83:200;wts_1_34:109:4;wts_1_34:194:178;wts_1_34:207:69;wts_1_34:207:190;wts_1_34:261:150;wts_1_34:261:206	(Siddh 11.11); sman ka // dan / ... btags la / chu || 158,11); sdug bsṅal ba dan / — dan / ’gog pa || (Siddh 6.53); rtsa ba beu dan / — dan... rtsa ba	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgyal	rgyal	transliteration	exact_review_candidate	medium	31	1	wts_1_34:51:21;wts_1_34:63:113;wts_1_34:69:111;wts_1_34:74:85;wts_1_34:75:29;wts_1_34:87:4;wts_1_34:152:48;wts_1_34:179:14	rlag par / rgyal por yaṅ / kar po rgyal brtsan gyi || bla ma — pa / rgyal po bu yan tu / go gan / yi sun || gnas yin Ze na / rgyal po dan rkun po la sogs pa	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	chos	chos	transliteration	exact_review_candidate	medium	28	1	wts_1_34:35:184;wts_1_34:73:101;wts_1_34:77:140;wts_1_34:84:190;wts_1_34:106:62;wts_1_34:121:24;wts_1_34:122:174;wts_1_34:144:115	sems kyi glan chen myos pa ni / chos la sems || gan yod ces / chos smra rin chen sogs pa kun tu || kyan bya Ze na / chos kyi bag chags kyi sa bon	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	gan	gan	transliteration	exact_review_candidate	medium	26	1	wts_1_34:78:15;wts_1_34:80:101;wts_1_34:82:161;wts_1_34:84:188;wts_1_34:148:186;wts_1_34:163:166;wts_1_34:167:23;wts_1_34:208:27	mtshan nid dan / gan gyi dban gi mtshan 7/7 || gan phyin ci log kun nas mi ldan ba dan / gan || gzugs la slon ba po’am / — gan yari med „die	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgya	rgya	transliteration	exact_review_candidate	medium	26	1	wts_1_34:55:110;wts_1_34:92:216;wts_1_34:109:199;wts_1_34:168:19;wts_1_34:173:99;wts_1_34:244:40;wts_1_34:341:40;wts_1_34:388:125	chu phran chun chun ca co che / rgya mtsho ku co || fie ba’i nam ga ta’i yulrnams dan / rgya mtsho || Lex. sgog ni / rgya sgog / lha min khrag / —	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	ran	ran	transliteration	exact_review_candidate	medium	24	1	wts_1_34:69:100;wts_1_34:72:147;wts_1_34:86:137;wts_1_34:164:175;wts_1_34:184:29;wts_1_34:185:120;wts_1_34:195:178;wts_1_34:212:138	—r ’gyur ba’i gnas yin la / ran gi ’byor pa dan / || daṅ bral ba’i phyir / ran bZin med pa nid kun || de ran thos dan / ran rgyal rnams kyi 465 pa	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	dge	dge	transliteration	exact_review_candidate	medium	20	1	wts_1_34:64:60;wts_1_34:103:133;wts_1_34:140:154;wts_1_34:197:40;wts_1_34:232:94;wts_1_34:313:166;wts_1_34:414:68;wts_1_34:414:98	"bka’ stsal pa ... —’am / dge bsñen gyis sba bar || na / dge slon id — dka’ bar gnas ... mya han || rnin / Ad}kar 'brug — dan / dge lugs pa „Saskya-pa, rNih-ma-pa, Kar-ma-pa, '""Brug-pa,"	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	lha	lha	transliteration	exact_review_candidate	medium	18	1	wts_1_34:43:211;wts_1_34:70:23;wts_1_34:109:199;wts_1_34:112:92;wts_1_34:156:110;wts_1_34:179:141;wts_1_34:277:38;wts_1_34:314:25	blon po ’ga’ Zig gis / lha sa’i Sar du / — ... lha || rnams kun ’khrugs las ’chi ba / lha las gyur pa || Lex. sgog ni / rgya sgog / lha min khrag / —	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
standalone_marker_candidate	/	↑/↓	direction_needs_review	rgyal	rgyal	cross_reference+transliteration	exact_review_candidate	medium	16	1	wts_1_34:50:124;wts_1_34:92:102;wts_1_34:289:182;wts_1_34:297:11;wts_1_34:386:194;wts_1_34:519:40;wts_1_34:525:62;wts_1_34:526:72	ka’u hi’i (7. ka’u ///) rgyal khams „das Königreich Korea“ (Debm 937) ; rgya hor dan / yu gur || Kailäsa rauben“ (TsKh 17: 4,1); ?7”/ rgyal po || (KanL 1b); 47 7:77 bu ~ kyan / rgyal ba ...	Standalone marker-like glyph near Tibetan transliteration-looking text; exact correction requires page-line-token review and confirmed direction.
