volume	page	line	token_index	tibetan_syllable	source_latin_token	source_signature	proposed_latin_target	compatible_accepted_target_count	compatible_competing_form_counts	incompatible_dotted_form_counts	same_tibetan_dotted_evidence_total	old_alignment_category	source_compatible_category	damage_scope	syllable_identity_guard	confidence	suggested_action	transcription_integrity_status	transcription_integrity_violations	alignment_review_status	context_excerpt	reason_for_deferral
wts_1_34	48	50	1	ང	kan	ka<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་ཀ་ནག་ག་ཀ་བཅཙན་ kan ka nag gi klu btsan eine	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	50	50	2	ཤེང	sen	se<FINAL_NASAL>		0		Siṅ:1; Seṅ:1	2	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀམ་ཤེང་ kam sen, auch skam sen, kham śen ein	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	54	168	2	ཤེང	śen	śe<FINAL_NASAL>		0		Siṅ:1; Seṅ:1	2	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀིམ་ཤེང་ཀོང་ཅོ་ kim śen koṅ co, auch kim sen khon	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	61	114	1	ང	kun	ku<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་ས་ kun sa divin., einer der vier bzw. fünf gro-	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	87	30	2	ཤེང	sen	se<FINAL_NASAL>		0		Siṅ:1; Seṅ:1	2	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀུན་ཤེང་ཀོང་ཇོ་ kun sen koṅ jo \wun sin kon jo.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	90	170	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་ཙེ་ལན་མེད་ ken tse lan med	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	90	214	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་ཙེ་ལན་མེད་ ken tse lan med N. einer Phya-	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	1	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་རུས་ ken rus	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	3	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་རུས་ ken rus Knochen, Gebeine, Gerippe,	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	33	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་རུས་དཀར་མོ་ ken rus dkar mo „weißes Ske-	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	36	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་རུས་ཅན་ ken rus can npr. „mit einem Skelett	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	57	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་རུས་ཆེན་པོ་ ken rus chen po „großes Skelett“,	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	65	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	later_gloss_or_commentary	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་ཤི་ ken si tkin %.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	67	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་ཤུ་ཀ་ ken Su ka Tkin Su ka.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	91	68	1	ཀེང	ken	ke<FINAL_NASAL>		0		koṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀེང་ཤེ་ ken se Tkin 7.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	96	128	2	ཤེང	sen	se<FINAL_NASAL>		0		Siṅ:1; Seṅ:1	2	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀོ་ཤེང་ ko sen, auch kon sen N. einer Gegend.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	98	185	1	ང	kon	ko<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་ཚོ་ kon tsho eine Schule, die von śab-rtse im	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	99	21	2	ཤེང	sen	se<FINAL_NASAL>		0		Siṅ:1; Seṅ:1	2	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀོང་ཤེང་ koṅ sen eine Region in der Nähe von	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	104	89	2	ཀྱོང	kyon	kyo<FINAL_NASAL>		0		gyoṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀྱང་ཀྱོང་ kyaṅ kyon uneben, wellig.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	107	159	1	ཀྱོང	kyon	kyo<FINAL_NASAL>		0		gyoṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀྱོང་ kyon	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	108	1	1	ཀྱོང	kyon	kyo<FINAL_NASAL>		0		gyoṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀྱོང་ཀྱོང་ kyon kyon	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	108	1	2	ཀྱོང	kyon	kyo<FINAL_NASAL>		0		gyoṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀྱོང་ཀྱོང་ kyon kyon	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	108	17	1	ཀྱོང	kyon	kyo<FINAL_NASAL>		0		gyoṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀྱོང་བུ་ kyon bu ein Gerät, vgl. Ikyon mo.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	109	16	2	ཀླང	krun	kru<FINAL_NASAL>		0		kluṅ:8	8	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀྲུང་ཀླང་ kruṅ krun \khrun khrun.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	114	4	4	ཁྱུང	kbyun	kbyu<FINAL_NASAL>		0		khyuṅ:4	4	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀླུ་སྦྲལ་འོད་ཁྱུང་ klu sbrul ’od kbyun ¦/5// sbrul ’od	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	115	45	1	ང	klun	klu<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་ klun.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	115	122	1	ང	klun	klu<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་རྟ་ klun rta; vgl. Irlun rta. — chin. ES i-ma	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	118	3	1	ཀླང	klon	klo<FINAL_NASAL>		0		kluṅ:8	8	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ཀླང་ཆན་པ་” klon chen pa...	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	124	96	3	རྒྱང	igyan	igya<FINAL_NASAL>		0		rgyaṅ:13	13	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	དཀར་མོའི་རྒྱང་གྲགས་ dkar mo’i igyan grags !dkar	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	155	207	1	ང	ykan	yka<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་སྙས།་ ykan skyes Bez. für Angehörige der un-	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	157	112	2	འབུང	thun	thu<FINAL_NASAL>		0		Duṅ:1; buṅ:1; baṅ:1	3	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	རྐང་འབུང་ rkaṅ ’thun auch rkan thun „Fußtrin-	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	157	177	1	རྐང	ran	ra<FINAL_NASAL>		0		rkaṅ:105; rkyaṅ:1	106	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	རྐང་དྲུག་ ran ing ep	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	162	157	1	ང	rkon	rko<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་བྲར་ rkon zor	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	164	39	1	རྐྱང	Ryan	Rya<FINAL_NASAL>		0		rkyaṅ:25; rkaṅ:1	26	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	རྐྱང་ཟླ་ Ryan zla.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	176	29	2	ཤེང	sen	se<FINAL_NASAL>		0		Siṅ:1; Seṅ:1	2	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	སྐམ་ཤེང་ skam sen kam Sen.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	184	25	2	གདུང	gun	gu<FINAL_NASAL>		0		gduṅ:30; voṅ:1; gdunṅ:1	32	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	སྐུ་གདུང་ sh gun.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	187	148	1	ང	skun	sku<FINAL_NASAL>		0		naṅ:3; boṅ:3; byaṅ:3; ldoṅ:2; byuṅ:2; khaṅ:1; gduṅ:1; ldiṅ:1; snaṅ:1; dpuṅ:1; phuṅ:1; siṅ:1; braṅ:1; smyuṅ:1	22	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་སླང་ skun skun verborgen, geheim.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	187	148	2	སླང	skun	sku<FINAL_NASAL>		0		slaṅ:1	1	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	ང་སླང་ skun skun verborgen, geheim.	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	195	114	2	སང	sen	se<FINAL_NASAL>		0		saṅ:9; siṅ:1; sdaṅ:1	11	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	སྐྱ་སང་སང་པ་ skya sen sen po	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
wts_1_34	195	114	3	སང	sen	se<FINAL_NASAL>		0		saṅ:9; siṅ:1; sdaṅ:1	11	not_emitted_by_legacy_global_target	source_compatible_no_anchor	none	target_unresolved_no_anchor	diagnostic	alignment_and_target_discovery	target_unresolved_no_anchor		unresolved	སྐྱ་སང་སང་པ་ skya sen sen po	No case-sensitive compatible dotted anchor is available; this diagnostic establishes no canonical target.
