family_key	candidate_family	source_tokens	proposed_targets	occurrence_count	volume_count	sample_refs	sample_contexts	evidence_summary	confidence_summary	suggested_action
dollar_ś:s:s	dollar_ś	$ (902)	ś (902)	902	1	wts_1_34:1108:101; wts_1_34:1145:38; wts_1_34:12:42; wts_1_34:14:83; wts_1_34:18:78	Lex. //¿$ tha dad la ’du ses gcig pa dag dper || 10.35d); ri $; sar bas — med pa / in mtshan || Akhri 7 709$ ldan nams brgyud kyi rnam thar rin chen phrin |[!] ba. Ed.: A-tri thun-tsham 1967,	orthography_scan:900, google_unresolved_plus_orthography_scan:2	medium:902	review
dngos_family:dnos:dṅos	dngos_family	dnos (232)	dṅos (232)	232	1	wts_1_34:107:52; wts_1_34:110:130; wts_1_34:147:135; wts_1_34:156:68; wts_1_34:170:15	Hevajra“ (Hev 1.2.3); kye yi rdo rje’i dnos || lus dnos bar la — zer „[den Text] vom Anfang || 404,3); dnos 92: mdo don yı ger — te tshig don	language_knowledge:194, google_blocked_wrong_target_plus_language_knowledge:37, google_unresolved_plus_language_knowledge:1	high:164, medium:68	exact_promotion_candidate
unknown:lis:lis	unknown	Lis (153), Li$ (42), lis (6)	Liś (201)	201	1	wts_1_34:99:192; wts_1_34:190:75; wts_1_34:224:51; wts_1_34:224:99; wts_1_34:227:85	kocht und mit Asa foetida gewürzt ist“ (Lis || „mager, dünn: [jmd.] in schlechter Verfassung, mit wenig Fleisch oder skem pa“ (Lis || Lex. skri Zig = thon Zig „schicke“ (Lis			siglum_policy_review
unknown:rol:rol	unknown	rol (145)	Rol (145)	145	1	wts_1_34:12:32; wts_1_34:15:41; wts_1_34:15:128; wts_1_34:16:51; wts_1_34:18:138	AA Byams pa: Ses rab kyi pha rol tu phyin pa’i man nag gi bstan bcos mṅon par rtogs pa’i || Prajfäsena: ’Jig rten pha rol sgrub pa. Ed.: STEINKELLNER 1988. || ’Phags pa rgya cher rol pa / Ärya-lalitavistara-nama-mahäyänasütra.Ed.: Derge-Kan-			siglum_policy_review
unknown:vist:vist	unknown	VisT (90), VisṬ (4), ViST (2), ViśṬ (1), Vi$T (1)	ViśT (98)	98	1	wts_1_34:21:28; wts_1_34:69:95; wts_1_34:78:84; wts_1_34:106:88; wts_1_34:162:97	VisT Ses rab go cha: ’Phags pa’i bstod pa’i rgya cher bsad pa / Prajhävarman: Visesastavatika. || wurde sie wegen ihnen sehr besorgt“ (VisT || hatte eine Tochter namens Kunti“ (VisT			siglum_policy_review
unknown:ins:ins	unknown	ins (85), INS (1)	Ins (86)	86	1	wts_1_34:5:24; wts_1_34:21:89; wts_1_34:23:119; wts_1_34:26:90; wts_1_34:36:58	ren Textes handelt es sich um kanonische Werke, die aus indischen Sprachen ins Tibeti- || und schwarzen 131))111 hg. und ins Deutsche übertragen. Aus dem Anhang zu den Abh. 4. || tischen Texte mit dem Kommentar ins Deutsche übers. Heidelberg: Carl Winter’s Universi-			siglum_policy_review
unknown:lsdz-k:lsdz-k	unknown	Lsdz-K (33), L$dz-K (13)	Lśdz-K (46)	46	1	wts_1_34:138:96; wts_1_34:359:129; wts_1_34:545:122; wts_1_34:566:121; wts_1_34:624:59	Herz des Königs eingezogen war“ (Lsdz-K || Liste ist oben dargelegt worden“ (Lsdz-K || wurden leibhaftig herbeigerufen“ (Lsdz-K			siglum_policy_review
unknown:ys:ys	unknown	Y$ (23), Ys (16)	Yś (39)	39	1	wts_1_34:21:40; wts_1_34:329:120; wts_1_34:392:29; wts_1_34:620:21; wts_1_34:620:25	Ys Klu sgrub: sByor ba brgya pa / Nāgārjuna: Yogasataka. Ed.: Finuiozar 1979. || [u. a.] helfen bei allen Durchfällen“ (Ys || drei [Myrobalanen-]Früchte gekocht“ (Ys			siglum_policy_review
unknown:gs:gs	unknown	gs (24), G$ (3), Gś (2)	Gs (29)	29	1	wts_1_34:75:76; wts_1_34:111:165; wts_1_34:158:178; wts_1_34:163:175; wts_1_34:209:198	55,25); 'khrig pa ni gs kyis güis sbyor ba es || gzugs sbrul gs ... bris (metr.) „man zeichnet || — gs nas drub (7. drug) pa’i bar (metr.) „von			siglum_policy_review
unknown:gzi:gzi	unknown	gzi (28)	gZi (28)	28	1	wts_1_34:14:132; wts_1_34:29:18; wts_1_34:152:3; wts_1_34:152:4; wts_1_34:195:53	'Dus pa rin po che’i rgyud dri ma med pa gzi brjid rab tu ’bar ba’i mdo. Ed.: TiBETan || TiBETAn Bonpo MONASTIC CENTRE 1965: ’Dus pa rin po che’i rgyud dri ma med pa gzi brjid rab tu || Lex. kha dog ’od can gzi brjid can lta bu „wie			siglum_policy_review
