volume	page	line	token_index	source_file	source_queue	source_token	suspected_marker_source	suspected_marker_target	suspected_direction	attached_token	normalized_attached_token_candidate	context_excerpt	zone	near_tibetan_script	near_transliteration	near_vgl	near_headword	candidate_family	confidence	suggested_action	notes
wts_1_34	15	169	2	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	lha	lha	9. 7. (beginnt: Tshans pa la sogs pa dran sron dan / lha dan klu dan mi’i byan chub sems	latin_other	0	1	1	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	26	65	1	wts_1_34_corrected_full.txt	corrected_text_scan	Tshe-mchog-gling	T	↑	upward	she-mchog-gling	she-mchog-gling	rgyal bstan mdzes pa’i rgyan mchog phul byung nor bu’i phreng ba. By Tshe-mchog-gling	german_prose_with_translit	0	1	0	0	ocr_prefix_T_upward_marker_candidate	medium	source_image_review_needed	Likely OCR substitute for an upward reference marker before Wylie-looking text; exact correction requires source-image review.
wts_1_34	35	184	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	chos	chos	sems kyi glan chen myos pa ni / chos la sems	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	36	187	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	btsun	btsun	nas „Ärya Mahäkätyäyana ist mir zuliebe gekommen“ (K1 ka 25754); ~$ / btsun pa / bka’	german_prose_with_translit	0	1	1	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	36	187	2	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	bka’	bka’	nas „Ärya Mahäkätyäyana ist mir zuliebe gekommen“ (K1 ka 25754); ~$ / btsun pa / bka’	german_prose_with_translit	0	1	1	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	38	13	2	wts_1_34_corrected_full.txt	corrected_text_scan	Ispros	I	↑	upward	spros	spros	nna?) (Tshe 1b2); — = Ispros bral (Bon 18,13);	german_prose_with_translit	0	1	1	0	ocr_prefix_I_upward_marker_candidate	medium	source_image_review_needed	Likely OCR substitute for an upward reference marker before Wylie-looking text; exact correction requires source-image review.
wts_1_34	38	30	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	tshil	tshil	dan / tshil rgyas pa’i nad skems Sin / mnal gyi	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	38	180	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	gzeg	gzeg	lha chen po’i rjes su 'bran ba ... — ste / gzeg ma	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	40	34	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	gtsan	gtsan	pa gfüis te / gtsan khan can füd dan / — füid do	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	40	135	1	wts_1_34_corrected_full.txt	corrected_text_scan	Imkhan-bu	I	↑	upward	mkhan-bu	mkhan-bu	„Ka-ba śäkya dban-phyug, ein Imkhan-bu	german_prose_with_translit	0	1	0	0	ocr_prefix_I_upward_marker_candidate	medium	source_image_review_needed	Likely OCR substitute for an upward reference marker before Wylie-looking text; exact correction requires source-image review.
wts_1_34	41	168	2	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	dan	dan	mi nag dan / yu gur dan / — dan / khyi dan „das	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	42	75	2	wts_1_34_corrected_full.txt	corrected_text_scan	\dbyans	\	↑	upward	dbyans	dbyans	pa, \tsandra bya kärana, \dbyans can sgra mdo	german_prose_with_translit	0	1	0	0	ocr_prefix_backslash_marker_candidate	medium	source_image_review_needed	Likely OCR substitute for an upward reference marker before Wylie-looking text; exact correction requires source-image review.
wts_1_34	42	88	1	wts_1_34_corrected_full.txt	corrected_text_scan	Idan	I	↑	upward	dan	dan	Ka-dzi-li-ban [fließt] der Fluß gser-Idan	german_prose_with_translit	0	1	0	0	ocr_prefix_I_upward_marker_candidate	medium	source_image_review_needed	Likely OCR substitute for an upward reference marker before Wylie-looking text; exact correction requires source-image review.
wts_1_34	43	211	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	lha	lha	blon po ’ga’ Zig gis / lha sa’i Sar du / — ... lha	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	45	99	4	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	tshan	tshan	gel“ (T4113 217a1); spre’us — ༡// / tshan bsig pa	example_tibetan_latin	1	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	46	38	2	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	dan	dan	(Siddh 11.11); sman ka // dan / ... btags la / chu	latin_other	0	1	1	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	46	43	3	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	gzugs	gzugs	"""'thun ka //”/ gzugs kyi bZes phor „eine Schale aus"	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	46	199	1	wts_1_34_corrected_full.txt	corrected_text_scan	Idan	I	↑	upward	dan	dan	„entspr. !gsal-Idan, die Bez. für die Region	german_prose_with_translit	0	1	0	0	ocr_prefix_I_upward_marker_candidate	medium	source_image_review_needed	Likely OCR substitute for an upward reference marker before Wylie-looking text; exact correction requires source-image review.
wts_1_34	47	43	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	rgyas	rgyas	— la ni / rgyas pa yons chags mam par 'gyur	latin_other	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	49	154	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	dan	dan	dan / — dan / ma la sa’i glin ... rnams na bstan	latin_other	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	50	106	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	nan	nan	K1na 141b6); mi de la smras pa / — nan rje	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	50	124	3	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	rgyal	rgyal	ka’u hi’i (7. ka’u ///) rgyal khams „das Königreich Korea“ (Debm 937) ; rgya hor dan / yu gur	german_prose_with_translit	0	1	1	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	51	21	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	rgyal	rgyal	rlag par / rgyal por yaṅ / kar po rgyal brtsan gyi	latin_other	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
wts_1_34	51	107	1	wts_1_34_corrected_full.txt	corrected_text_scan	/	/	↑	upward	mkhris	mkhris	dan / mkhris pa sel „das Fleisch von Wassertieren ...[darunter] Krebs beseitigt [von]	german_prose_with_translit	0	1	0	0	standalone_marker_candidate	medium	source_image_review_needed	Standalone marker-like glyph near Wylie-looking text; exact correction requires source-image review.
