source_queue	volume	page	line	token_index	source_token	proposed_target	reference_marker_source	reference_marker_target	base_source_token	base_proposed_target	tibetan_witness	candidate_family	review_category	context_excerpt	evidence	confidence	suggested_action	score	score_explanation
corrected_text_scan	wts_1_34	60	118	4	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ཀུ་ས་ལི་ཆུང་བ་ ku sa li chun ba, auch ku sa li chun	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_1_34	60	118	10	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ཀུ་ས་ལི་ཆུང་བ་ ku sa li chun ba, auch ku sa li chun	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_1_34	60	190	4	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ཀཱ་སྭ་ལུ་ཆུང་བ་ ku su lu chun ba 1/5// sa li chun ba.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_1_34	60	190	10	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ཀཱ་སྭ་ལུ་ཆུང་བ་ ku su lu chun ba 1/5// sa li chun ba.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_1_34	121	151	2	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	direct_unique_alignment	དཀར་ཆུང་རིང་མོ་ dkar chun rin mo	tibetan_script_witness	high	exact_promotion_candidate	98	One Tibetan final-ང witness aligns with one Latin candidate in the corresponding headword or transliteration phrase.
corrected_text_scan	wts_1_34	121	193	2	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	དཀར་ཆུང་ dkar chun \skar chun.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_1_34	121	193	4	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	དཀར་ཆུང་ dkar chun \skar chun.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_1_34	121	195	2	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	direct_unique_alignment	དཀར་ཆུང་རིང་མོ་ dkar chun rin mo npr. ein Bla-ma	tibetan_script_witness	high	exact_promotion_candidate	98	One Tibetan final-ང witness aligns with one Latin candidate in the corresponding headword or transliteration phrase.
corrected_text_scan	wts_1_34	177	61	2	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	སྐར་ཆུང་ skar chun auch dkar chun vgl. 15527	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_1_34	177	61	5	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	སྐར་ཆུང་ skar chun auch dkar chun vgl. 15527	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
