change_type	volume	page	line	token_index	tibetan_syllable	source_latin_token	old_target	new_target	old_category	new_category	compatible_anchor_count	context_excerpt
newly_discovered	wts_1_34	1001	169	2	རྨང	rlun		rluṅ		source_compatible_structure_mismatch	0	ཐལ་རྨང་ thal rlun Sandsturm.
newly_discovered	wts_1_34	1001	28	2	བྱང	byun		byuṅ		source_compatible_structure_mismatch	1	ཐལ་བྱང་འགྲོ་ thal byun 'gro.
newly_discovered	wts_1_34	1001	9	2	ཀྱང	byun		byuṅ		source_compatible_structure_mismatch	0	ཐལ་ཀྱང་ thal byun geradewegs; ༡ du ’gro glatt
newly_discovered	wts_1_34	1004	15	1	ཐང	thin		thiṅ		source_compatible_structure_mismatch	0	ཐང་ཤང་ thin sin ein blauer Farbstoff.
newly_discovered	wts_1_34	1004	15	2	ཤང	sin		siṅ		source_compatible_structure_mismatch	1	ཐང་ཤང་ thin sin ein blauer Farbstoff.
newly_discovered	wts_1_34	1004	7	1	བིང	thin		thiṅ		source_compatible_insufficient_evidence	0	བིང་ ཡུག་ thin yug eine hohe Zahl.
newly_discovered	wts_1_34	1014	15	2	འབྱང	byun		byuṅ		source_compatible_structure_mismatch	1	"ཐུགས་འབྱང་ thugs ""byun pf. Tthugs byun"
newly_discovered	wts_1_34	1015	194	4	བང	thun		thuṅ		source_compatible_structure_mismatch	0	Dämonen besessen sein. བང་ thun alttib. auch thune kurz, klein sein; ༡
newly_discovered	wts_1_34	1017	200	2	མོང	thun		thuṅ		source_compatible_structure_mismatch	0	"ཐུན་མོང་ EN"" thun mon chos."
newly_discovered	wts_1_34	1028	18	3	རྐང	bran		braṅ		source_compatible_insufficient_evidence	0	བའུ་བང་རྐང་གཅུག་ lhe u bran rkan geig ein für
newly_discovered	wts_1_34	1033	42	2	དུང	drun		druṅ		source_compatible_insufficient_evidence	0	ཐོག་དུང་ thog drun hoch und niedrig; Höhe.
newly_discovered	wts_1_34	1036	167	1	ང	thon		thoṅ		source_compatible_structure_mismatch	0	ང་ཐང་ thon thon
newly_discovered	wts_1_34	1036	167	2	ཐང	thon		thoṅ		source_compatible_structure_mismatch	0	ང་ཐང་ thon thon
newly_discovered	wts_1_34	1036	214	2	བོང	thon		thoṅ		source_compatible_insufficient_evidence	0	ཐོང་བོང་ thon thon Lebensalter; jugendlich.
newly_discovered	wts_1_34	1036	55	1	ཐང	Ithon		Ithoṅ		source_compatible_marker_attached	0	ཐང་ Ithon
newly_discovered	wts_1_34	1037	19	1	བོང	thon		thoṅ		source_compatible_insufficient_evidence	0	བོང་མི་ཁྲ་ thon mi ba.
newly_discovered	wts_1_34	104	89	2	ཀྱོང	kyon		kyoṅ		source_compatible_insufficient_evidence	0	ཀྱང་ཀྱོང་ kyaṅ kyon uneben, wellig.
newly_discovered	wts_1_34	1049	106	1	མཐང	mthan		mthaṅ		source_compatible_insufficient_evidence	0	མཐང་སྦྱར་བ་ mthan sbyar ba
newly_discovered	wts_1_34	1049	108	1	མཐང	mthan		mthaṅ		source_compatible_insufficient_evidence	0	མཐང་སྦྱར་བ་ mthan sbyar ba auch 'than sbyar
newly_discovered	wts_1_34	1049	50	1	མཐང	mthan		mthaṅ		source_compatible_insufficient_evidence	0	མཐང་སྤྲད་པ་ mthan sprad pa
newly_discovered	wts_1_34	1049	71	1	མཐང	mthan		mthaṅ		source_compatible_damaged_context	0	མཐང་གོས་ mthan 905 Rock, Unterteil des
newly_discovered	wts_1_34	1049	98	1	མཐང	mthan		mthaṅ		source_compatible_insufficient_evidence	0	མཐང་སྤྲད་པ་ mthan sprad pa Bez. für Ge-
newly_discovered	wts_1_34	1056	106	1	མཐང	mthin		mthiṅ		source_compatible_structure_mismatch	0	མཐང་ཤཱུན་ mthin Sun ein blaues Leder oder ein
newly_discovered	wts_1_34	1061	59	2	མང	mon		moṅ		source_compatible_structure_mismatch	0	མཐུན་མང་ mthun mon །[//)//?2 mon.
newly_discovered	wts_1_34	1066	86	1	མོང	mthon		mthoṅ		source_compatible_insufficient_evidence	0	མོང་རྒ་ཆེ་ mthon rgya che weitsichtig, erfah-
category_changed	wts_1_34	1067	12	1	མཐང	mthon	mthoṅ	mthoṅ	source_compatible_insufficient_evidence	source_compatible_structure_mismatch	1	མཐང་ཁབའ་ས། mthon ba’i sa „Stufe des Sehens
newly_discovered	wts_1_34	107	159	1	ཀྱོང	kyon		kyoṅ		source_compatible_insufficient_evidence	0	ཀྱོང་ kyon
newly_discovered	wts_1_34	1070	36	2	སྙིང	shin		shiṅ		source_compatible_structure_mismatch	0	འཐབ་སྙིང་ 'thab shin geübt.
newly_discovered	wts_1_34	1071	114	1	འབྲིང	thin		thiṅ		source_compatible_structure_mismatch	0	"འབྲིང་རིལ།་ ""thin 77 Imthin ril."
newly_discovered	wts_1_34	1074	31	1	འབྲེང	then		theṅ		source_compatible_structure_mismatch	0	འབྲེང་མ་ ’then ma lahm.
newly_discovered	wts_1_34	1076	34	3	འཐུང	den		deṅ		source_compatible_structure_mismatch	0	འཐོར་འཐུང་ ¡007 ’thun [den Mund] ausspülen.
newly_discovered	wts_1_34	108	1	1	ཀྱོང	kyon		kyoṅ		source_compatible_insufficient_evidence	0	ཀྱོང་ཀྱོང་ kyon kyon
newly_discovered	wts_1_34	108	1	2	ཀྱོང	kyon		kyoṅ		source_compatible_insufficient_evidence	0	ཀྱོང་ཀྱོང་ kyon kyon
newly_discovered	wts_1_34	108	17	1	ཀྱོང	kyon		kyoṅ		source_compatible_insufficient_evidence	0	ཀྱོང་བུ་ kyon bu ein Gerät, vgl. Ikyon mo.
newly_discovered	wts_1_34	109	16	2	ཀླང	krun		kruṅ		source_compatible_structure_mismatch	0	ཀྲུང་ཀླང་ kruṅ krun \khrun khrun.
newly_discovered	wts_1_34	1090	74	4	བཟུང	von		voṅ		source_compatible_structure_mismatch	0	ད་གཟོད་ནས་བཟུང་ dagzod nas bzuṅ von nun an.
newly_discovered	wts_1_34	1090	89	2	ཡང	nun		nuṅ		source_compatible_structure_mismatch	0	ད་ཡང་ dayan nun; auch jetzt, auch jetzt noch;
newly_discovered	wts_1_34	1091	18	2	རུང	noch		nocṅ		source_compatible_structure_mismatch	0	ད་རུང་ darun noch, dann, weiterhin, noch im-
newly_discovered	wts_1_34	1099	92	4	གླེང	khan		khaṅ		source_compatible_structure_mismatch	0	'བྲེད་ཁྲས་ཁང་གླེང་ dag byed khrus khan glin
newly_discovered	wts_1_34	1106	9	1	དང	dangon		dangoṅ		source_compatible_structure_mismatch	0	དང་གོང་ dangon in thugs kyi — Brust.
newly_discovered	wts_1_34	1106	9	2	གོང	in		iṅ		source_compatible_structure_mismatch	0	དང་གོང་ dangon in thugs kyi — Brust.
newly_discovered	wts_1_34	1109	35	1	ང	dan		daṅ		source_compatible_insufficient_evidence	0	ང་པོའི་རྫལ་རྨན་ dan po’ rdul can Bez. für
target_changed	wts_1_34	111	3	2	གཞུང	gzun	gZuṅ	gzuṅ	source_compatible_insufficient_evidence	source_compatible_insufficient_evidence	0	ཀླད་གཞུང་ klad gzun Rückenmark.
newly_discovered	wts_1_34	113	33	2	གདང	gdon		gdoṅ		source_compatible_structure_mismatch	2	ཀླུ་གདང་མ་ལྔ་ klu gdon ma lṅa N. von fünf
newly_discovered	wts_1_34	114	4	4	ཁྱུང	kbyun		kbyuṅ		source_compatible_insufficient_evidence	0	ཀླུ་སྦྲལ་འོད་ཁྱུང་ klu sbrul ’od kbyun ¦/5// sbrul ’od
newly_discovered	wts_1_34	1140	87	2	རིང	Iderin		Ideriṅ		source_compatible_marker_attached	0	དི་རིང་ dirin Iderin.
newly_discovered	wts_1_34	1141	45	2	འགང	gah		gaṅ		source_compatible_insufficient_evidence	0	དིང་འགང་ din ’'gah (zw.) Filztuch; vgl. Igdin
newly_discovered	wts_1_34	115	122	1	ང	klun		kluṅ		source_compatible_structure_mismatch	0	ང་རྟ་ klun rta; vgl. Irlun rta. — chin. ES i-ma
newly_discovered	wts_1_34	115	45	1	ང	klun		kluṅ		source_compatible_structure_mismatch	0	ང་ klun.
newly_discovered	wts_1_34	1150	33	2	ཁང	kban		kbaṅ		source_compatible_structure_mismatch	4	དུག་ཁང་ dug kban \dugs khaṅ 1.
newly_discovered	wts_1_34	1164	28	3	ངང	nan		naṅ		source_compatible_insufficient_evidence	0	དུམ་བུའི་ངང་ཚུལ་ dum bu’i nan tshul eine sinn-
disappeared	wts_1_34	117	129	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་ klon.
disappeared	wts_1_34	117	165	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་སྒོམ་ klon sgom
disappeared	wts_1_34	117	172	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་དཀྱིལ་ klon dkyil Mitee.
disappeared	wts_1_34	117	184	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་འཁོར་ klon ’khor Strudel, Welle.
disappeared	wts_1_34	117	189	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་གི་མ་མོ་ klon gi ma mo Beiname der Srid-pa
disappeared	wts_1_34	117	196	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་གྲམ་ klon grum eine Art Dachs.
disappeared	wts_1_34	117	202	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་སྒོམ་ klon sgom die höchste von drei Medita-
disappeared	wts_1_34	118	23	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་ཐང་ klon thaṅ N. einer Region in ’Dan
disappeared	wts_1_34	118	29	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་དུ་གྱུར་པ་ klon du gyur pa.
newly_discovered	wts_1_34	118	3	1	ཀླང	klon		kloṅ		source_compatible_structure_mismatch	0	ཀླང་ཆན་པ་” klon chen pa...
disappeared	wts_1_34	118	40	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་རྡོལ་ klon rdol npr. ein Kloster in sKyid-śod,
disappeared	wts_1_34	118	44	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་རྡོལ་བླ་མ་ klon rdol bla ma npr. der Gelehrte
disappeared	wts_1_34	118	56	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			"ཀློང་ ""klon sde eine Abteilung der rDzogs-"
disappeared	wts_1_34	118	64	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་བརྡོལ་ klon brdol „aus der Mitte hervorkom-
disappeared	wts_1_34	118	74	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་པ་ klon pa Schmutz, Schlamm.
disappeared	wts_1_34	118	77	1	ཀློང	klon	kloṅ		source_compatible_dominant_consensus			ཀློང་ཡངས་ klon yans ausgedehnt, weitherzig.
newly_discovered	wts_1_34	1192	38	3	ཆུང	run		ruṅ		source_compatible_insufficient_evidence	1	དུས་སུ་ཆུང་བ་ dus su run ba zeitgemäß, zur
