source_queue	volume	page	line	token_index	source_token	proposed_canon	work_title	intro_line_ref	status	context_excerpt	suggested_action
corrected_text_scan	wts_1_34	5	24		ins	Ins	Inscription sources	abbr_lit_2	active	ren Textes handelt es sich um kanonische Werke, die aus indischen Sprachen ins Tibeti-	siglum_policy_review
corrected_text_scan	wts_1_34	12	32		rol	Rol	Rol siglum	abbr_lit_4	active	AA Byams pa: Ses rab kyi pha rol tu phyin pa’i man nag gi bstan bcos mṅon par rtogs pa’i	siglum_policy_review
corrected_text_scan	wts_1_34	14	132		gzi	gZi	gZi siglum	abbr_lit_4	active	'Dus pa rin po che’i rgyud dri ma med pa gzi brjid rab tu ’bar ba’i mdo. Ed.: TiBETan	siglum_policy_review
corrected_text_scan	wts_1_34	15	41		rol	Rol	Rol siglum	abbr_lit_4	active	Prajfäsena: ’Jig rten pha rol sgrub pa. Ed.: STEINKELLNER 1988.	siglum_policy_review
corrected_text_scan	wts_1_34	15	128		rol	Rol	Rol siglum	abbr_lit_4	active	’Phags pa rgya cher rol pa / Ärya-lalitavistara-nama-mahäyänasütra.Ed.: Derge-Kan-	siglum_policy_review
corrected_text_scan	wts_1_34	16	51		rol	Rol	Rol siglum	abbr_lit_4	active	bu’i Zabs kyi(s) nam par thar pa’i cha sas brjod pa no mtshar dad pa’i rol mtsho	siglum_policy_review
corrected_text_scan	wts_1_34	18	106		$Sambh	Śambh	Śambh source	abbr_lit_2	active	$Sambh	siglum_policy_review
corrected_text_scan	wts_1_34	18	138		rol	Rol	Rol siglum	abbr_lit_4	active	Kun dga’ bsod nams: Rig pa’i gnas Ina las bzo rig pa’i bye brag rol mo’i bstan bcos kyi	siglum_policy_review
corrected_text_scan	wts_1_34	21	9		rol	Rol	Rol siglum	abbr_lit_4	active	17: 1-841] Ses rab kyi pha rol tu phhyin pa’i man nag gi bstan bcos mnon par rtogs pa’i	siglum_policy_review
corrected_text_scan	wts_1_34	21	28		VisT	ViśT	Viśeṣastavatīkā source	abbr_lit_2	active	VisT Ses rab go cha: ’Phags pa’i bstod pa’i rgya cher bsad pa / Prajhävarman: Visesastavatika.	siglum_policy_review
corrected_text_scan	wts_1_34	21	40		Ys	Yś	Yś source	abbr_lit_2	active	Ys Klu sgrub: sByor ba brgya pa / Nāgārjuna: Yogasataka. Ed.: Finuiozar 1979.	siglum_policy_review
corrected_text_scan	wts_1_34	21	89		ins	Ins	Inscription sources	abbr_lit_2	active	und schwarzen 131))111 hg. und ins Deutsche übertragen. Aus dem Anhang zu den Abh. 4.	siglum_policy_review
corrected_text_scan	wts_1_34	22	46		rol	Rol	Rol siglum	abbr_lit_4	active	Byams pa [d. i. Maitreya]: Ses rab kyi pha rol tu phyin pa’i man naggi bstan bcos mnon par rtogs pa’i	siglum_policy_review
corrected_text_scan	wts_1_34	23	119		ins	Ins	Inscription sources	abbr_lit_2	active	tischen Texte mit dem Kommentar ins Deutsche übers. Heidelberg: Carl Winter’s Universi-	siglum_policy_review
corrected_text_scan	wts_1_34	26	90		ins	Ins	Inscription sources	abbr_lit_2	active	ung des Sanskrittextes. Hg., ins Deutsche übertragen und mit einem Wörterbuch versehen. 2	siglum_policy_review
corrected_text_scan	wts_1_34	27	14		rol	Rol	Rol siglum	abbr_lit_4	active	Prajnäsena: ’Jig rten pha rol sgrub pa | STEINKELLNER 1988 [’Jig]	siglum_policy_review
corrected_text_scan	wts_1_34	28	89		rol	Rol	Rol siglum	abbr_lit_4	active	— 1988: Nachweis der Wiedergeburt. Prajnäsenas ’Jig rten pha rol sgrub pa. Ein früher tibetischer	siglum_policy_review
corrected_text_scan	wts_1_34	29	18		gzi	gZi	gZi siglum	abbr_lit_4	active	TiBETAn Bonpo MONASTIC CENTRE 1965: ’Dus pa rin po che’i rgyud dri ma med pa gzi brjid rab tu	siglum_policy_review
corrected_text_scan	wts_1_34	35	151		Bu-Sz	Bu-śz	bStan pa rdzon chos kyi blo gros	abbr_lit_3	active	881,4/Bu-Sz 16,3).	siglum_policy_review
corrected_text_scan	wts_1_34	36	58		ins	Ins	Inscription sources	abbr_lit_2	active	ins [trübe] Wasser wirft, wird das Wasser klar	siglum_policy_review
corrected_text_scan	wts_1_34	48	183		rol	Rol	Rol siglum	abbr_lit_4	active	Lex. phar — lta bu phar kha’am pha rol gyi don	siglum_policy_review
corrected_text_scan	wts_1_34	51	84		Sambh	Śambh	Śambh source	abbr_lit_2	active	hunderttausend Kärsäpana wert“ (Sambh	siglum_policy_review
corrected_text_scan	wts_1_34	57	6		rol	Rol	Rol siglum	abbr_lit_4	active	Kumärila, d.i. [tib.] IgZon nu rol pa“ (Tär	siglum_policy_review
corrected_text_scan	wts_1_34	59	208		ins	Ins	Inscription sources	abbr_lit_2	active	Buddha ins Nirvāṇa einging“ (brDa); ku sa’i	siglum_policy_review
corrected_text_scan	wts_1_34	65	61		rol	Rol	Rol siglum	abbr_lit_4	active	2172); gan ses rab kyi pha rol tu phyin pa ¢	siglum_policy_review
corrected_text_scan	wts_1_34	67	11		rol	Rol	Rol siglum	abbr_lit_4	active	T3805 ༢195 med ’byun gnas sbas pa: ’Phags pa śes rab kyi pha rol tu phyin pa brgyad ston pa’i	siglum_policy_review
