signature_id	operation_signature	current_exact_candidates	condition_matches	condition_failures	distinct_syllables	exact_alternate_target_agreements	exact_alternate_source_agreements	exact_alternate_conflicts	failure_reasons	matched_identities
ASPIRATE_DIGRAPH_B_TO_H	SUB b→h	89	0	89	0	0	0	0	alignment_not_secure:73;domain_mismatch:4;other_unexplained_edit:2;source_context_mismatch:10	none
DEL b	DEL b	26	0	26	0	0	0	0	alignment_not_secure:23;other_unexplained_edit:3	none
DEL i	DEL i	16	2	14	2	0	0	0	alignment_not_secure:11;domain_mismatch:2;other_unexplained_edit:1	wts_1_34:276:175:1:ཁོང:ikhon→khoṅ;wts_8_b:73:39:4:ཙནྡྲ:tsanidra→tsandra
DEL r	DEL r	41	1	40	1	0	0	0	alignment_not_secure:35;domain_mismatch:1;other_unexplained_edit:4	wts_1_34:640:202:1:ཆི:chir→chi
INITIAL_CURLY_APOSTROPHE_EXTRA_NO_ACHUNG	DEL ’	554	17	537	12	0	0	0	alignment_not_secure:77;damage_or_marker:84;domain_mismatch:12;forbidden_tibetan_feature:362;other_unexplained_edit:2	wts_1_34:276:177:1:ཁོང:’khoṅ→khoṅ;wts_1_34:322:185:1:ཁོར:’khor→khor;wts_1_34:360:143:1:གོང:’goṅ→goṅ;wts_1_34:373:123:1:གྲང:’graṅ→graṅ;wts_1_34:626:95:1:ཆགས:’chags→chags;wts_1_34:626:199:1:ཆགས:’chags→chags;wts_1_34:1259:51:1:དོན:’don→don;wts_1_34:1262:68:1:དོན:’don→don;wts_1_34:1060:1:1:མཐུན:’mthun→mthun;wts_1_34:164:1:1:རྐྱང:’rkyaṅ→rkyaṅ;wts_1_34:465:123:1:རྒྱགས:’rgyags→rgyags;wts_1_34:190:198:1:སྐོང:’skoṅ→skoṅ;wts_1_34:193:1:1:སྐོལ:’skol→skol;wts_1_34:193:18:1:སྐོལ:’skol→skol;wts_1_34:193:27:1:སྐོལ:’skol→skol;wts_1_34:951:77:1:སྟོང:’stoṅ→stoṅ;wts_1_34:952:51:1:སྟོང:’stoṅ→stoṅ
INITIAL_STRAIGHT_APOSTROPHE_EXTRA_NO_ACHUNG	DEL '	1049	151	898	85	0	0	0	alignment_not_secure:250;damage_or_marker:98;domain_mismatch:39;forbidden_tibetan_feature:499;other_unexplained_edit:12	wts_1_34:266:125:1:ཁུག:'khng→khug;wts_1_34:275:173:1:ཁོང:'khoṅ→khoṅ;wts_1_34:321:76:1:ཁོར:'khor→khor;wts_1_34:278:139:1:ཁོལ:'khol→khol;wts_1_34:278:212:1:ཁོལ:'khol→khol;wts_1_34:279:3:1:ཁོལ:'khol→khol;wts_1_34:279:23:1:ཁོལ:'khol→khol;wts_1_34:296:8:1:ཁྲིག:'khrig→khrig;wts_1_34:300:187:1:ཁྲོ:'khro→khro;wts_1_34:302:140:1:ཁྲོམ:'khrom→khrom;wts_1_34:897:61:1:གཏོང:'gtoṅ→gtoṅ;wts_1_34:898:108:1:གཏོར:'gtor→gtor;wts_1_34:344:88:1:གད:'gad→gad;wts_35_51:21:42:1:གདུང:'gduṅ→gduṅ;wts_35_51:22:1:1:གདུང:'gduṅ→gduṅ;wts_35_51:22:48:1:གདུང:'gduṅ→gduṅ;wts_1_34:373:75:1:གྲང:'graṅ→graṅ;wts_1_34:1002:3:1:ཐིག:'thig→thig;wts_1_34:1026:26:1:ཐེན:'then→then;wts_1_34:1031:28:1:ཐོག:'thog→thog;wts_1_34:1031:58:1:ཐོག:'thog→thog;wts_1_34:1031:167:1:ཐོག:'thog→thog;wts_1_34:1040:9:1:ཐོན:'thon→thon;wts_1_34:1045:61:1:ཐོབ:'thob→thob;wts_1_34:1046:176:1:ཐོར:'thor→thor;wts_1_34:1047:167:1:ཐོས:'thos→thos;wts_1_34:125:65:1:དཀུ:'dku→dku;wts_1_34:1100:44:1:དང:'daṅ→daṅ;wts_1_34:1100:54:1:དང:'daṅ→daṅ;wts_1_34:1101:1:1:དང:'daṅ→daṅ;wts_1_34:1102:1:1:དང:'daṅ→daṅ;wts_1_34:1102:51:1:དང:'daṅ→daṅ;wts_1_34:1103:1:1:དང:'daṅ→daṅ;wts_1_34:1103:52:1:དང:'daṅ→daṅ;wts_1_34:1104:51:1:དང:'daṅ→daṅ;wts_1_34:1111:14:1:དང:'daṅ→daṅ;wts_8_b:372:14:1:དབུ:'dbu→dbu;wts_1_34:1158:55:1:དུད:'dud→dud;wts_1_34:1158:94:1:དུད:'dud→dud;wts_1_34:1159:27:1:དུད:'dud→dud
INS_R_SUPERSCRIPT	INS r	37	0	37	0	0	0	0	alignment_not_secure:29;other_unexplained_edit:2;tibetan_role_mismatch:6	none
REPLACE ni→ṅ	REPLACE ni→ṅ	17	10	7	4	0	0	0	alignment_not_secure:2;domain_mismatch:3;other_unexplained_edit:2	wts_35_51:235:1:4:ཀང:kani→kaṅ;wts_1_34:681:119:4:གཙང:gtsani→gtsaṅ;wts_8_b:392:43:2:གཙང:gtsani→gtsaṅ;wts_1_34:393:118:1:གླང:glani→glaṅ;wts_1_34:393:178:1:གླང:glani→glaṅ;wts_9_m:347:19:2:གླང:glani→glaṅ;wts_1_34:180:107:2:བཟང:bzani→bzaṅ;wts_1_34:987:63:2:བཟང:bzani→bzaṅ;wts_35_51:1047:1:2:བཟང:bzani→bzaṅ;wts_9_m:137:2:4:བཟང:bzani→bzaṅ
ROOT_MTB_TO_MTH	SUB b→h	89	0	89	0	0	0	0	alignment_not_secure:73;domain_mismatch:4;source_context_mismatch:12	none
ROOT_P_MISSING_H	INS h	17	0	17	0	0	0	0	alignment_not_secure:15;other_unexplained_edit:1;source_context_mismatch:1	none
