prepass_sha	tibetan_syllable	source_latin_token	proposed_latin_target	accepted_form_count	alignment_category	candidate_count	volumes	evidence_types
99b962106267f67620a2fb66f768a65725266210	ཀོང	kon	koṅ	8	damaged_context	1	wts_1_34	positionally_aligned_corpus_consensus
99b962106267f67620a2fb66f768a65725266210	ཀོང	kon	koṅ	8	dominant_internal_consensus	44	wts_1_34	positionally_aligned_corpus_consensus
99b962106267f67620a2fb66f768a65725266210	གོང	goh	goṅ	8	dominant_internal_consensus	1	wts_35_51	positionally_aligned_corpus_consensus
99b962106267f67620a2fb66f768a65725266210	གོང	gon	goṅ	8	damaged_context	1	wts_1_34	positionally_aligned_corpus_consensus
99b962106267f67620a2fb66f768a65725266210	གོང	gon	goṅ	8	dominant_internal_consensus	44	wts_1_34;wts_35_51	positionally_aligned_corpus_consensus
99b962106267f67620a2fb66f768a65725266210	འགོང	gon	goṅ	2	dominant_internal_consensus	3	wts_1_34	positionally_aligned_corpus_consensus
99b962106267f67620a2fb66f768a65725266210	སྟོང	ston	stoṅ	25	damaged_context	2	wts_1_34	positionally_aligned_corpus_consensus
99b962106267f67620a2fb66f768a65725266210	སྟོང	ston	stoṅ	25	dominant_internal_consensus	44	wts_1_34;wts_35_51	positionally_aligned_corpus_consensus
6322c7255cfba2fcfaf678cec656e65496ed5f12	གླང	glah	glaṅ	9	dominant_internal_consensus	1	wts_8_b	positionally_aligned_corpus_consensus
6322c7255cfba2fcfaf678cec656e65496ed5f12	གླང	glan	glaṅ	9	dominant_internal_consensus	43	wts_1_34	positionally_aligned_corpus_consensus
6322c7255cfba2fcfaf678cec656e65496ed5f12	གླིང	glin	gliṅ	17	dominant_internal_consensus	34	wts_1_34;wts_35_51;wts_8_b	positionally_aligned_corpus_consensus
6322c7255cfba2fcfaf678cec656e65496ed5f12	དུང	dun	duṅ	2	dominant_internal_consensus	37	wts_1_34	positionally_aligned_corpus_consensus
6322c7255cfba2fcfaf678cec656e65496ed5f12	བཟང	bzan	bzaṅ	34	dominant_internal_consensus	37	wts_1_34;wts_35_51;wts_8_b;wts_9_m	positionally_aligned_corpus_consensus
3051b3394a49345a5202259f3466ef794177701b	བཟང	bzan	bzaṅ	34	dominant_internal_consensus	37	wts_1_34;wts_35_51;wts_8_b;wts_9_m	positionally_aligned_corpus_consensus
3051b3394a49345a5202259f3466ef794177701b	དུང	dun	duṅ	2	dominant_internal_consensus	37	wts_1_34	positionally_aligned_corpus_consensus
3051b3394a49345a5202259f3466ef794177701b	གླིང	glin	gliṅ	17	dominant_internal_consensus	34	wts_1_34;wts_35_51;wts_8_b	positionally_aligned_corpus_consensus
3051b3394a49345a5202259f3466ef794177701b	ཆང	chan	chaṅ	12	dominant_internal_consensus	31	wts_1_34	positionally_aligned_corpus_consensus
3051b3394a49345a5202259f3466ef794177701b	མཐོང	mthon	mthoṅ	9	dominant_internal_consensus	30	wts_1_34	positionally_aligned_corpus_consensus
3051b3394a49345a5202259f3466ef794177701b	མཐོང	mthon	mthoṅ	9	damaged_context	1	wts_1_34	positionally_aligned_corpus_consensus
3051b3394a49345a5202259f3466ef794177701b	རིང	rin	riṅ	17	dominant_internal_consensus	30	wts_1_34	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	གཏོང	gton	gtoṅ	10	dominant_internal_consensus	27	wts_1_34	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	གཏོང	gton	gtoṅ	10	damaged_context	1	wts_1_34	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	སྐྱོང	skyon	skyoṅ	14	dominant_internal_consensus	27	wts_1_34;wts_35_51	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	འབྱུང	byun	byuṅ	31	dominant_internal_consensus	23	wts_1_34;wts_35_51;wts_8_b;wts_9_m	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	འབྱུང	byuh	byuṅ	31	dominant_internal_consensus	3	wts_35_51	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	སྟེང	sten	steṅ	11	dominant_internal_consensus	23	wts_1_34	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	སྟེང	steh	steṅ	11	dominant_internal_consensus	2	wts_1_34;wts_35_51	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	སྟེང	steh	steṅ	11	damaged_context	1	wts_1_34	positionally_aligned_corpus_consensus
04d8c1a99743277a31460e050ff9a6f1ac5b2604	དྲུང	drun	druṅ	2	dominant_internal_consensus	25	wts_1_34;wts_9_m	positionally_aligned_corpus_consensus
