frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	anchor_provenance	anchor_identity	lemma_identity_evidence	manual_review_rationale	context_excerpt
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	109	88	2	ཀྲོང	kron	kroṅ	echo	direct_repeated_tibetan_alignment	none	base_ocr_dotted	wts_9_m:302:20:2:kroṅ	direct_repeated_tibetan_alignment	Frozen for explicit A/D/R/RE review.	ཀྲོང་ཀྲོང་ kron kron.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	109	55	1	ཀྲོང	kron	kroṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_9_m:302:20:2:kroṅ	direct_repeated_tibetan_alignment	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	ཀྲོང་ངེ་ kron ne
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	109	88	1	ཀྲོང	kron	kroṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_9_m:302:20:2:kroṅ	direct_repeated_tibetan_alignment	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	ཀྲོང་ཀྲོང་ kron kron.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	109	88	2	ཀྲོང	kron	kroṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_9_m:302:20:2:kroṅ	direct_repeated_tibetan_alignment	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	ཀྲོང་ཀྲོང་ kron kron.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	109	100	1	ཀྲོང	kron	kroṅ	positional	source_compatible_single_anchor	none	base_ocr_dotted	wts_9_m:302:20:2:kroṅ	direct_repeated_tibetan_alignment	Exact Tibetan identity and token position reviewed; independent base anchor plus separate entry-identity cue.	ཀྲོང་ངེ་ kron ne auch kran ne aufgerichtet, auf-
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	219	44	7	བགྲང	bgran	bgraṅ	echo	cross_reference_probable	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	cross_reference_probable	Frozen for explicit A/D/R/RE review.	སྐྱོན་བགྲང་ skyon bgran Kurzf. für skyon du bgran
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	219	127	6	བགྲང	bgran	bgraṅ	echo	uncertain	uncertain	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	uncertain	Frozen for explicit A/D/R/RE review.	སྐྱོན་དུ་བགྲང་བ་ skyon du bgran ba Tskyon bgran.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	424	178	4	བགྲང	bgran	bgraṅ	echo	explicit_same_lemma_repetition	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_lemma_repetition	Frozen for explicit A/D/R/RE review.	བགྲང་ཡས་ bgran yas auch bgran yal eine hohe
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	547	174	4	བགྲང	bgran	bgraṅ	echo	uncertain	uncertain	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	uncertain	Frozen for explicit A/D/R/RE review.	མངན་བགྲང་ mnan bgran \rnan bgran.
63a9742b88eaf7345cf8225bb6d5b4ad770fbb5e	wts_1_34	560	16	5	བགྲང	bgran	bgraṅ	echo	explicit_same_lemma_repetition	none	base_ocr_dotted	wts_8_b:22:12:3:bgraṅ	explicit_same_lemma_repetition	Frozen for explicit A/D/R/RE review.	རྔན་བགྲང་ rnan bgran auch mnan bgran [.
