tibetan_syllable	prefix	superscript	root_consonant	subjoined_consonants	vowel	suffix_coda	post_suffix	orthographic_stack	ambiguous_root_candidates	role_parse_status	role_parse_confidence	rationale
ཀ			ཀ		a			ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀཀ					a					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཀཀཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཀག			ཀ		a	ག		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀགྲང			ག	ར	a	ང		གར	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀགྲོལ			ག	ར	o	ལ		གར	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀགླག			ག	ལ	a	ག		གལ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀགླས			ག	ལ	a	ས		གལ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀང			ཀ		a	ང		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀཏོལ					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཀད			ཀ		a	ད		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀན			ཀ		a	ན		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀནྡྲ			ན	དར	a			ནདར	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀནྡྷ			ན	དཧ	a			ནདཧ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀབ			ཀ		a	བ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀབེི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀམ			ཀ		a	མ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀམས			ཀ		a	མ	ས	ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀམསྨ		ས	མ		a			སམ	ཀ;མ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀམྨི			མ	མ	i			མམ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀམློ			མ	ལ	o			མལ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀཙོ					o					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཀའ			ཀ		a	འ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀའི			ཀ		i	འ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀའུ			ཀ		u	འ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀར			ཀ		a	ར		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀརཉྱ			ཉ	ཡ	a			ཉཡ	ཀ;ར	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྐ		ར	ཀ		a			རཀ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྐམ		ར	ཀ		a	མ		རཀ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྐས		ར	ཀ		a	ས		རཀ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྙི		ར	ཉ		i			རཉ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྟི		ར	ཏ		i			རཏ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྡེ		ར	ད		e			རད	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྡྷ		ར	ད	ཧ	a			རདཧ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྣི		ར	ན		i			རན	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྨ		ར	མ		a			རམ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀརྲོང			ར	ར	o	ང		རར	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀལ			ཀ		a	ལ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀཤེང					e					unusual_stack	none	Consonant sequence does not match conservative role patterns.
ཀས			ཀ		a	ས		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀསེོང										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀཱ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཀཱལླེ					e					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཀཱི					i					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཀཱུ					u					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཀཱྩ					a					unsupported_orthographic_sign	none	Unsupported transcription-bearing Tibetan signs: U+0F71
ཀི			ཀ		i			ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀིག			ཀ		i	ག		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀིང			ཀ		i	ང		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀིངྐ			ང	ཀ	i			ངཀ	ཀ	partially_resolved	medium	Stack resolved; extra consonants remain ambiguous.
ཀིཏྟའི										unsupported_orthographic_sign	none	Multiple Tibetan vowel signs are not modelled.
ཀིན			ཀ		i	ན		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
ཀིམ			ཀ		i	མ		ཀ		fully_resolved	high	One prefix/root/suffix parse is structurally possible.
