signature	condition_matching_reviewed_occurrences	condition_failing_reviewed_occurrences	reviewed_failure_reasons	residual_signature_occurrences	residual_condition_matches	residual_condition_failures	residual_failure_reasons
INS r	10	3	domain_mismatch:1;tibetan_role_mismatch:2	5	8	27	condition_or_boundary_mismatch
REPLACE ni→ṅ	44	30	identity_not_resolved:30	9	12	5	condition_or_boundary_mismatch
REPLACE ri→ṅ	8	28	identity_not_resolved:28	13	22	14	condition_or_boundary_mismatch
SUB I→l	115	3177	domain_mismatch:11;identity_not_resolved:3166	0	16	5	condition_or_boundary_mismatch
SUB Z→ź	64	110	domain_mismatch:2;identity_not_resolved:108	1	19	28	condition_or_boundary_mismatch
SUB b→h	23	3	source_context_mismatch:2;tibetan_role_mismatch:1	16	57	32	condition_or_boundary_mismatch
SUB h→ṅ	44	2	domain_mismatch:1;tibetan_role_mismatch:1	0	0	4	condition_or_boundary_mismatch
SUB n→u	10	2	identity_not_resolved:1;tibetan_role_mismatch:1	7	4	19	condition_or_boundary_mismatch
SUB n→ṅ	1816	1845	domain_mismatch:35;identity_not_resolved:1712;source_position_mismatch:1;tibetan_role_mismatch:97	52	176	149	condition_or_boundary_mismatch
SUB r→ṅ	12	0	none	4	41	13	condition_or_boundary_mismatch
SUB z→ź	17	20	identity_not_resolved:20	0	2	0	none
SUB ñ→ṅ	0	102	identity_not_resolved:102	0	0	0	none
SUB ń→ṅ	2	23	identity_not_resolved:23	0	0	0	none
