volume	page	line	token_index	tibetan_syllable	source_latin_token	source_signature	proposed_latin_target	compatible_accepted_target_count	compatible_competing_form_counts	incompatible_dotted_form_counts	same_tibetan_dotted_evidence_total	old_alignment_category	source_compatible_category	damage_scope	syllable_identity_guard	confidence	suggested_action	context_excerpt	reason_for_deferral
wts_1_34	54	164	2	ཤང	San	Sa<FINAL_NASAL>	Saṅ	1		siṅ:1	2	competing_latin_forms	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	ཀིམ་ཤང ཁོང་ཅོ kim San khon co, kim Sin kon co,	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	569	95	3	ཤང	San	Sa<FINAL_NASAL>	Saṅ	1		siṅ:1	2	competing_latin_forms	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	སྔོ་གྲོ་ཤང་རྩེ་ sho gro San rtse eine Pflanze, Oro-	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	35	164	3	ཞང	Zan	Za<FINAL_NASAL>	Zaṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	ཀ་ཅོག་ཞང་ ka cog Zan, auch ska cog Zan Kurzf. für	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	1117	21	3	ཞང	Zan	Za<FINAL_NASAL>	Zaṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	དན་འབག་ཞང་པོ་ dan ’bag Zan po npr. eine in	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	253	1	2	ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ	1		zeṅ:1; Ziṅ:1; ziṅ:1	4	competing_latin_forms	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	ཁ་ཞེང་ kha Zen rag kha bzla །ཁ་ཏའུར་ kha ’ur ཁ་ཡིག་ kha yig	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	651	56	2	ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ	1		zeṅ:1; Ziṅ:1; ziṅ:1	4	competing_latin_forms	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	ཆུ་ཞེང་གབ་པ་ chu Zen gab pa	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	651	81	2	ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ	1		zeṅ:1; Ziṅ:1; ziṅ:1	4	competing_latin_forms	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	ཆུ་ཞེང་ chu Zen Länge und Breite, Umfang.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	651	90	2	ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ	1		zeṅ:1; Ziṅ:1; ziṅ:1	4	competing_latin_forms	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	ཆུ་ཞེང་གབ་པ་ chu Zen gab pa Umfang; wohl-	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	219	44	2	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	སྐྱོན་བགྲང་ skyon bgran Kurzf. für skyon du bgran	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	219	127	3	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	སྐྱོན་དུ་བགྲང་བ་ skyon du bgran ba Tskyon bgran.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	424	82	1	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བགྲང་ bgran zählen, rechnen; ¬ du med uner-	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	424	141	1	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བགྲང་ཝྲེང་ bgran phren Gebetskette.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	424	178	1	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བགྲང་ཡས་ bgran yas auch bgran yal eine hohe	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	424	188	1	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བགྲང་ཡོལ་ bgran yol eine hohe Zahl.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	547	174	2	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	མངན་བགྲང་ mnan bgran \rnan bgran.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	560	16	2	བགྲང	bgran	bgra<FINAL_NASAL>	bgraṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	རྔན་བགྲང་ rnan bgran auch mnan bgran [.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	683	46	2	པྲང	bran	bra<FINAL_NASAL>	braṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	མཆི་པྲང་ mchi bran Ehefrau.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	235	148	1	བསྐྱེང	bskyen	bskye<FINAL_NASAL>	bskyeṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བསྐྱེང་ bskyen beschämt sein; vgl. Iskyens.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	905	1	2	བབཟུང	bzun	bzu<FINAL_NASAL>	bzuṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	བཏང་བབཟུང་ཆེན་པོ་ btaṅ bzun chen po	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	54	45	2	ཅང	can	ca<FINAL_NASAL>	caṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	later_gloss_or_commentary	exact_same_tibetan_syllable	low	defer	ཀིང་ཅང་ཧྭ་ kiṅ can hu ¦/07/7 jan hü.	Fewer than two case-sensitive compatible dotted anchors are available.
wts_1_34	243	85	2	ཅང	can	ca<FINAL_NASAL>	caṅ	1			1	insufficient_consensus	source_compatible_insufficient_evidence	none	exact_same_tibetan_syllable	low	defer	།ཐ་ཅང་ kha can \kha gcan.	Fewer than two case-sensitive compatible dotted anchors are available.
