signature_id	operation_signature	operation_type	source_sequence	target_sequence	parent_signature	tibetan_role	tibetan_feature	source_position_type	source_position_value	target_position_type	target_position_value	source_context_pattern	target_context_pattern	domain_condition	source_structural_location	target_structural_role	parent_structural_unit	crosses_role_boundaries	extra_source_material	forbidden_tibetan_roles	forbidden_tibetan_features	forbidden_tibetan_role_features	canonical_target_required	aligned_tibetan_required	exact_tibetan_identities	reviewed_atomic_supporting_syllables	reviewed_supporting_occurrences	reviewed_supporting_volumes	reviewed_page_ranges	historical_support	alternate_witness_support	legitimate_controls	conflicts	evidence_tier	authorization_status	rationale	parent_operation_reviewed_support	parent_operation_alternate_support	parent_operation_global_controls	conditioned_reviewed_support	conditioned_alternate_support	conditioned_controls	conditioned_conflicts
sig_DEL_'	DEL '	deletion	'																				yes	yes		0	0			0	2	43	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	2	43	0	2	43	0
sig_DEL_''	DEL ''	deletion	''																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'I	DEL 'I	deletion	'I																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'b	DEL 'b	deletion	'b																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'bans	DEL 'bans	deletion	'bans																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'brel	DEL 'brel	deletion	'brel																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'dab	DEL 'dab	deletion	'dab																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'groba	DEL 'groba	deletion	'groba																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'grol	DEL 'grol	deletion	'grol																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
sig_DEL_'tha	DEL 'tha	deletion	'tha																				yes	yes		0	0			0	0	0	0	empirical_only	diagnostic_only	No persistent authorization decision; frequency alone is diagnostic and cannot authorize correction.	0	0	0	0	0	0	0
