code_point	unicode_name	sign_class	syllable_count	occurrence_count	domains	sample_syllables	parser_treatment	composition_safe
U+0F40	TIBETAN LETTER KA	base_consonant	378	383	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀ;ཀཀ;ཀཀཱ;ཀག;ཀགྲང;ཀགྲོལ;ཀགླག;ཀགླས;ཀང;ཀཏོལ;ཀད;ཀན;ཀནྡྲ;ཀནྡྷ;ཀབ;ཀབེི;ཀམ;ཀམས;ཀམསྨ;ཀམྨི	parsed_consonant	yes
U+0F41	TIBETAN LETTER KHA	base_consonant	331	333	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཁ;ཁཀྱཏྲལ;ཁཀྲགས;ཁཀྲང;ཁག;ཁགྲེགས;ཁང;ཁངས;ཁངེས;ཁཅའ;ཁཅུ;ཁཆུ;ཁཉུ;ཁཉྲིང;ཁཏྱིམ;ཁཏྱོལ;ཁཐོབ;ཁད;ཁན;ཁནྡ	parsed_consonant	yes
U+0F42	TIBETAN LETTER GA	base_consonant	1506	1624	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀག;ཀགྲང;ཀགྲོལ;ཀགླག;ཀགླས;ཀིག;ཀུག;ཀེག;ཀོག;ཀོགས;ཀྐུགས;ཀྱག;ཀྱུག;ཀྱོག;ཀྲག;ཀྲིག;ཀྲིགས;ཀྲུགས;ཀྲོག;ཀླག	parsed_consonant	yes
U+0F44	TIBETAN LETTER NGA	base_consonant	898	908	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀགྲང;ཀང;ཀརྲོང;ཀཤེང;ཀསེོང;ཀིང;ཀིངྐ;ཀིའང;ཀུང;ཀུངྐུ;ཀུའང;ཀེང;ཀོང;ཀྱང;ཀྱིང;ཀྱུང;ཀྱོང;ཀྲང;ཀྲུང;ཀྲེང	parsed_consonant	yes
U+0F45	TIBETAN LETTER CA	base_consonant	137	138	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཁཅའ;ཁཅུ;ཁབཅས;ཁབཅོས;གཅག;གཅགས;གཅང;གཅཉོད;གཅད;གཅན;གཅམ;གཅཙང;གཅར;གཅལ;གཅས;གཅི;གཅིག;གཅིན;གཅིའུ;གཅིར	parsed_consonant	yes
U+0F46	TIBETAN LETTER CHA	base_consonant	196	197	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཁཆུ;ཁྱཆའ;གཆད;གཆིག;གརཆུང;གརྐཆ;གྲཆམཊ;ཅཆྲེར;ཆ;ཆཁལ;ཆཁོང;ཆཁྲ;ཆག;ཆགས;ཆང;ཆངས;ཆཉ;ཆཌ;ཆཐོང;ཆད	parsed_consonant	yes
U+0F47	TIBETAN LETTER JA	base_consonant	82	82	historical_observation;ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ངཇལ;ཇ;ཇག;ཇང;ཇའི;ཇས;ཇི;ཇིང;ཇིབས;ཇིའུ;ཇུ;ཇུག;ཇུས;ཇོ;ཇོང;ཇོལ;ཇཾས;ཇྔ;ཇྫག;ཇྭའུ	parsed_consonant	yes
U+0F49	TIBETAN LETTER NYA	base_consonant	109	110	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཀརཉྱ;ཁཉུ;ཁཉྲིང;ཁྲཉིའ;གཅཉོད;གཉ;གཉག;གཉགས;གཉང;གཉཉིས;གཉད;གཉན;གཉའ;གཉར;གཉས;གཉི;གཉིད;གཉིན;གཉིནྷ;གཉིར	parsed_consonant	yes
U+0F4A	TIBETAN LETTER TTA	base_consonant	28	28	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	གྲཆམཊ;ཆོཊ;ཊ;ཊང;ཊམ;ཊར;ཊི;ཊིཏོག;ཊིདབལ;ཊུ;ཊོ;ཊོབ;ཊཾ;ཊྲ;ཕཊ;ཕུཊ;བྩཊེ;བྲམཊ;བླཊྣོག;མཁཊ	parsed_consonant	yes
U+0F4C	TIBETAN LETTER DDA	base_consonant	22	22	ordinary_tibetan_lexical_or_compound;sanskrit_or_indic_transcription;tibetan_proper_name;unclear	ཁོཌ;ཆཌ;ཌ;ཌན;ཌབོ;ཌཱཀི;ཌི;ཌུརྱའི;ཌོ;ཌྔ;ཌྕོགས;ཌྟ;ཌྟེ;ཌྡེགས;ཌྱ;ཌྲར;པཌ;པོཌ;བཌས;བྟཌ	parsed_consonant	yes
