tibetan_syllable	source_variant	target	historical_baseline_sha	historical_anchor_present	historical_volume	historical_page	historical_line	historical_token_index	historical_anchor_provenance_class	transcription_integrity_status	transcription_integrity_pass	known_feature_violation	feature_coverage	canonical_syllable_status	transcription_exception_status	transcription_gateway_status	transcription_integrity_violations	historical_anchor_change_reason	historical_anchor_change_evidence	historical_context	current_candidate_count	current_damage_count	current_marker_count
ཀང	kan	kaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	235	49	4	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	རྡོ་རྗེ་ཀིང་ཀང་ rdo rje kiṅ kaṅ Ykin kan. Bez. für tantrische Gottheiten.	21	1	0
ཀྱང	byan	byaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b	171	21	1	historical_pre_family_present_unattributed	canonical_syllable_mismatch	no	yes	partial	unresolved		blocked		none	checked_in_pre_family_campaign_witness	ཀྱང་ཆུབ་ཤིང་ byaṅ chub siṅ Kurzf. fürbyan chub	1	0	0
ཀྱོང	gyon	gyoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	370	85	1	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	ཀྱོང་ཕོ་ gyoṅ po auch gyon ba hart, zäh, wider-	7	0	0
ཀྲོང	kron	kroṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m	302	20	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	དམར་ཀྲོང་ dinar kroṅ ganz aufrecht, gerade.	0	0	0
ཀློང	klon	kloṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	685	1	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	པདྨ་ཀློང་གི་འབུམ་་ padma kloṅ gi bum	1	1	0
ཀློང	klon	kloṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b	366	63	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	དབའ་ཀློང་ ddba' kloṅ klon.	1	1	0
ཀློང	klon	kloṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b	522	2	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	རྦ་ཀློང་ rba kloṅ auch dba' klonn Welle, Woge,	1	1	0
ཁོང	kbon	kboṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	408	2	2	historical_pre_family_present_unattributed	reviewed_transcription_exception	no	yes	partial	unresolved	source_variant_requires_manual_review	blocked		none	checked_in_pre_family_campaign_witness	ནད་ཁོང་སྐེམས་པ་ nad kboṅ skems pa auch nad	1	0	0
ཁོང	khon	khoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	408	1	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	ནད་ཁོང་སྐེམས་པ་ nad khoṅ skems pa	1	1	0
གཅུང	gcun	gcuṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	483	4	3	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	ནོར་སྦྱིན་གཅུང་པོ་ nor sbyin gcuṅ po Beiname	1	0	0
གཏང	gtan	gtaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	1009	1	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	ཕྱིར་གཏང་ phyir gtaṅ	1	1	0
གཡང	g.yan	g.yaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	108	140	2	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	ཀྲི་གཡང་སྐུ་ kri g.yaṅ sku \pri yañı khn.	2	0	0
གླིང	elin	eliṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m	175	1	3	historical_pre_family_present_unattributed	reviewed_transcription_exception	no	yes	partial	unresolved	source_variant_requires_manual_review	blocked		none	checked_in_pre_family_campaign_witness	མེའམ་ཅི་གླིང་ miam ci eliṅ	1	0	0
གླེང	glen	gleṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	398	72	1	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	གླེང་མོ་ gleṅ mo auch gleṅ po Rede, Unterhal-	12	1	0
ང	khan	khaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	645	194	3	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	ཆུ་གཏེར་།ང་ chu gter khaṅ Badehaus.	2	0	0
ངང	han	haṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m	367	38	3	historical_pre_family_present_unattributed	reviewed_transcription_exception	no	yes	partial	unresolved	source_variant_requires_manual_review	blocked		none	checked_in_pre_family_campaign_witness	སྤྱར་མོ་ངང་རྫོངས་ smar mo haṅ rdzonis eine Lo-	3	0	0
ཅང	can	caṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	575	168	1	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	ཅང་ཀེང་ caṅ ken	13	2	0
ཆུང	run	ruṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b	158	45	2	historical_pre_family_present_unattributed	reviewed_transcription_exception	no	yes	partial	unresolved	source_variant_requires_manual_review	blocked		none	checked_in_pre_family_campaign_witness	བྱ་ཆུང་ཁ་གཤོར་ bya ruṅ kha gsor	1	0	0
དགུང	dgun	dguṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	425	55	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	ནམ་དགུང་ nam dguṅ nam gun.	1	1	0
དྲང	dran	draṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	1010	29	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	ཕྱེར་དྲང་ phyir draṅ fur. zurückzichen.	2	2	0
ནིང	nin	niṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	362	37	2	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	ན་ནིང་ na niṅ vergangenes Jahr, letztes Jahr.	1	0	0
པྲང	bran	braṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	939	47	2	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	ཕོ་པྲང་ pbo braṅ altuib. auch po bran.	1	0	0
བགྲང	bgran	bgraṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b	22	12	3	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	"བ་ལང་བགྲང་ ba laṅ bgraṅ ""Rinder zählend"","	0	0	0
བབཟུང	bzun	bzuṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	904	118	2	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	བཏང་བབཟུང་ btaṅ bzuṅ.	1	0	0
བསྐྱེང	bskyen	bskyeṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	235	111	1	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	བསྐྱེང་ bskyeṅ	1	0	0
བསླང	bslan	bslaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	398	154	2	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	གླེང་བསླང་བ་ glen bslaṅ ba Einleitung.	1	0	0
བློང	blon	bloṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b	330	43	1	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	བློང་ 'bloṅ	2	0	0
མཇིང	mjin	mjiṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m	328	41	3	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	རྨ་བྱ་མཇིང་བསྣོལ་རྩེས་ rma bya mjiṅ bsnol rtsis	2	0	0
མདོང	mdon	mdoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	120	11	1	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	མདོང་གསོལ་ mdoṅ gsol Schmeichelei, Be-	2	0	0
མྐྱོང	myon	myoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m	281	1	1	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	མྐྱོང་ཁྲིད་ myoṅ khrid	1	0	0
འདིང	din	diṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	151	45	1	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	འདིང་ diṅ	2	0	0
འཕྱོང	phyon	phyoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	1109	8	1	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	འཕྱོང་རྒྱས་ phyoṅ rgyas auch phyoṅs rgyas npr	2	0	0
འཕྲང	phran	phraṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	1110	40	1	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	འཕྲང་ 'phraṅ	1	0	1
འཕྲང	phran	phraṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	1111	1	1	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	འཕྲང་འཕྲེང་ 'phraṅ 'phreṅ	1	0	1
འཕྲང	phran	phraṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_9_m	200	1	2	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	མུན་འཕྲང་ mun 'phraṅ	1	0	1
འཚང	tshan	tshaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	1126	42	2	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	འཕྲོག་འཚང་མ་ 'phrog 'tshaṅ ma npr. eine Gott-	2	0	0
རྐྱོང	rkyon	rkyoṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_1_34	166	154	1	historical_pre_family_google_adopted	transcription_integrity_pass	no	no	partial	unresolved		unresolved		alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	རྐྱོང་གདན་ rkyoṅ gdan Sitz, Matte.	1	0	0
རྟིང	rtin	rtiṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_8_b	252	37	3	historical_pre_family_present_unattributed	transcription_integrity_pass	yes	no	sufficient	unresolved		pass		none	checked_in_pre_family_campaign_witness	བྲ་ནག།་རྟིང་དཀར་ bra nag rtiṅ dkar Reittier ci-	0	0	0
རྣང	rnan	rnaṅ	6322c7255cfba2fcfaf678cec656e65496ed5f12	yes	wts_35_51	554	32	1	historical_pre_family_present_unattributed	transcription_integrity_pass	no	no	partial	unresolved		unresolved		none	checked_in_pre_family_campaign_witness	རྣང་མ་ rnaṅ ma Quelle.	1	0	0
