tibetan_syllable	baseline_target	current_target	baseline_status	current_status	migration_disposition	rationale
གནག	gnag	gnag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གནུབ	gnub	gnub	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གནོག	gnog	gnog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གནོང	gnoṅ	gnoṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གཞག	gźag	gźag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གཞོན	gźon	gźon	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གཞོམ	gźom	gźom	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྱག	gyag	gyag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྱད	gyad	gyad	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྱམ	gyam	gyam	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྱིག	gyig	gyig	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྱིང	gyiṅ	gyiṅ	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	alternate_witness_only
གྱིན	gyin	gyin	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྱོ	gyo	gyo	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྱོག	gyog	gyog	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྱོགས	gyogs	gyogs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྱོང	gyoṅ	gyoṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྱོད	gyod	gyod	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྱོན	gyon	gyon	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྱོས	gyos	gyos	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲག	grag	grag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲགས	grags	grags	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲངས	graṅs	graṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲབས	grabs	grabs	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲམ	gram	gram	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲིབ	grib	grib	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲིབས	gribs	gribs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲིམ	grim	grim	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲིམས	grims	grims	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲུགས	grugs	grugs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲུང	gruṅ	gruṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲུམ	grum	grum	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲུས	grus	grus	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲོག	grog	grog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲོང	groṅ	groṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གྲོངས	groṅs	groṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲོན	gron	gron	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གྲོམ	grom	grom	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གླག	glag	glag	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གླགས	glags	glags	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གླན	glan	glan	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གླམ	glam	glam	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གླས	glas	glas	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གླུད	glud	glud	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གླུམ	glum	glum	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གློ	glo	glo	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གློག	glog	glog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གློད	glod	glod	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
གློན	glon	glon	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
གློས	glos	glos	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནངས	naṅs	naṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནབ	nab	nab	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནམས	nams	nams	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ནི	ni	ni	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནིང	niṅ	niṅ	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ནིམ	nim	nim	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནིར	nir	nir	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནུབ	nub	nub	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ནུར	nur	nur	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནོ	no	no	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནོག	nog	nog	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ནོངས	noṅs	noṅs	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
ནོད	nod	nod	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ནོམ	nom	nom	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
ནོས	nos	nos	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བགག	bgag	bgag	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བགགས	bgags	bgags	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བགམ	bgam	bgam	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བགོར	bgor	bgor	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བགྱི	bgyi	bgyi	canonical_feature_composed	feature_complete_target_support_insufficient	downgraded	nonadmissible_observation
བགྱིད	bgyid	bgyid	canonical_feature_composed	feature_complete_unique	retained	Current strict composition matches the baseline target.
