volume	page	line	token_index	tibetan_syllable	observed_source	reviewed_target	canonical_target_tier	signature_decision	signature_condition_match	token_boundary_status	domain_context	damage_scope	marker_attached	prior_identity_decision	target_teaching_disposition	audit_disposition	context_excerpt
wts_1_34	82	106	3	ལང	lani	laṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཀུན་ནས་ལང་བ་ kun nas laṅ ba sich erheben, her-
wts_1_34	251	98	2	སྦྱང	sbyani	sbyaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཁ་སྦྱང་པ་ kha sbyaṅ pa auch kha byan ba rede-
wts_1_34	338	135	1	གང	gani	gaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	གང་པོ་འབོད་ gaṅ po ’bod Beiname des Sakra.
wts_1_34	901	53	1	བཏང	btani	btaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	བཏང་ btaṅ
wts_1_34	1012	108	3	གསང	gsani	gsaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཐུགས་གཏེར་གསང་་ thugs gter gsaṅ ...
wts_1_34	1028	12	2	བྲང	brani	braṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	བེའུ་བྲང་ the’u braṅ auch the braṅ eine Gruppe
wts_35_51	116	2	2	སྣང	snani	snaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	མདོ་སྣང་ mdo snaṅ
wts_35_51	147	1	3	ཡང	yani	yaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	འདི་ལྟར་ཡང་ di ltar yaṅ
wts_35_51	366	44	2	ཡང	yani	yaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ན་ཡང་ na yaṅ
wts_35_51	552	14	3	གསང	gsani	gsaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	རྣ་བ་གསང་བ་ ma ba gsaṅ ba jmd., der gut hört
wts_35_51	582	14	3	སྣང	snani	snaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	རྣམ་པར་སྣང་བར་་ rnam par snaṅ bar
wts_35_51	583	1	3	སྣང	snani	snaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	རྣམ་པར་སྣང་བྱེད་ rnam par snaṅ byed
wts_35_51	803	38	1	སྤྱང	spyani	spyaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	སྤྱང་ཁ་ spyaṅ kha
wts_35_51	803	77	1	སྤྱང	spyani	spyaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	སྤྱང་ཁ་ spyaṅ kha Wolfsmaul.
wts_35_51	939	37	2	བྲང	brani	braṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཕྲོ་བྲང་ pho braṅ
wts_35_51	940	1	2	བྲང	brani	braṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཕོ་བྲང་འཁོར་ pho braṅ 'khor
wts_35_51	940	47	2	བྲང	brani	braṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཕོ་བྲང་འཁོར་ pho braṅ 'khor
wts_35_51	966	23	2	ཚང	tshani	tshaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཕྱག་ཚང་ phyag tshaṅ.
wts_35_51	966	42	2	ཚང	tshani	tshaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	ཕྱག་ཚང་མང་བ་ phyag tshaṅ maṅ ba auch phyag
wts_35_51	1085	2	1	འཕང	phani	phaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	འཕང་མདའ་རུ་ phaṅ mda ru | in Sch ußweite, in
wts_8_b	39	42	2	ཆང	chani	chaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	"བན་ཆང་ ""ban chaṅ"
wts_8_b	43	37	4	ཡང	yani	yaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	བབ་ཚོལ་ཕྱར་ཡང་ bab tshol phyar yaṅ wunüber-
wts_8_b	97	2	3	རྐང	rkani	rkaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	བུད་མེད་རྐང་བརྡེག་་ bud med rkaṅ brdeg
wts_8_b	148	27	2	བཏང	btani	btaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	བྱ་བཏང་ bya btaṅ pf. zubya gtori.
wts_8_b	258	1	4	ཚང	tshani	tshaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	བྲག་དམར་ཀེའུ་ཚང་ brag dmar ke'u tshaṅ
wts_8_b	310	1	2	ཀྱང	kyani	kyaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	བླངས་ཀྱང་ blaṅs kyaṅ
wts_8_b	347	42	2	ཐང	thani	thaṅ	canonical_independent_strong	FINAL_NI_TO_NG	yes	token_boundary_secure	ordinary_tibetan_lexical_or_compound	none	no	none	supporting_but_derived	pass	དབང་ཐང་ dbaṅ thaṅ
