frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	context_excerpt
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_35_51	611	8	3	གཏིང	gtin	gtiṅ	echo	uncertain	uncertain	་གཅོད་གཏིང་འཕབྲིན་ mo geod gtin 'byin auch
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	322	61	3	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	ཞཁོར་ལོ་གཏིང་རྫོགས་ ’khor lo gtin rdzogs ein
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	720	20	2	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	འཇམ་གཏིང་ངེར་ Jam gtin her ganz leise.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	889	220	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་ཀློ་ gtin klo Bez. für die kla klo 111 den
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	1	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་མཐའ་ gtin mtha’
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	3	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་མཐའ་ gtin mtha’ Ausmaß; ~~ med pa
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	17	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་རྡོ་ gtin rdo Anker.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	51	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་ཕྱིན་ gtin phyin beenden,
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	58	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་མེད་ gtin med.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	74	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་ཚིག་ gtin tshig Spott.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	82	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་ཚུགས་ gtin tshugs fest verwurzelt sein,
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	94	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་ཚོལ་ gtin tshol einschätzen, prüfen, spio-
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	102	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་ཐབ་ gtin zab Tiefe; tief, tiefgründig.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	890	119	1	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	གཏིང་རུམ་ gtin rum Tiefe.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_35_51	611	55	12	གཏིང	gtin	gtiṅ	positional	dominant_internal_consensus	none	(brDa); gri dan rig pa sogs rno ba (Dagy). ལྣོད་གཅོད་གཏིང་འབྱིན་ mod gcod gtin 'byin [7770
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	163	5	གྲང	gran	graṅ	echo	cross_reference_probable	none	གྲང་དས་ gran dus Kurzf. für gran nar dus, gran
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	163	8	གྲང	gran	graṅ	echo	cross_reference_probable	none	གྲང་དས་ gran dus Kurzf. für gran nar dus, gran
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	75	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་ 'gran kalt werden; - ba kalt, kühl, abge-
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	123	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་ ’gran auch kran es könnte sein; ein mo-
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	154	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་ཁར་ gran har klirrende Kälte.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	161	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་མོ་ gran mo
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	163	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་དས་ gran dus Kurzf. für gran nar dus, gran
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	181	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་ནད་ gran nad eine Unterleibserkrankung,
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	206	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་བ་ཅན་ gran ba can Winter, Winterzeit.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	373	211	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་མོ gran mo kalt, kühl.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	374	7	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་ཆཚལ་ gran tsbal „kühler Hain, Garten“,
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	374	19	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་གཞི་ gran gZi eine Krankheit.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	374	26	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་རེག་ཅན་ gran reg can Bez. für Winter.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	374	36	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་སེལ་ gran sel Bez. für Feuer, Feuergott.
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	374	39	1	གྲང	gran	graṅ	positional	dominant_internal_consensus	none	གྲང་ལྷང་ངེར་སོང་ gran lhan ner soṅ \gren lhan
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	56	164	8	མང	man	maṅ	echo	explicit_same_lemma_repetition	none	ཀུ་བྱི་མང་སྐེ་ ku byi man ske, auch ku byi man ke
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_9_m	63	64	6	མང	man	maṅ	echo	explicit_same_lemma_repetition	none	མང་དུ་ཐས་པ་ maṅ du thos pa auch man thos,
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_9_m	66	62	6	མང	man	maṅ	echo	explicit_same_lemma_repetition	none	མང་པོས་བཀུར་བ་ maṅ pos bkur ba auch man lhur
8d0f85b4c1057199ffe2bcd88a1dd4ae8afc496b	wts_1_34	41	143	2	མང	man	maṅ	positional	dominant_internal_consensus	none	ཀ་མང་ ka man irrt. für \ka mad.
