tibetan_syllable	source_variant	source_state	supported_target	other_source_variants	same_tibetan_dotted_forms	reviewed_canonical_target	review_evidence	sample_context
ཀེང	ken	no_anchor_clean_source_shape			koṅ:1			ཀེང་ཙེ་ལན་མེད་ ken tse lan med
ཀོང	gon	no_anchor_clean_source_shape			koṅ:53; caṅ:1			ཀོང་ད་འཕེལ་ gon du ’phel sich verbreiten, zu-
ཀྱང	Ryan	no_anchor_clean_source_shape		byan;byun;khyun	kyaṅ:7; gyaṅ:1; byaṅ:1			ཅིས་ཀྱང་ cis Ryan Tcinas kyan.
ཀྱང	byun	no_anchor_clean_source_shape		Ryan;byan;khyun	kyaṅ:7; gyaṅ:1; byaṅ:1			ཐལ་ཀྱང་ thal byun geradewegs; ༡ du ’gro glatt
ཀྱང	khyun	no_anchor_clean_source_shape		Ryan;byan;byun	kyaṅ:7; gyaṅ:1; byaṅ:1			ཀྱང་སྡེར་ khyun sder eine Heilpflanze.
ཀྱོང	kyon	no_anchor_clean_source_shape		gyon	gyoṅ:1			ཀྱང་ཀྱོང་ kyaṅ kyon uneben, wellig.
ཀྲོང	gron	no_anchor_clean_source_shape			kroṅ:5			ཀྲོང་སྤྲེའུ་ gron spre’u Bez. für Katze.
ཀླང	klon	no_anchor_clean_source_shape		krun	kluṅ:8			ཀླང་ཆན་པ་” klon chen pa...
ཀླང	krun	no_anchor_clean_source_shape		klon	kluṅ:8			ཀྲུང་ཀླང་ kruṅ krun \khrun khrun.
ཁང	kan	no_anchor_clean_source_shape		Eingangsbereich;kban;khon;khrun;khun;than	khaṅ:89; kbaṅ:4			ཁང་ཁུང་ kan khuṅ
ཁང	khon	no_anchor_clean_source_shape		Eingangsbereich;kan;kban;khrun;khun;than	khaṅ:89; kbaṅ:4			།ཁང་།ཁྲ་ khon khro auch khon khro ba Zorn,
ཁང	khrun	no_anchor_clean_source_shape		Eingangsbereich;kan;kban;khon;khun;than	khaṅ:89; kbaṅ:4			ཁང་ཁང་འཇོམས་ khrun khrun ”joms Beiname
ཁང	khun	no_anchor_clean_source_shape		Eingangsbereich;kan;kban;khon;khrun;than	khaṅ:89; kbaṅ:4			ཆཁྲ་།ཁང་ chab khun Abfluß, Toilette.
ཁང	than	no_anchor_clean_source_shape		Eingangsbereich;kan;kban;khon;khrun;khun	khaṅ:89; kbaṅ:4			ཁང་ཆོང་ than chod entschieden, entschlossen
ཁུང	Felsh	no_anchor_clean_source_shape		Rhun;khrun;khyun	khuṅ:36; kbuṅ:1			བྲཐ།ཁུང་ bragkburi Felshöhle, Felsspalte.
ཁུང	Rhun	no_anchor_clean_source_shape		Felsh;khrun;khyun	khuṅ:36; kbuṅ:1			ཁུང་ཉལ་ Rhun nal.
ཁུང	khrun	no_anchor_clean_source_shape		Felsh;Rhun;khyun	khuṅ:36; kbuṅ:1			ཁུང་ khrun resp. für chan.
ཁུང	khyun	no_anchor_clean_source_shape		Felsh;Rhun;khrun	khuṅ:36; kbuṅ:1			ཁུང་སེང་འདས་པ་ khyun seṅ ’dus pa achtfüßiger
ཁོང	Khon	no_anchor_clean_source_shape		ikhon;kbon;khon	khoṅ:1; kboṅ:1			ཁོང་སྒྲིལ་ Khon sgril Fesseln.
ཁོང	ikhon	no_anchor_clean_source_shape		Khon;kbon;khon	khoṅ:1; kboṅ:1			ཁོང་པ་ ikhon pa 1'khon.
ཁྱུང	kbyun	no_anchor_clean_source_shape		khrun	khyuṅ:4			ཀླུ་སྦྲལ་འོད་ཁྱུང་ klu sbrul ’od kbyun ¦/5// sbrul ’od
ཁྱུང	khrun	no_anchor_clean_source_shape		kbyun	khyuṅ:4			ཁྱུང་ཁྱུང་ khrun khrun
གང	gon	no_anchor_clean_source_shape		Mannsh;gun	gaṅ:75			གང་སྐར་ gon skor
གང	gun	no_anchor_clean_source_shape		Mannsh;gon	gaṅ:75			གང་བྲང་ gun than npr. eine Gegend in mÑa’-
གཅུང	geun	no_anchor_clean_source_shape		gcun	gcuṅ:1			གཅུང་ geun
གཏང	gran	no_anchor_clean_source_shape		gron;gtan;gtin;gton;gun	gtaṅ:1			གཏང་ gran
གཏང	gron	no_anchor_clean_source_shape		gran;gtan;gtin;gton;gun	gtaṅ:1			གཏང་ཕགས་ gron phogs
གཏང	gtin	no_anchor_clean_source_shape		gran;gron;gtan;gton;gun	gtaṅ:1			གཏང་ gtin Tiefe, Grund, Boden; ~ rin tief; ~
གཏང	gton	no_anchor_clean_source_shape		gran;gron;gtan;gtin;gun	gtaṅ:1			གཏང་ བའ ནོར་ gton ༼/¢'/7 nor Besitz der Frei-
གཏང	gun	no_anchor_clean_source_shape		gran;gron;gtan;gtin;gton	gtaṅ:1			གཏང་དཔག་ gun dpag fur. zu gti dpog_ er-
གཏིང	gein	no_anchor_clean_source_shape			gtiṅ:16			གཏིང་ཀློ་ gein klo
གཏོང	vernich	no_anchor_clean_source_shape			gtoṅ:38; Warnuṅ:1			ཏོར་ཁྲ་ཏག་ཏ་གཏོང་ gtor brlag du gton vernich-
གདང	gdun	no_anchor_clean_source_shape		gdon	gdaṅ:11; ggdaṅ:2; gdoṅ:2			དྱངུལ་གདང་བརརྐྱད་ dnul gdun brgyad eine Kal-
