volume	page	line	token_index	tibetan_syllable	original_source	applied_target	correction_reason	correction_batch	target_integrity_status	known_feature_violation	feature_coverage	transcription_gateway_status	transcription_exception_status	transcription_exception_scope	blocked_reason	violated_transcription_feature	proposed_disposition	context_excerpt
wts_1_34	35	164	3	ཞང	Zan	źaṅ	reviewed_tibetan_exact_final_ng_historical_witness	historical_witness_zhang_consensus_batch_20260728	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ཅོག་ཞང་ ka cog źaṅ, auch ska cog źaṅ Kurzf. für
wts_1_34	36	79	3	བང	ban	baṅ	reviewed_tibetan_exact_final_ng_source_compatible	source_compatible_bang_consensus_batch_20260727	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀ་ཏ་བང་ཀ་ Ra ta baṅ ka eine Heilpflanze. - skt.
wts_1_34	37	119	2	ཐུང	thun	thuṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_thung_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ཐུང་ ka thuṅ (ka).
wts_1_34	39	188	2	ཕྲེང	phren	phreṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_phreng_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ཕྲེང་ ka phreṅ ('ka) „ka-Kranz“, alphabetische
wts_1_34	40	127	4	དབང	dban	dbaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_dban_consensus_batch_20260719	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀ་བ་ཤཱཀྱ་དབང་ཕྱུག་ ka ba Sakya dbaṅ phyug, auch
wts_1_34	41	143	2	མང	man	maṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_mang_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀ་མང་ ka maṅ irrt. für \ka mad.
wts_1_34	43	158	2	རིང	rin	riṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_ring_consensus_batch_20260719	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་རིང་ ka riṅ, auch ka rins (ka).
wts_1_34	46	52	2	ལིང	lin	liṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ལིང་ ka liṅ, auch ka li ein Ort 111 rMa.
wts_1_34	46	58	2	ལིང	lin	liṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ལིང་འབུད་ ka liṅ ’bud
wts_1_34	46	65	2	ལིང	lin	liṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ལིང་ཀ་ ka liṅ ka, auch ka linika, ka lin ga, ka
wts_1_34	46	97	2	ལིང	lin	liṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ལིང་འབུད་ ka liṅ ’bud Bed. unklar, vielleicht
wts_1_34	46	103	2	ལིང	lin	liṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ལིང་ཡ་ཀ་ ka liṅ ya ka
wts_1_34	46	105	2	ལིང	lin	liṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_ling_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀ་ལིང་ཡ་ཀ་ ka liṅ ya ka Ika li ya ka.
wts_1_34	47	150	3	བོང	bon	boṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_bong_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀག་ལ་བོང་ kag la boṅ
wts_1_34	47	196	3	བོང	bon	boṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_bong_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀག་ལ་བོང་ kag la boṅ der Nan-chao-Herrscher
wts_1_34	48	99	2	ཀིང	kin	kiṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_king_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀང་ཀིང་ kan kiṅ kin kan.
wts_1_34	49	149	4	གླིང	glin	gliṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_gling_consensus_batch_20260719	transcription_integrity_pass	no	sufficient	pass					validated	ཀམ་པ་ཆེའི་གླིང་ kam pa tshe’i gliṅ Name eines
wts_1_34	49	157	4	བྲང	bran	braṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_brang_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀམ་པོ་རྗེ་བྲང་མིག་ཅན་ kam po rje braṅ mig can
wts_1_34	49	206	4	བྲང	bran	braṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_brang_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀམ་པོ་རྗེ་བྲང་མིག་ཅན་ kam po re braṅ mig can ein
wts_1_34	50	34	2	ཚང	tshan	tshaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_tshang_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀམ་ཚང་ kam tshaṅ \karma kam tshan.
wts_1_34	51	40	3	མང	man	maṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_mang_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀར་པོ་མང་པོ་རྗེ་ kar po maṅ po rje ehrender Beina-
wts_1_34	52	69	3	ཚང	tshan	tshaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_tshang_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀརྨ་ཀམ་ཚང་ karma kam tshaṅ Bez. für |Karma
wts_1_34	52	81	3	སྐྱོང	skyon	skyoṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_skyong_consensus_batch_20260720	transcription_integrity_pass	no	sufficient	pass					validated	ཀརྨ་བསྟན་སྐྱོང་དབང་པོ་ karma bstan skyoṅ dbaṅ po
wts_1_34	52	81	4	དབང	dban	dbaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_dban_consensus_batch_20260719	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀརྨ་བསྟན་སྐྱོང་དབང་པོ་ karma bstan skyoṅ dbaṅ po
wts_1_34	52	85	3	ཕྲེང	phren	phreṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_phreng_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀརྨ་ཐོད་ཕྲེང་རྩལ་ karma thod phreṅ rtsal „Karma
wts_1_34	52	135	4	བྱུང	byun	byuṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_byung_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀརྨ་པ ་རང་བྱུང་རྡོ་རྗེ་ karma pa raṅ byuṅ rdo ne der 3.
wts_1_34	52	166	3	བྱུང	byun	byuṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_byung_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀརྨ་རང་བྱུང་རྡོ་རྗེ་ karma raṅ byuṅ rdo nie (TTC)
wts_1_34	54	18	1	ཀིང	kin	kiṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_king_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀིང་ཀང་ kiṅ kan, auch kan kiṅ, kan dan kiṅ, rkani
wts_1_34	54	45	1	ཀིང	kin	kiṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_king_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀིང་ཅང་ཧྭ་ kiṅ can hu ¦/07/7 jan hü.
wts_1_34	54	47	1	ཀིང	kin	kiṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_king_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀིང་ཤཾ་ kiṅ Si, auch ken śi, ken śe, ker Sin — chin.
wts_1_34	54	70	1	ཀིང	kin	kiṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_king_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀིང་ཤུ་ཀ་ kiṅ Su ka, auch ki su ka, kiṅ ka, ken
wts_1_34	54	134	2	བྱང	byan	byaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_byang_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀིན་བྱང་དྷུ་ kin byaṅ hü !kin jan hu.
wts_1_34	54	164	3	ཁོང	khon	khoṅ	reviewed_tibetan_exact_final_ng_historical_witness	historical_witness_khong_consensus_batch_20260728	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀིམ་ཤང ཁོང་ཅོ kim San khoṅ co, kim Sin kon co,
wts_1_34	54	168	3	ཀོང	kon	koṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_kong_consensus_batch_20260719	transcription_integrity_pass	no	sufficient	pass					validated	ཀིམ་ཤེང་ཀོང་ཅོ་ kim śen koṅ co, auch kim sen khon
wts_1_34	54	191	3	ཕྲེང	phren	phreṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_phreng_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀླིམྨི་ལིའི་ཕྲེང་བ་ kimmi li phreṅ ba eine Stadt in
wts_1_34	54	214	2	ཚང	tshan	tshaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_tshang_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀིའུ་ ཚང་ kin tshaṅ \ke’u tshan.
wts_1_34	56	164	3	མང	man	maṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_mang_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀུ་བྱི་མང་སྐེ་ ku byi maṅ ske, auch ku byi maṅ ke
wts_1_34	59	196	3	གྲོང	gron	groṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_grong_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀུ་ཤའི་གྲོང་ཁྱེར་ ku Sa’i groṅ khyer (ku śa), auch ku
wts_1_34	61	164	3	གླིང	glin	gliṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_gling_consensus_batch_20260719	transcription_integrity_pass	no	sufficient	pass					validated	ཀུན་སྐྱོབ་གླིང་ kun skyob gliṅ
wts_1_34	61	210	3	གླིང	glin	gliṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_gling_consensus_batch_20260719	transcription_integrity_pass	no	sufficient	pass					validated	ཀུན་སྐྱོབ་གླིང་ kun skyob gliṅ (SCD) wohl irtt. für
wts_1_34	62	26	3	གླིང	glin	gliṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_gling_consensus_batch_20260719	transcription_integrity_pass	no	sufficient	pass					validated	ཀུན་ཁྱབ་གླིང་ kun khyab gliṅ „Himmelsgarten“,
wts_1_34	64	130	3	སེང	sen	seṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_seng_consensus_batch_20260726	transcription_integrity_pass	no	sufficient	pass					validated	ཀུན་དགའ་སེང་གེ་ kun dga’ seṅ ge ein Lama, Schü-
wts_1_34	68	108	3	འབྱུང	byun	byuṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_abyung_consensus_batch_20260720	transcription_integrity_pass	no	sufficient	pass					validated	ཀུན་རྗེས་འབྱུང་ kun rjes 'byuṅ eine abführende
wts_1_34	71	143	3	འཆང	chan	chaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_achang_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀུན་ཏུ་འཆང་ kun tu ’chaṅ Geheimname des Pad-
wts_1_34	71	152	3	འཆང	chan	chaṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_achang_consensus_batch_20260726	transcription_integrity_pass	no	partial	unresolved					no_known_violation_but_incomplete	ཀུན་ཏུ་འཆང་ཆེན་ kun tu ’chaṅ chen ein Buddha;
wts_1_34	72	32	3	གཏོང	gton	gtoṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_gtong_consensus_batch_20260720	transcription_integrity_pass	no	sufficient	pass					validated	ཀུན་ཏུ་གཏོང་བ་ kun tu gtoṅ ba geben.
wts_1_34	74	160	3	འབྱུང	byun	byuṅ	reviewed_tibetan_exact_final_ng_consensus	tibetan_abyung_consensus_batch_20260720	transcription_integrity_pass	no	sufficient	pass					validated	ཀུན་ཏུ་འབྱུང་བ་ kun tn ’byuṅ ba
