frozen_prepass_sha	volume	page	line	token_index	tibetan_syllable	source_token	target	candidate_status	alignment_category	damage_category	context_excerpt
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	109	16	2	ཀྲུང	krun	kruṅ	echo	uncertain	uncertain	ཀྲུང་ཀླང་ kruṅ krun \khrun khrun.
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	200	51	2	ཀྲུང	krun	kruṅ	positional	dominant_internal_consensus	none	སྐྱིལ་ཀྲུང་ skyil krun
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	200	90	2	ཀྲུང	krun	kruṅ	positional	dominant_internal_consensus	none	སྐྱིལ་ཀྲུང་ skyil krun auch skyil mo dkrun, skyil mo
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	200	105	2	ཀྲུང	krun	kruṅ	positional	dominant_internal_consensus	none	སྐྱིལ་ཀྲུང་ skyil krun
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	200	161	3	ཀྲུང	krun	kruṅ	positional	dominant_internal_consensus	none	སྐྱིལ་མོ་ ཀྲུང་ skyil mo krun, skyil mo dkruṅ 76/597///
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	184	156	3	གནང	gnan	gnaṅ	positional	dominant_internal_consensus	none	སྐུ་ཕེབས་གནང་བ་ sku phebs gnan ba das Eintreten
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	704	78	3	གནང	gnan	gnaṅ	positional	dominant_internal_consensus	none	འཆེང་བླཟླམ་གནང་ 'chin bzlum gnan vermitteln,
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	1060	216	3	གནང	gnan	gnaṅ	positional	dominant_internal_consensus	none	མཐུན་པར་གནང་བ་ mtbun par gnan ba Einwilli-
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	804	213	4	གསུང	gsun	gsuṅ	echo	uncertain	uncertain	གཉིས་སུ་མི་གསུང་བ་ gäls su mi gsun ba ein-
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	187	17	2	གསུང	gsun	gsuṅ	positional	dominant_internal_consensus	none	སྐུ་གསུང་ཐུགས་ sku gsun thugs resp. Körper, Rede
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	475	131	2	གསུང	gsun	gsuṅ	positional	dominant_internal_consensus	none	རྒྱལ་གསུང་རྗེས་འགྲོ་ rgyal gsun rjes ’gro ein Vo-
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	1020	111	3	གསུང	gsun	gsuṅ	positional	dominant_internal_consensus	none	ཐུབ་དབང་གསུང་སྐྱེས་ thub dbaṅ gsun skyes Bez.
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_35_51	191	14	2	ཆུང	chuh	chuṅ	positional	dominant_internal_consensus	none	"འདོད་ཆུང་ ""dod chuh auch 'dod pa chuṅ ba ""klei-"
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_35_51	740	13	2	ཆུང	chuh	chuṅ	positional	dominant_internal_consensus	none	དཔུང་ཆུང་ dpuṅ chuh Idpun bu chuṅ.
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_8_b	83	25	2	ཆུང	chuh	chuṅ	positional	dominant_internal_consensus	none	བུ་ཆུང་ bu chuh auch ~ ñu.
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_35_51	549	75	6	བཀང	bkan	bkaṅ	echo	explicit_same_lemma_repetition	none	རྣ་བཀང་ rma bkaṅ auch rna ga bkan, rma gru
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_35_51	550	4	3	བཀང	bkan	bkaṅ	echo	uncertain	uncertain	རྣག་བཀང་ na ga bkan Trna bkan.
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_35_51	550	4	5	བཀང	bkan	bkaṅ	echo	uncertain	uncertain	རྣག་བཀང་ na ga bkan Trna bkan.
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_35_51	550	9	5	བཀང	bkan	bkaṅ	echo	uncertain	uncertain	རྣ་གྲུ་བཀང་ rna gru bkaṅ Trna bkan.
6387237406bd2cc16bf11724a177e4cc27f5977c	wts_1_34	132	136	1	བཀང	bkan	bkaṅ	positional	dominant_internal_consensus	none	བཀང་ bkan pf. zu l’gens.
