decision	from_token	to_token	score	evidence	example_ref
promote	$raddha	śraddhā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1115:47
promote	$raddhadhimuktah	śraddhadhimuktah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1115:74
promote	$raddhäbala	śraddhābala	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1115:41
promote	$ramana	śramana	3	safe_char_map,second_wave_safe_score3	wts_35_51:1017:100
promote	$ramat	śramat	3	safe_char_map,second_wave_safe_score3	wts_1_34:564:146
promote	$rotaäpanna	śrotaāpanna	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:487:124
promote	$rotriya	śrotriya	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1048:49
promote	$roträyatanamı	śrotrāyatanami	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:549:72
promote	$rutam	śrutam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:758:218
promote	$rutavant	śrutavant	3	safe_char_map,second_wave_safe_score3	wts_1_34:1048:36
promote	$uddhä	śuddhā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1096:29
promote	abhyäsita	abhyāsita	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:785:91
promote	acchasurä	acchasurā	3	safe_char_map,second_wave_safe_score3	wts_1_34:627:192
promote	acchäccha	acchāccha	3	safe_char_map,second_wave_safe_score3	wts_1_34:1105:36
promote	adhyapayäamäsa	adhyapayāamāsa	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:606:70
promote	adhyä	adhyā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:992:22
promote	adhyäpanam	adhyāpanam	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:200:99
promote	adhyäpayate	adhyāpayate	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:117:87
promote	adhyäpayämäsa	adhyāpayāmāsa	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:117:85
promote	advaidhikäram	advaidhikāram	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:804:124
promote	akrtaniriktapravarananı	akrtaniriktapravaranani	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:958:124
promote	akrtäbhyaga	akrtābhyaga	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1060:55
promote	aksobhyanäm	aksobhyanām	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:280:82
promote	aparimitabuddhädhyesanaknsalab	aparimitabuddhādhyesanaknsalab	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:182:48
promote	ardhaparyanıka	ardhaparyanika	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:515:48
promote	ardhavrddhä	ardhavrddhā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:1135:98
promote	asvanäsah	asvanāsah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:613:56
promote	Avalokıtesvara	Avalokitesvara	3	safe_char_map,second_wave_safe_score3	wts_35_51:963:9
promote	aviparyasatathatä	aviparyasatathatā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1001:101
promote	bhagavatänujnätah	bhagavatānujnātah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:488:82
promote	bhäracchinnah	bhāracchinnah	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:268:184
promote	Bodhicaryavatärapanjikä	Bodhicaryavatārapanjikā	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:848:160
promote	Bodhisattva-Mahäsattva	Bodhisattva-Mahāsattva	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_35_51:1080:46
promote	Bodhisattva-Mahäsattvas	Bodhisattva-Mahāsattvas	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:828:178
promote	Bodhisattva-Samädhi	Bodhisattva-Samādhi	4	safe_char_map,translit_only,singleton_safe_char_map_promote	wts_1_34:126:192
