tibetan_syllable	candidate_forms	independent_occurrences	volumes	entry_clusters	historical_occurrences	competing_forms	missing_evidence	promotion_disposition
ཀམ	kam	5	wts_1_34		23		single_volume	retain_moderate
ཀའི	ka’i	5	wts_1_34		7		single_volume	retain_moderate
ཀཱ	ka	5	wts_1_34		15		single_volume	retain_moderate
ཀེག	keg	2	wts_1_34;wts_35_51		4		fewer_than_3_independent_occurrences	retain_moderate
ཀོར	kor	5	wts_1_34		22		single_volume	retain_moderate
ཀྱབ	khyab	5	wts_1_34		5		single_volume	retain_moderate
ཀྱིན	kyin	2	wts_35_51		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཀྱིམ	khyim	23	wts_1_34		25		single_volume	retain_moderate
ཀྱུད	khyud	2	wts_1_34;wts_9_m		2		fewer_than_3_independent_occurrences	retain_moderate
ཀྱེད	byed	13	wts_1_34		29		single_volume	retain_moderate
ཀྱེར	khyer	11	wts_1_34		11		single_volume	retain_moderate
ཀྲི	kyi	2	wts_1_34;wts_35_51		2		fewer_than_3_independent_occurrences	retain_moderate
ཀླད	klad	7	wts_1_34		20		single_volume	retain_moderate
ཀླས	klas	2	wts_1_34		10		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཀླུ	klu	16	wts_1_34		65		single_volume	retain_moderate
ཀླུང	kluṅ	2	wts_1_34;wts_35_51;wts_9_m		3		fewer_than_3_independent_occurrences	retain_moderate
ཁད	khad	5	wts_1_34		6		single_volume	retain_moderate
ཁས	khas	13	wts_1_34		13		single_volume	retain_moderate
ཁོར	khor	17	wts_1_34		17		single_volume	retain_moderate
ཁྱུང	khyuṅ	2	wts_1_34;wts_8_b;wts_9_m		2		fewer_than_3_independent_occurrences	retain_moderate
ཁྲས	khrus	2	wts_8_b		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཁྲིག	khrig	6	wts_1_34		8		single_volume	retain_moderate
ཁྲིབ	khrib	3	wts_1_34		3		single_volume	retain_moderate
ཁྲིས	khris	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཁྲུས	khrus	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
ཁྲེལ	khrel	5	wts_1_34		5		single_volume	retain_moderate
གཉའ	giia’	2	wts_1_34		2		fewer_than_3_independent_occurrences;single_volume	retain_moderate
གཉེན	gen	2	wts_1_34		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
གཉོད	gcod	2	wts_1_34;wts_9_m		3		fewer_than_3_independent_occurrences	retain_moderate
གཏགས	gtugs	3	wts_1_34		4		single_volume	retain_moderate
གཏིང	gtiṅ	2	wts_1_34;wts_35_51;wts_8_b		2		fewer_than_3_independent_occurrences	retain_moderate
གཏུགས	gtugs	5	wts_1_34		7		single_volume	retain_moderate
གཏོ	gto	2	wts_1_34;wts_35_51		6		fewer_than_3_independent_occurrences	retain_moderate
གཏོགས	gtogs	3	wts_1_34		14		single_volume	retain_moderate
གདའ	gda'	6	wts_35_51		6		single_volume	retain_moderate
གདུགས	gdugs	5	wts_35_51		13		single_volume	retain_moderate
གནོད	gnod	5	wts_35_51		34		single_volume	retain_moderate
གབ	gab	9	wts_1_34		21		single_volume	retain_moderate
གམ	gam	3	wts_1_34		7		single_volume	retain_moderate
གཟིགས	gzigs	2	wts_1_34;wts_35_51		11		fewer_than_3_independent_occurrences	retain_moderate
གཟེར	gzer	2	wts_1_34;wts_35_51		9		fewer_than_3_independent_occurrences	retain_moderate
གཡར	g.yar	2	wts_1_34		3		fewer_than_3_independent_occurrences;single_volume	retain_moderate
གཤམ	gsam	2	wts_1_34;wts_9_m		4		fewer_than_3_independent_occurrences	retain_moderate
གཤེན	gsen	2	wts_35_51		4		fewer_than_3_independent_occurrences;single_volume	retain_moderate
གསང	gsaṅ	2	wts_1_34;wts_35_51;wts_8_b		3		fewer_than_3_independent_occurrences	retain_moderate
གསོད	gsod	4	wts_1_34		18		single_volume	retain_moderate
གུག	gug	2	wts_1_34;wts_35_51		8		fewer_than_3_independent_occurrences	retain_moderate
གུན	gun	3	wts_1_34		4		single_volume	retain_moderate
གེས	gis	2	wts_8_b;wts_9_m		2		fewer_than_3_independent_occurrences	retain_moderate
གོད	god	2	wts_1_34		8		fewer_than_3_independent_occurrences;single_volume	retain_moderate
གོར	gor	3	wts_1_34		21		single_volume	retain_moderate
གྒོ	sgo	3	wts_1_34		7		single_volume	retain_moderate
གྭ	gu	2	wts_1_34		5		fewer_than_3_independent_occurrences;single_volume	retain_moderate
