volume	page	line	token_index	tibetan_syllable	source_token	proposed_target	general_canonical_tier	general_source_alignment_status	required_signatures	signature_applicability	prior_identity_decision	final_ng_evidence_class	effective_disposition	context_excerpt
wts_1_34	48	50	1	ང	kan		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་ཀ་ནག་ག་ཀ་བཅཙན་ kan ka nag gi klu btsan eine
wts_1_34	50	50	2	ཤེང	sen		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀམ་ཤེང་ kam sen, auch skam sen, kham śen ein
wts_1_34	54	168	2	ཤེང	śen		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀིམ་ཤེང་ཀོང་ཅོ་ kim śen koṅ co, auch kim sen khon
wts_1_34	61	114	1	ང	kun		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་ས་ kun sa divin., einer der vier bzw. fünf gro-
wts_1_34	80	48	3	རྙིང	räin		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀུན་ནས་རྙིང་བ་ kun nas räin ba verwelken, ver-
wts_1_34	87	30	2	ཤེང	sen		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀུན་ཤེང་ཀོང་ཇོ་ kun sen koṅ jo \wun sin kon jo.
wts_1_34	90	170	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་ཙེ་ལན་མེད་ ken tse lan med
wts_1_34	90	214	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་ཙེ་ལན་མེད་ ken tse lan med N. einer Phya-
wts_1_34	91	1	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་རུས་ ken rus
wts_1_34	91	3	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་རུས་ ken rus Knochen, Gebeine, Gerippe,
wts_1_34	91	33	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་རུས་དཀར་མོ་ ken rus dkar mo „weißes Ske-
wts_1_34	91	36	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་རུས་ཅན་ ken rus can npr. „mit einem Skelett
wts_1_34	91	57	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་རུས་ཆེན་པོ་ ken rus chen po „großes Skelett“,
wts_1_34	91	65	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་ཤི་ ken si tkin %.
wts_1_34	91	67	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་ཤུ་ཀ་ ken Su ka Tkin Su ka.
wts_1_34	91	68	1	ཀེང	ken		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀེང་ཤེ་ ken se Tkin 7.
wts_1_34	96	128	2	ཤེང	sen		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀོ་ཤེང་ ko sen, auch kon sen N. einer Gegend.
wts_1_34	98	185	1	ང	kon		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་ཚོ་ kon tsho eine Schule, die von śab-rtse im
wts_1_34	99	21	2	ཤེང	sen		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀོང་ཤེང་ koṅ sen eine Region in der Nähe von
wts_1_34	104	89	2	ཀྱོང	kyon		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀྱང་ཀྱོང་ kyaṅ kyon uneben, wellig.
wts_1_34	107	159	1	ཀྱོང	kyon		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀྱོང་ kyon
wts_1_34	108	1	1	ཀྱོང	kyon		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀྱོང་ཀྱོང་ kyon kyon
wts_1_34	108	1	2	ཀྱོང	kyon		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀྱོང་ཀྱོང་ kyon kyon
wts_1_34	108	17	1	ཀྱོང	kyon		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀྱོང་བུ་ kyon bu ein Gerät, vgl. Ikyon mo.
wts_1_34	109	16	2	ཀླང	krun		provisional	not_in_general_outlier_queue		none	rejected	source_compatible_no_anchor	blocked_prior_rejected	ཀྲུང་ཀླང་ kruṅ krun \khrun khrun.
wts_1_34	112	114	3	སྙིང	säin		canonical_independent_moderate	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀླུ་སྒྲབ་སྙིང་པོ་ klu sgrub säin po
wts_1_34	114	4	4	ཁྱུང	kbyun		canonical_independent_moderate	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀླུ་སྦྲལ་འོད་ཁྱུང་ klu sbrul ’od kbyun ¦/5// sbrul ’od
wts_1_34	115	45	1	ང	klun		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་ klun.
wts_1_34	115	122	1	ང	klun		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་རྟ་ klun rta; vgl. Irlun rta. — chin. ES i-ma
wts_1_34	118	3	1	ཀླང	klon		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ཀླང་ཆན་པ་” klon chen pa...
wts_1_34	124	96	3	རྒྱང	igyan		canonical_feature_composed	secure_transcription_outlier		none	none	source_compatible_no_anchor	no_supported_target	དཀར་མོའི་རྒྱང་གྲགས་ dkar mo’i igyan grags !dkar
wts_1_34	155	207	1	ང	ykan		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་སྙས།་ ykan skyes Bez. für Angehörige der un-
wts_1_34	157	177	1	རྐང	ran		canonical_independent_strong	probable_transcription_outlier		none	none	source_compatible_no_anchor	no_supported_target	རྐང་དྲུག་ ran ing ep
wts_1_34	162	157	1	ང	rkon		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་བྲར་ rkon zor
wts_1_34	164	39	1	རྐྱང	Ryan		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	རྐྱང་ཟླ་ Ryan zla.
wts_1_34	176	29	2	ཤེང	sen		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	སྐམ་ཤེང་ skam sen kam Sen.
wts_1_34	184	25	2	གདུང	gun		canonical_independent_strong	probable_transcription_outlier		none	none	source_compatible_no_anchor	no_supported_target	སྐུ་གདུང་ sh gun.
wts_1_34	187	148	1	ང	skun		ambiguous	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་སླང་ skun skun verborgen, geheim.
wts_1_34	187	148	2	སླང	skun		provisional	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	ང་སླང་ skun skun verborgen, geheim.
wts_1_34	195	114	2	སང	sen		canonical_independent_moderate	not_in_general_outlier_queue		none	none	source_compatible_no_anchor	no_supported_target	སྐྱ་སང་སང་པ་ skya sen sen po
