volume	page	line	token_index	tibetan_syllable	captured_token	token_start	token_end	preceding_character	following_character	boundary_status	context_excerpt
wts_1_34	47	40	4	མཛེས	dga	30	33	 	’	token_boundary_ambiguous	ཀ་ཤི་མཛེས་དགའ་མོ་ ka 47 mdzes dga’ mo N. einer
wts_1_34	52	74	2	བཀའ	bka	21	24	 	’	token_boundary_ambiguous	ཀརྨ་བཀའ་བརྒྱད་ karma bka’ brgyud eine bRa’-
wts_1_34	57	63	3	དགའ	dga	18	21	 	’	token_boundary_ambiguous	ཀ་མུད་དགའ་ ku mud dga’ (ku mud) „einer, der
wts_1_34	57	70	3	དགའ	dga	22	25	 	’	token_boundary_ambiguous	ཀྭ་མུད་དགའ་ཚལ་ ku mud dga’ /5/04/ (ku mud) Ku-
wts_1_34	60	78	2	ཤུའི	su	16	18	 	’	token_boundary_ambiguous	ཀུ་ཤུའི་ཁམས་ ku su’ khams blau.
wts_1_34	62	3	3	དཔའ	dpa	32	35	 	’	token_boundary_ambiguous	ཀུན་སྐྱོབ་དཔའ་བོ་སྲས་ kun skyob dpa’ bo sras einer
wts_1_34	62	125	3	གཟའ	gza	23	26	 	’	token_boundary_ambiguous	ཀུན་གྱི་གཟའ་བ་ kun gyi gza’ ba Tischgemein-
wts_1_34	62	172	2	དགའ	dga	13	16	 	’	token_boundary_ambiguous	ཀུན་དགའ་ kun dga’ Kurzf. für kun dga’ bo. ~ für
wts_1_34	62	197	2	དགའ	dga	22	25	 	’	token_boundary_ambiguous	ཀུན་དགའ་རྒྱལ་མཚན་ kun dga’ rgyal mtshan N.
wts_1_34	62	205	2	དགའ	dga	22	25	 	’	token_boundary_ambiguous	ཀུན་དགའ་མཆོག་ལྡན་ kun dga’ mchog ldan N. des
wts_1_34	62	209	2	དགའ	dga	18	21	 	’	token_boundary_ambiguous	ཀུན་དགའ་ཉི་མ་ kun dga’ ri ma Personenname.
wts_1_34	63	12	2	དགའ	dga	21	24	 	’	token_boundary_ambiguous	ཀུན་དགའ་སྙིང་པོ་ kun dga’ 577/7] po Personenname.
wts_1_34	63	27	2	དོན	dga	18	21	 	’	token_boundary_ambiguous	་དགའ་དོན་གྲབ་ kun dga’ don grub (1419-
wts_1_34	63	34	2	རྗེ	dga	16	19	 	’	token_boundary_ambiguous	་དགའ་ ་རྗེ་ kun dga’ rdo re N. des gelehrten
wts_1_34	63	44	2	དགའ	dga	22	25	 	’	token_boundary_ambiguous	ཀུན་དགའ་རྣམ་རྒྱལ་ kun dga’ mam rgyal, auch
wts_1_34	63	59	2	དགའ	dga	16	19	 	’	token_boundary_ambiguous	ཀུན་དགའ་བོ་ kun dga’ bo
wts_1_34	63	69	2	བའི	dga	19	22	 	’	token_boundary_ambiguous	་དགའ་བའི་གཏཏམ་ kun dga’ ba’i gtam freundli-
wts_1_34	63	81	2	དགའ	dga	23	26	 	’	token_boundary_ambiguous	ཀུན་དགའ་བར་བྱེད་པ་ kun dga’ bar byed pa Freude
wts_1_34	63	89	2	དགའ	dga	16	19	 	’	token_boundary_ambiguous	ཀུན་དགའ་བོ་ kun dga’ bo, auch kun dga’o ~ für skt.
