volume	page	line	token_index	tibetan_syllable	source	target	target_authority_at_correction	component_feature_rules	self_contribution	strict_leave_one_out_status	ocr_signatures	domain_authority	prior_exact_decision	present_source_status	present_target_status	backaudit_disposition
wts_1_34	82	106	3	ལང	lani	laṅ	canonical_independent_strong	CORPUS_10051C382A6A;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	124	3	3	རྒྱང	rgyani	rgyaṅ	canonical_feature_composed	CORPUS_987FBEB04DC6;CORPUS_A6063072E7A9;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	no	passed	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	139	106	2	ཏང	tani	taṅ	canonical_feature_composed	RESIDUAL_381523970DB6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	no	passed	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	163	121	1	རྐྱང	rkyani	rkyaṅ	canonical_feature_composed	CORPUS_987FBEB04DC6;RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	no	passed	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	248	148	2	ནིང	nin	niṅ	canonical_feature_composed	CORPUS_7F051B17DE73;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	no	passed	single_diacritic_or_case_confusion:n→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	251	98	2	སྦྱང	sbyani	sbyaṅ	canonical_independent_strong	CORPUS_86605D8DD3C9;CORPUS_B453155DE050;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	277	28	2	སིང	sin	siṅ	canonical_feature_composed	RESIDUAL_014281225BA9;CORPUS_63EB474B7A3F;SUFFIX_NG_TO_NDOT	no	passed	single_diacritic_or_case_confusion:n→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	338	135	1	གང	gani	gaṅ	canonical_independent_strong		not_in_current_dependency_audit	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	role_parse_unresolved	current_authority_retained
wts_1_34	340	15	2	ཞིག	Zig	źig	canonical_feature_composed	ROOT_ZHA_TO_ZACUTE;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	no	passed	single_diacritic_or_case_confusion:Z→ź	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	464	73	2	ཞིག	Zig	źig	canonical_feature_composed	ROOT_ZHA_TO_ZACUTE;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	no	passed	single_diacritic_or_case_confusion:Z→ź	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	580	108	2	ཞིག	Zig	źig	canonical_feature_composed	ROOT_ZHA_TO_ZACUTE;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	no	passed	single_diacritic_or_case_confusion:Z→ź	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	580	169	2	ཞིག	Zig	źig	canonical_feature_composed	ROOT_ZHA_TO_ZACUTE;CORPUS_63EB474B7A3F;CORPUS_9A673562CD7A	no	passed	single_diacritic_or_case_confusion:Z→ź	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	592	101	2	རྐྱང	rkyani	rkyaṅ	canonical_feature_composed	CORPUS_987FBEB04DC6;RESIDUAL_16C7C1641787;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	no	passed	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	811	181	2	ཐང	than	thaṅ	canonical_independent_strong	RESIDUAL_9DD158EE4F10;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	single_diacritic_or_case_confusion:n→ṅ	proper_name_reviewed	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	901	53	1	བཏང	btani	btaṅ	canonical_independent_strong	CORPUS_F39DE6FEA67D;RESIDUAL_381523970DB6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	915	108	3	གཞོན	gZon	gźon	canonical_feature_composed	CORPUS_4E31F0FBB76E;ROOT_ZHA_TO_ZACUTE;CORPUS_16D4A9AA0695;CORPUS_76CFA3FCFF21	no	passed	single_diacritic_or_case_confusion:Z→ź	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	1012	108	3	གསང	gsani	gsaṅ	canonical_feature_composed	CORPUS_4E31F0FBB76E;RESIDUAL_014281225BA9;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	no	passed	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_1_34	1028	12	2	བྲང	brani	braṅ	canonical_independent_strong	CORPUS_B453155DE050;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	116	2	2	སྣང	snani	snaṅ	canonical_independent_strong	CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	147	1	3	ཡང	yani	yaṅ	canonical_independent_strong	CORPUS_ED079940246D;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	366	44	2	ཡང	yani	yaṅ	canonical_independent_strong	CORPUS_ED079940246D;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	552	14	3	གསང	gsani	gsaṅ	canonical_feature_composed	CORPUS_4E31F0FBB76E;RESIDUAL_014281225BA9;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	no	passed	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	582	14	3	སྣང	snani	snaṅ	canonical_independent_strong	CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	583	1	3	སྣང	snani	snaṅ	canonical_independent_strong	CORPUS_86605D8DD3C9;CORPUS_7F051B17DE73;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	803	38	1	སྤྱང	spyani	spyaṅ	canonical_independent_strong	CORPUS_86605D8DD3C9;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	not_in_current_dependency_audit	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_partial	current_authority_retained
wts_35_51	803	77	1	སྤྱང	spyani	spyaṅ	canonical_independent_strong	CORPUS_86605D8DD3C9;CORPUS_E34B3E203AE6;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	not_in_current_dependency_audit	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_partial	current_authority_retained
wts_35_51	884	19	1	ཕང	phani	phaṅ	canonical_feature_composed	RESIDUAL_C14A7F0F1043;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	no	passed	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	939	37	2	བྲང	brani	braṅ	canonical_independent_strong	CORPUS_B453155DE050;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	940	1	2	བྲང	brani	braṅ	canonical_independent_strong	CORPUS_B453155DE050;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
wts_35_51	940	47	2	བྲང	brani	braṅ	canonical_independent_strong	CORPUS_B453155DE050;CORPUS_7F71AFFFC788;CORPUS_01025FAF5D30;SUFFIX_NG_TO_NDOT	yes	exact_canonical_route	edit_unclassified:ni→ṅ	ordinary_tibetan	none_before_active_override	feature_error_source	feature_complete_unique	current_authority_retained
