page	line	entry_id	zone	from_token	to_token	tier	reason	applied	line_excerpt
7	34	0	german_prose	ofthe	of the	A	citation_english_spacing_loss_map	1	Seminar ofthe International Association for Tibetan Studies, Narita 1989, ed.
8	16	0	german_prose_with_translit	$i	śi	A	orphan_safe_dollar_to_sacute	1	betischen Schrifisprache, 2. Lieferung: kun igs — kau $i ka, München: CH.
10	12	0	german_prose_with_translit	Ya$obhadra	Yaśobhadra	A	orphan_safe_dollar_to_sacute	1	/ Ya$obhadra: Sarvagihyapradipatika. Abt. rGyud, ba 203b5-23447.
10	19	0	german_prose_with_translit	b$ad	bśad	A	orphan_safe_dollar_to_sacute	1	T4114 Dul balha: Dal barnam par 'byed pa'i tsbigrnam par b$ad pa / Viinita-
10	31	0	german_prose_with_translit	ofthe	of the	A	citation_english_spacing_loss_map	1	SAKYA CENTRE 1985. Lam 'bras tshogs bsad. The Sa-skya-pa teachings ofthe pathandthe
12	11	3	german_prose_with_translit	$in	śiṅ	A	explicit_user_allowlist	1	skad nas byun yari lha'i $in nam Sin tog dan
12	13	3	german_prose_with_translit	chañ	chaṅ	A	confusable_nya_coda_safe	1	"chañ gis kha phye zer ba dañ ""ist aus Skt. ba-"
12	13	3	german_prose_with_translit	dañ	daṅ	A	explicit_user_allowlist	1	"chañ gis kha phye zer ba dañ ""ist aus Skt. ba-"
12	14	3	german_prose_with_translit	6111	ein	A	german_numeric_function_word_confusion	1	kkulah entstanden; ist 6111 Baum oder eine
12	18	3	latin_other	chañ	chaṅ	A	confusable_nya_coda_safe	1	ni bud med kyi 'gram chañ gis kha phye bar
12	39	5	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"Lex. dri ma dreg pa Ita bu ""wie: Dreck,"
12	40	5	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"Schmutz"" (brDa); dreg pa Ita bu zig (Dagy)."
12	42	6	german_prose_with_translit	$u	śu	A	confusable_dollar_to_sacute_shape_safe	1	rta $u bo Zur po rtin kar / dan — gcig gis bskyed
13	8	7	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"gi spen bad Ita bu ""bgo re oder ba gam: wie:"
13	18	7	german_prose_with_translit	Ita	lta	A	explicit_case_sensitive_allowlist	1	"Ita bu ""wie: Königspalast"" (Dagy);bgore 'am"
13	30	9	headword_line	lañ	laṅ	A	confusable_nya_coda_safe	1	བ་གླང་ ba glaṅ lba lañ.
13	47	14	german_prose_with_translit	nañ	naṅ	A	explicit_user_allowlist	1	"phye ma ~ gyi nañ du ... bskol te ""das Mehl"
13	49	14	latin_other	Ihan	lhan	A	explicit_case_sensitive_allowlist	1	Ihan cig tu btags te / btsags pa ni dug sman
14	3	20	german_prose_with_translit	$ug	śug	A	confusable_dollar_to_sacute_shape_safe	1	mkhan $ug dan / ba Iu dan — dan / bzan sin
14	37	26	german_prose_with_translit	Mill	Miii	A	citation_roman_l_to_I	1	rc, skt. badara Ziziphus jujuba Mill. (vgl.
