decision	volume	unresolved_hits	validator_hits	applied_hits	score	rewrite_class	has_translit_cue	german_risk	from_token	to_token
hold	wts_8_b	4	4	0	3	safe_char_map	1	0	dBus-gtsañ	dBus-gtsaṅ
hold	wts_8_b	3	3	0	3	safe_char_map	1	0	Sañs	Saṅs
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	Iśvaravarman	lśvaravarman
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	Iśāna	lśāna
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	bzañ-po	bzaṅ-po
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	kyañ	kyaṅ
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	lha-khañ	lha-khaṅ
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	moñs	moṅs
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	rañs	raṅs
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	sunañ	sunaṅ
hold	wts_8_b	2	2	0	3	safe_char_map	1	0	tiñ	tiṅ
hold	wts_8_b	2	2	0	2	safe_char_map	0	0	I'orm	l'orm
hold	wts_8_b	2	2	0	2	safe_char_map	0	0	Ichs'	lchs'
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	$rT	śrT
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Bar-snañ	Bar-snaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Bla-brañ	Bla-braṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Bol-gañs	Bol-gaṅs
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Bran-khañ	Bran-khaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Brañ-gi	Braṅ-gi
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Byañ-chub	Byaṅ-chub
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Byañ-tharñ	Byaṅ-tharṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Ches-sponñ	Ches-sponṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Debñ	Debṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Gañsri	Gaṅsri
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Ge-Ihavon	Ge-lhavon
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Glañ-thañ	Glaṅ-thaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Gliñ	Gliṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Grañs-mtshams	Graṅs-mtshams
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Gyim-śañ	Gyim-śaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Ha-śañ	Ha-śaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Hañ	Haṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Huñ-tha'i-ji	Huṅ-tha'i-ji
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Iageshālfte	lageshālfte
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Ih	lh
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	IhK	lhK
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Ihara	lhara
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Ihgr	lhgr
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Iirdhaar'	lirdhaar'
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Iśvarasena	lśvarasena
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Iśvarimit	lśvarimit
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Jañ	Jaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Khri-Icani	Khri-lcani
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Khri-sroñ	Khri-sroṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Luñ	Luṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Mañ	Maṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Nag-tshañ	Nag-tshaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Nan-Iha	Nan-lha
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Sañs-rgyas	Saṅs-rgyas
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Stag-Iha	Stag-lha
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Thañ-skya	Thaṅ-skya
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Tsañ	Tsaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Tshañ-pa	Tshaṅ-pa
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Yab-Iha	Yab-lha
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Yar-Iha	Yar-lha
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Yañ-ri	Yaṅ-ri
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	Yol-thañ	Yol-thaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	ags-gliñ	ags-gliṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	beñ	beṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	brug-Iha	brug-lha
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	dañs	daṅs
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	drañste	draṅste
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	gNanñ	gNanṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	gSin-dar-ldiñ	gSin-dar-ldiṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	gTsañ-po	gTsaṅ-po
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	gdoñ	gdoṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	giñ	giṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	groñ	groṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	gsuñs	gsuṅs
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	gyiñ	gyiṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	gŚoñ-po	gŚoṅ-po
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	hoñ	hoṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	hwañ	hwaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	khruñs	khruṅs
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	khyuñ-rum	khyuṅ-rum
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	lIHab-dpal-sgra	llHab-dpal-sgra
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	lJañ-yul	lJaṅ-yul
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	la'añ	la'aṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	lcañ	lcaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	ledañ	ledaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	mchiñ	mchiṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	rIsed-than	rlsed-than
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	riñ-btsun	riṅ-btsun
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	ruñ	ruṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	s'Iag-tsha	s'lag-tsha
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sGañ	sGaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sNañ-bźer	sNaṅ-bźer
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sPañ-lun	sPaṅ-lun
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sTag-Iha	sTag-lha
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sToñ	sToṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sa-thañ	sa-thaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sgañ	sgaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	skiañ	skiaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	skrañs	skraṅs
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	spuñs-pa	spuṅs-pa
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	sroñ-btsan	sroṅ-btsan
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	thuñ	thuṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	tsbo-Inra	tsbo-lnra
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	yañ-gsañ	yaṅ-gsaṅ
hold	wts_8_b	1	1	0	3	safe_char_map	1	0	zañs	zaṅs
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	I''bab	l''bab
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	I'els	l'els
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	I'estungsgraben	l'estungsgraben
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	I'hgr	l'hgr
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	I'or	l'or
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	IDe'u	lDe'u
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	Ia'i	la'i
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	Ich'	lch'
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	Io	lo
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	P'Is	P'ls
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	Sin-pa'i-Itens	Sin-pa'i-ltens
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	TIshe-brtan	Tlshe-brtan
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	eINgEhAl	elNgEhAl
hold	wts_8_b	1	1	0	2	safe_char_map	0	0	g'Isari	g'lsari
hold	wts_8_b	1	1	0	1	safe_char_map	0	0	SIINER'	SllNER'
hold	wts_8_b	1	1	0	1	other_char_map	1	0	aÑ	aṄ
hold	wts_8_b	1	1	0	0	safe_char_map	1	1	Iśäna	lśäna
hold	wts_8_b	1	1	0	-1	safe_char_map	0	1	I'Iuß	l'luß
hold	wts_8_b	1	1	0	-1	safe_char_map	0	1	I'löte	l'löte
