bucket	token	count
wts_8_b:dollar_artifact	$	244
wts_8_b:dollar_artifact	$rT	1
wts_8_b:initial_confusable_I	Ina	143
wts_8_b:initial_confusable_I	Itar	137
wts_8_b:initial_confusable_I	Indien	37
wts_8_b:initial_confusable_I	Ice	20
wts_8_b:initial_confusable_I	Inhalt	18
wts_8_b:initial_confusable_I	Imperativ	18
wts_8_b:initial_confusable_I	Ira	17
wts_8_b:initial_confusable_I	ITJ	13
wts_8_b:initial_confusable_I	Indra	13
wts_8_b:initial_confusable_I	Ini	12
wts_8_b:initial_confusable_I	Indras	12
wts_8_b:initial_confusable_I	Ikog	11
wts_8_b:initial_confusable_I	Intelligenz	11
wts_8_b:initial_confusable_I	Insekt	11
wts_8_b:initial_confusable_I	Ich	11
wts_8_b:initial_confusable_I	Ipags	10
wts_8_b:initial_confusable_I	Instrument	9
wts_8_b:initial_confusable_I	Inl	8
wts_8_b:initial_confusable_I	Inneren	8
wts_8_b:initial_confusable_I	Inkarnation	8
wts_8_b:initial_confusable_I	Iba	7
wts_8_b:initial_confusable_I	Ius	7
wts_8_b:initial_confusable_I	IPL	7
wts_8_b:initial_confusable_I	Ite	7
wts_8_b:initial_confusable_I	Innere	6
wts_8_b:initial_confusable_I	Innern	6
wts_8_b:initial_confusable_I	Inar	6
wts_8_b:initial_confusable_I	Insekten	6
wts_8_b:initial_confusable_I	ITC	6
wts_8_b:initial_confusable_I	Indiens	5
wts_8_b:initial_confusable_I	Ibar	5
wts_8_b:initial_confusable_I	Inas	5
wts_8_b:initial_confusable_I	Ibu	5
wts_8_b:initial_confusable_I	Itabu	5
wts_8_b:initial_confusable_I	Ibya	5
wts_8_b:initial_confusable_I	Ins	5
wts_8_b:initial_confusable_I	International	4
wts_8_b:initial_confusable_I	Ing	4
wts_8_b:initial_confusable_I	Ihr	4
wts_8_b:initial_confusable_I	Instru-	4
wts_8_b:initial_confusable_I	Ingwer	4
wts_8_b:initial_confusable_I	Itas	4
wts_8_b:initial_confusable_I	Ihn	4
wts_8_b:initial_confusable_I	Inzest	4
wts_8_b:initial_confusable_I	Ibyin	4
wts_8_b:initial_confusable_I	Ito	3
wts_8_b:initial_confusable_I	Ibal	3
wts_8_b:initial_confusable_I	Iria	3
wts_8_b:initial_confusable_I	Ian	3
wts_8_b:initial_confusable_I	Inseln	3
wts_8_b:initial_confusable_I	Itun	3
wts_8_b:initial_confusable_I	Inder	3
wts_8_b:initial_confusable_I	Irnam	3
wts_8_b:initial_confusable_I	Itan	3
wts_8_b:initial_confusable_I	Idog	3
wts_8_b:initial_confusable_I	Interesse	3
wts_8_b:initial_confusable_I	Ibod	3
wts_8_b:initial_confusable_I	Ibyan	3
wts_8_b:initial_confusable_I	Ibyani	3
wts_8_b:initial_confusable_I	Isbyin	3
wts_8_b:initial_confusable_I	Instrumental	3
wts_8_b:initial_confusable_I	Imp	3
wts_8_b:initial_confusable_I	Iblo	3
wts_8_b:initial_confusable_I	Idin	3
wts_8_b:initial_confusable_I	Isbed	3
wts_8_b:initial_confusable_I	Inneres	3
wts_8_b:initial_confusable_I	Inscription	2
wts_8_b:initial_confusable_I	IDeKh-B	2
wts_8_b:initial_confusable_I	Idum	2
wts_8_b:initial_confusable_I	Isbag	2
wts_8_b:initial_confusable_I	Itag	2
wts_8_b:initial_confusable_I	Ide	2
wts_8_b:initial_confusable_I	Indi-	2
wts_8_b:initial_confusable_I	Ion	2
wts_8_b:initial_confusable_I	Iras	2
wts_8_b:initial_confusable_I	Intl	2
wts_8_b:initial_confusable_I	Iksväku	2
wts_8_b:initial_confusable_I	Irus	2
wts_8_b:initial_confusable_I	Insel	2
wts_8_b:initial_confusable_I	Itani	2
wts_8_b:initial_confusable_I	Icam	2
wts_8_b:initial_confusable_I	Ibon	2
wts_8_b:initial_confusable_I	Iugs	2
wts_8_b:initial_confusable_I	Ibyed	2
wts_8_b:initial_confusable_I	Itad	2
wts_8_b:initial_confusable_I	Ibyen	2
wts_8_b:initial_confusable_I	Ichs'	2
wts_8_b:initial_confusable_I	Ihre	2
wts_8_b:initial_confusable_I	ICags-po-ri	2
wts_8_b:initial_confusable_I	Ibro	2
wts_8_b:initial_confusable_I	Ibla	2
wts_8_b:initial_confusable_I	Iblare	2
wts_8_b:initial_confusable_I	Ikugs	2
wts_8_b:initial_confusable_I	Idom-bu	2
wts_8_b:initial_confusable_I	Idban	2
wts_8_b:initial_confusable_I	Iśāna	2
wts_8_b:initial_confusable_I	Isvara	2
wts_8_b:initial_confusable_I	Iśvaravarman	2
wts_8_b:initial_confusable_I	Isvarasena	2
wts_8_b:initial_confusable_I	Iehrfreien	2
wts_8_b:initial_confusable_I	Intonation	2
wts_8_b:initial_confusable_I	Iphyed	2
wts_8_b:initial_confusable_I	Itogs	2
wts_8_b:initial_confusable_I	Isbyon	2
wts_8_b:initial_confusable_I	Inter-	2
wts_8_b:initial_confusable_I	Ijon	2
wts_8_b:initial_confusable_I	Isbas	2
wts_8_b:initial_confusable_I	Isbug	2
wts_8_b:initial_confusable_I	Insckt	2
wts_8_b:initial_confusable_I	ISBN	1
wts_8_b:initial_confusable_I	Ihm	1
wts_8_b:initial_confusable_I	Initiatoren	1
wts_8_b:initial_confusable_I	Indologie	1
wts_8_b:initial_confusable_I	Ihara	1
wts_8_b:initial_confusable_I	Institut	1
wts_8_b:initial_confusable_I	Indian	1
wts_8_b:initial_confusable_I	Isabella	1
wts_8_b:initial_confusable_I	IDe'u	1
wts_8_b:initial_confusable_I	Institute	1
wts_8_b:initial_confusable_I	Ipa	1
