page	line	entry_id	zone	headword_tibetan	headword_latin	headword_latin_confidence	translit_token_count	german_token_count	audit_candidates	audit_replaced	line_text
1	1	0	german_prose			none	0	1	0	0	Wörterbuch
1	2	0	german_prose_with_translit			none	1	2	0	0	der tibetischen Schriftsprache
1	3	0	german_prose			none	0	3	0	0	Im Auftrag der
1	4	0	german_prose			none	0	4	0	0	Bayerischen Akademie der Wissenschaften
1	5	0	german_prose			none	0	1	0	0	herausgegeben von
1	6	0	german_prose			none	0	2	0	0	Jens-Uwe Hartmann
1	7	0	german_prose_with_translit			none	1	2	0	0	Thomas O. Höllmann
1	8	0	german_prose			none	0	1	0	0	8. Band
1	9	0	latin_other			none	1	0	0	0	(Lieferungen 52 bis 60)
1	10	0	latin_other			none	3	0	0	0	ba - sbron pa
1	11	0	german_prose			none	0	2	0	0	Bearbeitet von
1	12	0	german_prose			none	0	2	0	0	Petra Maurer
1	13	0	german_prose			none	0	2	0	0	Johannes Schneider
1	14	0	german_prose_with_translit			none	1	1	0	0	unter Mitwirkung von
1	15	0	german_prose			none	0	2	0	0	Volker Caumanns
1	16	0	german_prose			none	0	2	0	0	Alexander Schiller
1	17	0	german_prose			none	0	1	0	0	MÜNCHEN
1	18	0	german_prose			none	0	3	0	0	VERLAG DER BAYERISCHEN AKADEMIE DER WISSENSCHAFTEN
1	19	0	german_prose			none	0	3	0	0	IN KOMMISSION BEIM VERLAG C.H.BECK
1	20	0	other			none	0	0	0	0	2023
2	1	0	german_prose			none	0	1	0	0	Das
2	2	0	german_prose_with_translit			none	1	3	0	0	Wörterbuch der tibetischen Schriftsprache
2	3	0	german_prose			none	0	7	0	0	wird als Vorhaben der Bayerischen Akademie der Wissenschaften
2	4	0	german_prose			none	0	3	0	0	(Zentral- und ostasiatische Studien)
2	5	0	german_prose			none	0	4	0	0	im Rahmen des Akademienprogramms
2	6	0	german_prose_with_translit			none	1	3	0	0	von der Bundesrepublik Deutschland
2	7	0	german_prose			none	0	5	0	0	und dem Freistaat Bayern gefördert
2	8	0	german_prose			none	0	6	0	0	Copyright 2023 by Bayerische Akademie der Wissenschaften, München
2	9	0	german_prose			none	0	7	0	0	in Kommission beim Verlag C.H.Beck, München
2	10	0	other			none	0	0	0	0	ISBN 978-3-7696-2229-4
2	11	0	german_prose			none	0	3	0	0	Satz: Tibetisches Wörterbuch
2	12	0	german_prose_with_translit			none	1	4	0	0	Gedruckt auf säurefreiem und alterungsbeständigem Papier
2	13	0	german_prose_with_translit			none	1	6	0	0	Druck und Bindung: AZ Druck und Datentechnik, Kempten
3	1	0	german_prose_with_translit			none	2	2	0	0	Dr. Jampa Losang Panglung
3	2	0	german_prose			none	0	2	0	0	(26. September 1939 - 19. August 2022)
3	3	0	german_prose_with_translit			none	1	9	0	0	Mit großer Trauer haben wir im vergangenen Jahr von unserem Kollegen Dr. Jam-
3	4	0	german_prose_with_translit			none	4	3	0	0	pa Losang Panglung (Byams-pa Blo-bzaṅ sPan-lun) Abschied genommen. Am 19.
3	5	0	german_prose_with_translit			none	1	7	0	0	August 2022 verstarb der tibetische Gelehrte und langjährige Mitarbeiter im Projekt
3	6	0	german_prose_with_translit			none	1	9	0	0	Wörterbuch der tibetischen Schriftsprache an der Bayerischen Akademie der Wissen-
3	7	0	other			none	0	0	0	0	schaften.
3	8	0	german_prose_with_translit			none	2	7	0	0	Sein Lebenslauf war ungewöhnlich. Jampa L. Panglung wurde am 26. September
3	9	0	german_prose			none	0	7	0	0	"1939, einem Erde-Hase-Jahr, geboren, in einem Dorf namens ""Schlechte Erde"", ti-"
3	10	0	german_prose_with_translit			none	3	9	0	0	betisch Sa-ngen (Sa-nan), bei Bathang in Khams, das heute zu Sichuan gehört. Als
3	11	0	german_prose_with_translit			none	1	6	0	0	er drei Jahre alt war, kam eine Delegation tibetischer Geistlicher aus dem Panglung
3	12	0	german_prose_with_translit			none	2	7	0	0	Labrang aufgrund von Prophezeiungen und Vorzeichen in das Dorf und erkannte
3	13	0	german_prose_with_translit			none	1	8	0	0	ihn als vierte Wiedergeburt des Panglung Rinpoche an. Als er sechs Jahre alt war,
3	14	0	german_prose_with_translit			none	1	6	0	0	wurde er in das rund dreißig Tagesritte entfernte Stammkloster Ganden Sumtseling
3	15	0	german_prose_with_translit			none	2	6	0	0	in Gyelthang, dem heutigen Shangri-la, im Nordwesten Yünnans gebracht. Dort
3	16	0	german_prose_with_translit			none	1	6	0	0	lebte er zusammen mit etwa tausend Mönchen ungefähr zwei Jahre als Novize. Da-
3	17	0	german_prose_with_translit			none	3	4	0	0	nach brach er in Richtung Lhasa auf. Zunächst studierte er im Kloster Panglung,
3	18	0	german_prose_with_translit			none	5	5	0	0	wo ihm der Titel eines Geshe Yesh& Chinpa (dge bśes ye ses sbyin pa) verlichen wur-
3	19	0	german_prose_with_translit			none	3	8	0	0	de. Ein Jahr später verlich ihm die tibetische Regierung den Titel eines Tsokchen
3	20	0	german_prose_with_translit			none	3	8	0	0	Tulku (tshogs chen sprul sku), eine Position, die dem vierten Rang eines tibetischen
3	21	0	german_prose_with_translit			none	3	7	0	0	Beamten entspricht. Danach trat Jampa Panglung in das bei Lhasa gelegene Kloster
3	22	0	german_prose_with_translit			none	2	7	0	0	Sera ein, um dort weiter zu studieren. Das Studium der buddhistischen Philosophie
3	23	0	german_prose_with_translit			none	3	4	0	0	(Madhyamaka, Prajnāpāramitā, Vinaya, Abhidharma und Pramäna) und zahlreiche,
3	24	0	german_prose_with_translit			none	2	3	0	0	durch strenges Protokoll geregelte Verpflichtungen bestimmten seine Studienzeit, in
3	25	0	german_prose_with_translit			none	3	6	0	0	der er sich nur selten in die Bergeinsiedelei Panglung Ritrö (sPañ-lun ri-khrod) bei
3	26	0	german_prose			none	0	2	0	0	Sera zurückzichen konnte.
3	27	0	german_prose_with_translit			none	1	7	0	0	Im Jahre 1959 schloß er sein Studium nach bereits neun Jahren ab, einer für tibe-
3	28	0	german_prose_with_translit			none	1	6	0	0	tische Verhältnisse ungewöhnlich kurzen Zeit. Den Abschluß bildete eine öffentli-
3	29	0	german_prose_with_translit			none	1	7	0	0	che Prüfung, bei welcher damals auch der 14. Dalai Lama geprüft wurde. Bei dieser
3	30	0	german_prose_with_translit			none	1	3	0	0	Prüfung waren etwa zwanzigtausend Mönche der drei nahegelegenen Klosteruni-
3	31	0	german_prose_with_translit			none	3	7	0	0	versitäten Sera, Drepung und Ganden anwesend. Ihm wurde der Titel eines Geshe
3	32	0	german_prose_with_translit			none	4	8	0	0	Lharampa (dge ses lha rams pa) verlichen, der höchste Grad im Studium der tibetisch-
3	33	0	latin_other			none	2	0	0	0	buddhistischen Philosophie.
4	1	0	german_prose			none	0	2	0	0	beim letzten Besuch 11] seiner Heimat
5	1	0	german_prose_with_translit			none	1	6	0	0	Etwa zwei Wochen nach seiner Prüfung eskalierte die politische Situation in Tibet.
5	2	0	german_prose_with_translit			none	1	10	0	0	Auch das Kloster Sera, in dem Jampa L.. Panglung sich aufhielt, wurde von der chinesi-
5	3	0	german_prose_with_translit			none	1	3	0	0	schen Besatzungsarmee beschossen. Daher floh er, wie etwa achtzigtausend Tibeter
5	4	0	german_prose			none	0	10	0	0	zu der Zeit auch, nach Indien. Ein knappes Jahr später, im Dezember 1960, kam
5	5	0	german_prose_with_translit			none	1	6	0	0	er, gefördert von der Rockefeller-Foundation, zusammen mit Tshenshab Rinpoche
5	6	0	german_prose_with_translit			none	1	9	0	0	nach München. Dies ging auf Helmut Hoffmann zurück, einen der Initiatoren des
5	7	0	german_prose_with_translit			none	1	6	0	0	Wörterbuchs der tibetischen Schriftsprache. Er hatte es erreicht, daß beide Gelehrte um-
5	8	0	german_prose			none	0	8	0	0	gehend in der damaligen Kommission für Zentralasiatische Studien der Bayerischen
5	9	0	german_prose			none	0	4	0	0	Akademie der Wissenschaften beschäftigt werden konnten.
5	10	0	german_prose_with_translit			none	1	5	0	0	Doch es sollten noch einige Jahre vergehen, bis Jampa Panglung sein Studium an
5	11	0	german_prose_with_translit			none	2	6	0	0	der LMU aufnehmen konnte. Erst nach langen und zähen Verhandlungen mit der
5	12	0	german_prose_with_translit			none	1	8	0	0	I.MU konnte er dort im Jahre 1967 das Studium der Indologie, Tibewlogie, Mongoli-
5	13	0	german_prose_with_translit			none	1	6	0	0	stik und Völkerkunde antreten. Er legte 1972 die Magisterprüfung ab. Damit erfüllte
5	14	0	german_prose_with_translit			none	2	8	0	0	er die Bedingung des Kultusministeriums für eine Anstellung an der Bayerischen
5	15	0	german_prose			none	0	3	0	0	Akademie der Wissenschaften.
5	16	0	german_prose_with_translit			none	1	6	0	0	Zusammen mit seiner damaligen Kollegin Dr. Helga Vebach organisierte er bereits
