change_type	volume	page	line	token_index	tibetan_syllable	source_latin_token	old_target	new_target	old_category	new_category	compatible_anchor_count	context_excerpt
target_changed	wts_1_34	1001	169	2	རྨང	rlun	rluṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ཐལ་རྨང་ thal rlun Sandsturm.
category_changed	wts_1_34	1001	28	2	བྱང	byun	byuṅ	byuṅ	source_compatible_structure_mismatch	source_compatible_not_final_ng_only	1	ཐལ་བྱང་འགྲོ་ thal byun 'gro.
target_changed	wts_1_34	1001	9	2	ཀྱང	byun	byuṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ཐལ་ཀྱང་ thal byun geradewegs; ༡ du ’gro glatt
target_changed	wts_1_34	1004	15	1	ཐང	thin	thiṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ཐང་ཤང་ thin sin ein blauer Farbstoff.
category_changed	wts_1_34	1004	15	2	ཤང	sin	siṅ	siṅ	source_compatible_structure_mismatch	source_compatible_not_final_ng_only	1	ཐང་ཤང་ thin sin ein blauer Farbstoff.
target_changed	wts_1_34	1004	7	1	བིང	thin	thiṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	བིང་ ཡུག་ thin yug eine hohe Zahl.
category_changed	wts_1_34	1014	15	2	འབྱང	byun	byuṅ	byuṅ	source_compatible_structure_mismatch	source_compatible_not_final_ng_only	1	"ཐུགས་འབྱང་ thugs ""byun pf. Tthugs byun"
target_changed	wts_1_34	1015	194	4	བང	thun	thuṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	Dämonen besessen sein. བང་ thun alttib. auch thune kurz, klein sein; ༡
target_changed	wts_1_34	1017	200	2	མོང	thun	thuṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	"ཐུན་མོང་ EN"" thun mon chos."
category_changed	wts_1_34	1018	20	4	རུང	run	ruṅ	ruṅ	source_compatible_insufficient_evidence	source_compatible_single_anchor	1	ཐུན་ཚོད་དུ་རུང་བ་ thun tshod du run ba „eine
target_changed	wts_1_34	1028	18	3	རྐང	bran	braṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	བའུ་བང་རྐང་གཅུག་ lhe u bran rkan geig ein für
target_changed	wts_1_34	1033	42	2	དུང	drun	druṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ཐོག་དུང་ thog drun hoch und niedrig; Höhe.
target_changed	wts_1_34	1036	167	1	ང	thon	thoṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ང་ཐང་ thon thon
target_changed	wts_1_34	1036	167	2	ཐང	thon	thoṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ང་ཐང་ thon thon
target_changed	wts_1_34	1036	214	2	བོང	thon	thoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ཐོང་བོང་ thon thon Lebensalter; jugendlich.
target_changed	wts_1_34	1036	55	1	ཐང	Ithon	Ithoṅ		source_compatible_marker_attached	source_compatible_marker_attached	0	ཐང་ Ithon
target_changed	wts_1_34	1037	19	1	བོང	thon	thoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	བོང་མི་ཁྲ་ thon mi ba.
target_changed	wts_1_34	104	89	2	ཀྱོང	kyon	kyoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ཀྱང་ཀྱོང་ kyaṅ kyon uneben, wellig.
target_changed	wts_1_34	1049	106	1	མཐང	mthan	mthaṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	མཐང་སྦྱར་བ་ mthan sbyar ba
target_changed	wts_1_34	1049	108	1	མཐང	mthan	mthaṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	མཐང་སྦྱར་བ་ mthan sbyar ba auch 'than sbyar
target_changed	wts_1_34	1049	50	1	མཐང	mthan	mthaṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	མཐང་སྤྲད་པ་ mthan sprad pa
target_changed	wts_1_34	1049	71	1	མཐང	mthan	mthaṅ		source_compatible_damaged_context	source_compatible_damaged_context	0	མཐང་གོས་ mthan 905 Rock, Unterteil des
target_changed	wts_1_34	1049	98	1	མཐང	mthan	mthaṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	མཐང་སྤྲད་པ་ mthan sprad pa Bez. für Ge-
target_changed	wts_1_34	1056	106	1	མཐང	mthin	mthiṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	མཐང་ཤཱུན་ mthin Sun ein blaues Leder oder ein
target_changed	wts_1_34	1061	59	2	མང	mon	moṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	མཐུན་མང་ mthun mon །[//)//?2 mon.
target_changed	wts_1_34	1066	86	1	མོང	mthon	mthoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	མོང་རྒ་ཆེ་ mthon rgya che weitsichtig, erfah-
category_changed	wts_1_34	1067	12	1	མཐང	mthon	mthoṅ	mthoṅ	source_compatible_structure_mismatch	source_compatible_not_final_ng_only	1	མཐང་ཁབའ་ས། mthon ba’i sa „Stufe des Sehens
target_changed	wts_1_34	107	159	1	ཀྱོང	kyon	kyoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ཀྱོང་ kyon
target_changed	wts_1_34	1070	36	2	སྙིང	shin	shiṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	འཐབ་སྙིང་ 'thab shin geübt.
target_changed	wts_1_34	1071	114	1	འབྲིང	thin	thiṅ		source_compatible_structure_mismatch	source_compatible_damaged_context	0	"འབྲིང་རིལ།་ ""thin 77 Imthin ril."
target_changed	wts_1_34	1074	31	1	འབྲེང	then	theṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	འབྲེང་མ་ ’then ma lahm.
target_changed	wts_1_34	1076	34	3	འཐུང	den	deṅ		source_compatible_structure_mismatch	source_compatible_damaged_context	0	འཐོར་འཐུང་ ¡007 ’thun [den Mund] ausspülen.
target_changed	wts_1_34	108	1	1	ཀྱོང	kyon	kyoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ཀྱོང་ཀྱོང་ kyon kyon
target_changed	wts_1_34	108	1	2	ཀྱོང	kyon	kyoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ཀྱོང་ཀྱོང་ kyon kyon
target_changed	wts_1_34	108	17	1	ཀྱོང	kyon	kyoṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ཀྱོང་བུ་ kyon bu ein Gerät, vgl. Ikyon mo.
disappeared	wts_1_34	109	100	1	ཀྲོང	kron	kroṅ		source_compatible_insufficient_evidence			ཀྲོང་ངེ་ kron ne auch kran ne aufgerichtet, auf-
target_changed	wts_1_34	109	16	2	ཀླང	krun	kruṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ཀྲུང་ཀླང་ kruṅ krun \khrun khrun.
disappeared	wts_1_34	109	55	1	ཀྲོང	kron	kroṅ		source_compatible_insufficient_evidence			ཀྲོང་ངེ་ kron ne
disappeared	wts_1_34	109	88	1	ཀྲོང	kron	kroṅ		source_compatible_insufficient_evidence			ཀྲོང་ཀྲོང་ kron kron.
disappeared	wts_1_34	109	88	2	ཀྲོང	kron	kroṅ		source_compatible_insufficient_evidence			ཀྲོང་ཀྲོང་ kron kron.
target_changed	wts_1_34	1090	74	4	བཟུང	von	voṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ད་གཟོད་ནས་བཟུང་ dagzod nas bzuṅ von nun an.
target_changed	wts_1_34	1090	89	2	ཡང	nun	nuṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ད་ཡང་ dayan nun; auch jetzt, auch jetzt noch;
target_changed	wts_1_34	1091	18	2	རུང	noch	nocṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	ད་རུང་ darun noch, dann, weiterhin, noch im-
target_changed	wts_1_34	1099	92	4	གླེང	khan	khaṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	'བྲེད་ཁྲས་ཁང་གླེང་ dag byed khrus khan glin
category_changed	wts_1_34	1100	1	2	འཚང	tshan	tshaṅ	tshaṅ	source_compatible_insufficient_evidence	source_compatible_single_anchor	1	དག་འཚང་བྱས་ dag ’tshan byas
category_changed	wts_1_34	1100	3	2	འཚང	tshan	tshaṅ	tshaṅ	source_compatible_insufficient_evidence	source_compatible_single_anchor	1	དག་འཚང་བྱས་ dag ’tshan byas pf. bereinigen.
target_changed	wts_1_34	1106	9	1	དང	dangon	dangoṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	དང་གོང་ dangon in thugs kyi — Brust.
target_changed	wts_1_34	1106	9	2	གོང	in	iṅ		source_compatible_structure_mismatch	source_compatible_no_anchor	0	དང་གོང་ dangon in thugs kyi — Brust.
target_changed	wts_1_34	1109	35	1	ང	dan	daṅ		source_compatible_insufficient_evidence	source_compatible_no_anchor	0	ང་པོའི་རྫལ་རྨན་ dan po’ rdul can Bez. für
disappeared	wts_1_34	111	3	2	གཞུང	gzun	gzuṅ		source_compatible_insufficient_evidence			ཀླད་གཞུང་ klad gzun Rückenmark.
disappeared	wts_1_34	1117	21	3	ཞང	Zan	Zaṅ		source_compatible_insufficient_evidence			དན་འབག་ཞང་པོ་ dan ’bag Zan po npr. eine in
category_changed	wts_1_34	113	33	2	གདང	gdon	gdoṅ	gdoṅ	source_compatible_structure_mismatch	source_compatible_not_final_ng_only	2	ཀླུ་གདང་མ་ལྔ་ klu gdon ma lṅa N. von fünf
