reason	base_token	alternate_token	count	volume_count	sample_refs	sample_contexts
alternate_witness_google_loc_nasal_upgrade	dan	daṅ	211	1	wts_35_51:1:60; wts_35_51:2:51; wts_35_51:7:47; wts_35_51:11:14; wts_35_51:11:81	"bcom ldan ""das kyis ... mdzes pa nid dan / ~' || dur 09 chu — rdol ba dan (metr.) ""unter- || nicht"" (Bca 5.92b); srin gyi kba — Ita bu dan"
alternate_witness_initial_i_to_l_translit	Ita	lta	93	1	wts_35_51:1:12; wts_35_51:2:72; wts_35_51:7:5; wts_35_51:10:6; wts_35_51:11:32	"dus = dpyid ka'i dus Ita bu'am mig la'ani yid || Lex. chu tsha po'am dron 'jam Ita bu ""wie: || (Dagy); skas kyi — ban rim Ita bu (brDa);"
alternate_witness_initial_i_to_l_translit	Iha	lha	45	1	wts_35_51:9:40; wts_35_51:19:18; wts_35_51:20:88; wts_35_51:23:28; wts_35_51:24:62	"po yan Iha sar zla geig Ihag tsam — par || (Padm 28922); Iha srin — rnams dam la dogs || Lex. Iha gdugs dkar mo la'an ""auch für die"
alternate_witness_google_loc_nasal_upgrade	bzan	bzaṅ	25	1	wts_35_51:2:26; wts_35_51:19:71; wts_35_51:22:65; wts_35_51:47:37; wts_35_51:50:3	Lex. 72 ti sukmel ka ko la / — bzan po gsum || bzan ba ... mgo — Ita bu dan Idan pa äg || bzan shin gi — ba sel byed pa'i / vtogs brjod
alternate_witness_google_loc_nasal_upgrade	dban	dbaṅ	24	1	wts_35_51:10:39; wts_35_51:11:34; wts_35_51:51:54; wts_35_51:63:47; wts_35_51:63:77	"zuladen"" (Mil 27,24); rag dban chos kyi rgyal || po gtsah pa dban phyug grag —r bskos || mo ran gi dban ris ~ sa yul tshans ma rje ñid"
alternate_witness_google_loc_nasal_upgrade	nid	ñid	18	1	wts_35_51:1:60; wts_35_51:10:72; wts_35_51:47:33; wts_35_51:50:50; wts_35_51:51:30	"bcom ldan ""das kyis ... mdzes pa nid dan / ~' || war"" (Dol3 32,3); chos rje nid byañ sems legs || nid kyis ni ~ gro bar 'gyur (metr.) ""ich will"
alternate_witness_google_loc_velar_nasal_upgrade	dañ	daṅ	16	1	wts_35_51:11:54; wts_35_51:60:10; wts_35_51:73:81; wts_35_51:77:61; wts_35_51:84:44	"~r spun ba sogs spar kha'i skyon kun dañ || hin"" (Udr 6,36); ~ dan / phye ma dañ / || 'khor lo rin po che dañ ... dnag dpon rin po che"
alternate_witness_google_loc_nasal_upgrade	kyan	kyaṅ	15	1	wts_35_51:2:32; wts_35_51:78:26; wts_35_51:90:63; wts_35_51:97:61; wts_35_51:126:50	"chen po dag kyan gsol bar mdzad ""er nahm || nan nas kyan / nam Zar bde Zin skyid par || tä"" (Räg 69,8); — par skad cig kyan grub pa"
alternate_witness_citation_siglum	Lis	Liś	14	1	wts_35_51:1:31; wts_35_51:17:6; wts_35_51:68:11; wts_35_51:98:87; wts_35_51:107:5	"(Dagy); — pi pi lin du don dan (Lis 37,13); || gebeten oder bitten"" (Lis 19,14). || (Lis 26,8); gi lin — zrta mchog brun ""Ex-"
alternate_witness_google_loc_nasal_upgrade	ran	raṅ	14	1	wts_35_51:16:14; wts_35_51:46:50; wts_35_51:47:37; wts_35_51:73:35; wts_35_51:74:65	"38b6); thos pa dga' la ma grun mo ran cig || Lex. bdag ran bzin gyis ug pa ""selbst mit || ni ran bZin skal ba bzan po — ""char ba thob"
alternate_witness_google_loc_nasal_upgrade	ston	stoṅ	14	1	wts_35_51:19:81; wts_35_51:55:5; wts_35_51:67:59; wts_35_51:71:39; wts_35_51:80:37	"ston po de da ... phul ba dan ""dann über- || Lex. ston pa Aid dan chos kyi — dan gan || 2a2); bum pa ston phrag beu sñed dri bzay,"
alternate_witness_google_loc_fricative_upgrade	gsegs	gśegs	13	1	wts_35_51:50:75; wts_35_51:52:64; wts_35_51:85:52; wts_35_51:85:52; wts_35_51:85:52	gal te de bäin gsegs pas sems can gan la la 7/9 || 163, Abt. de bzin gsegs pa'i tgs rje chen po || bar gsegs, bde gsegs, bder gsegs
