volume	page	line	token_index	tibetan_syllable	current_dotted_token	provenance_class	source_token_or_tokens	correction_reason	correction_evidence	context_excerpt
wts_35_51	1	50	2	འོང	oṅ	base_provenance_unverified	oṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	ད་འོང་ drod 'oṅ auch drod 'oṅs, drod 'oṅs dus
wts_35_51	6	45	1	གདང	gdaṅ	base_provenance_unverified	gdaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདང་བུ་ gdaṅ bu
wts_35_51	6	52	1	གདང	gdaṅ	base_provenance_unverified	gdaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདང་ 'gdaṅ pf. Igdans aufreißen, öffnen, aus-
wts_35_51	6	65	1	གདང	gdaṅ	unknown	gdañ	ambiguous_change_or_token_position		གདང་ཁ་ gdaṅ kha îgdaṅ ga.
wts_35_51	6	66	1	གདང	ggdaṅ	base_provenance_unverified	ggdaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདང་ག་ ggdaṅ ga khba Leitersprosse,
wts_35_51	6	80	1	གདང	gdaṅ	base_provenance_unverified	gdaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	"གདང་བུ་ gdaṅ bu auch rdan bu ""Treppenstufe,"
wts_35_51	7	1	1	གདང	gdaṅ	base_provenance_unverified	gdaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདང་ཡས་ gdaṅ yas
wts_35_51	7	7	1	གདང	gdaṅ	base_provenance_unverified	gdaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདང་ཡས་ gdaṅ yas Tgtad yas.
wts_35_51	7	8	1	གདང	ggdaṅ	base_provenance_unverified	ggdaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདང་རྭ་ ggdaṅ Gehege.
wts_35_51	7	11	1	གདངས	gdaṅs	base_provenance_unverified	gdaṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདངས་ 'gdaṅs Klang, Ton, Intonation; Melo-
wts_35_51	7	38	1	གདངས	gdaṅs	google_adopted	gdans	alternate_witness_google_loc_nasal_upgrade	alternate_witness_adoption	"གདངས་ ""gdaṅs pf. zu 1'gdan aufreißen, 6[[-"
wts_35_51	7	43	1	གདངས	gdaṅs	base_provenance_unverified	gdaṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདངས་སྙན་ gdaṅs sñan
wts_35_51	7	76	1	དངས	gdaṅs	base_provenance_unverified	gdaṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	དངས་སྙན་ gdaṅs sfian.
wts_35_51	9	41	2	དྲངས	draṅs	base_provenance_unverified	draṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདན་དྲངས་ gdan draṅs
wts_35_51	10	1	2	དྲོངས	droṅs	base_provenance_unverified	droṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདན་དྲོངས་ gdan droṅs
wts_35_51	10	11	2	དྲོངས	droṅs	base_provenance_unverified	droṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདན་དྲོངས་ gdan droṅs imp. zu Igdan 'dren
wts_35_51	17	7	1	གདིང	gdiṅ	base_provenance_unverified	gdiṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདིང་ gdiṅ fut. zu l'dir ausbreiten.
wts_35_51	17	18	1	གདིང	gdiṅ	base_provenance_unverified	gdiṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདིང་བ་ gdiṅ ba.
wts_35_51	17	35	1	གདིང	gdiṅ	base_provenance_unverified	gdiṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདིང་བ་ལས་གྱར་པ་ gdiṅ ba las gyur pa ein Ver-
wts_35_51	19	35	5	སྲིང	sriṅ	base_provenance_unverified	sriṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུག་པ་ཅན་གྱི་སྲིང་མོ་ gdug pa can gyi sriṅ mo
wts_35_51	21	2	2	ཁང	khaṅ	base_provenance_unverified	khaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུགས་ཁང་ gdugs khaṅ Tdugs khani
wts_35_51	21	42	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ 'gduṅ
wts_35_51	22	1	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ 'gduṅ
wts_35_51	22	48	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ 'gduṅ
wts_35_51	24	18	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་སྐྱོབ་ gduṅ skyob Sonnenschirm.
wts_35_51	24	20	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ཁང་ gduṅ khaṅ Reliquienbehälter, Tem-
wts_35_51	24	20	2	ཁང	khaṅ	base_provenance_unverified	khaṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ཁང་ gduṅ khaṅ Reliquienbehälter, Tem-
wts_35_51	24	32	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ཁེབས་ gduṅ khebs Abdeckbalken [über
wts_35_51	24	39	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་རྒྱལ་བཙན་པོ་ gduṅ rgyal btsan po npr. ein
wts_35_51	24	42	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་བརྒྱུད་ gduṅ brgyud
wts_35_51	24	44	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་སྒྲོམ་ gduṅ sgrom Sarg.
wts_35_51	24	46	1	གདུང	gduṅ	unknown	gdun	ambiguous_change_or_token_position		གདུང་བརྒྱུད་ gduṅ breynd auch gduṅ rgynd.
wts_35_51	25	1	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ཆོག་ gduṅ chog
wts_35_51	25	6	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ཆག་ gduṅ chog eine Totenzeremonie
wts_35_51	25	8	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ཏལ་མ་ gduṅ talma Raum ohne Pfeiler.
wts_35_51	25	13	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་རྟེན gduṅ rten i Reliquienbehälter, Reli-
wts_35_51	25	34	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ལྡན་ gduṅ ldan Dynastie.
wts_35_51	25	37	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་བའི་འོད་འབྱིན་ gduṅ ba'i 'od 'byin Bez. für
wts_35_51	25	40	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་འཛིན་ gduṅ dam
wts_35_51	26	1	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་རབས་ gduṅ rabs
wts_35_51	26	2	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་རབས་ gduṅ rabs Generation, Abfolge,
wts_35_51	26	37	1	ང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	ང་རབསྲ་དང་ gduṅ rabs rgyud Gencerations-
wts_35_51	26	46	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་སེམས་ gduṅ sems
wts_35_51	26	54	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་རུས་ gduṅ rus.
wts_35_51	26	79	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་ཤུགས་ gduṅ sugs heftige Liebe.
wts_35_51	26	83	1	གདུང	gduṅ	base_provenance_unverified	gduṅ	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུང་སེམས་ gduṅ sems Liebe; — can leiden-
wts_35_51	27	1	1	གདུངས	gduṅs	base_provenance_unverified	gduṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུངས་ gduṅs
wts_35_51	27	8	1	གདུངས	gduṅs	base_provenance_unverified	gduṅs	No direct authoritative base-OCR verification is recorded.	current_release_presence_only	གདུངས་ gduṅs pf. zu Igdion.
