volume	page	line	token_index	tibetan_syllable	source_latin_token	proposed_latin_target	accepted_form_count	competing_form_counts	alignment_category	evidence_type	syllable_identity_guard	consensus_basis	damage_scope	confidence	suggested_action	context_excerpt	reason_for_deferral	accepted_total
wts_35_51	499	11	2	དགུང	dgun	dguṅ	1		insufficient_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	single_accepted_attestation	none	low	defer	གནམ་དགུང་ gnam dgun.	Only one accepted aligned target attestation is available.	1
wts_35_51	1050	12	2	གཡང	g.yan	g.yaṅ	1		insufficient_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	single_accepted_attestation	none	low	defer	ཕྱུ་གཡང་ phywa g.yan auch phya g.yari Glück;	Only one accepted aligned target attestation is available.	1
wts_35_51	498	28	5	ལུང	luh	luṅ	12	laṅ:3; haṅ:2; Tuṅ:1; beṅ:1	competing_latin_forms	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	non_dominant_accepted_forms	none	low	defer	གནམ་གྱི་བྱེ་མ་ལུང་པ་ gram gyi bye ma luh pa	Accepted dotted forms do not yet establish a dominant internal consensus.	19
wts_35_51	727	35	2	ལུང	lun	luṅ	12	laṅ:3; haṅ:2; Tuṅ:1; beṅ:1	competing_latin_forms	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	non_dominant_accepted_forms	none	low	defer	དཔའ་ལུང་ dpa' lun.	Accepted dotted forms do not yet establish a dominant internal consensus.	19
wts_35_51	400	35	1	ནང	nah	naṅ	91	nnaṅ:3; vaṅ:2; veṅ:1; raṅ:1; maṅ:1	dominant_internal_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	strong_accepted_form_consensus	none	high	exact_review_candidate	ནང་འབབ་ nah bab eigener Grundherr		99
wts_35_51	403	25	1	ནང	nah	naṅ	91	nnaṅ:3; vaṅ:2; veṅ:1; raṅ:1; maṅ:1	dominant_internal_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	strong_accepted_form_consensus	none	high	exact_review_candidate	ནང་རིམ་ nah rim Rundweg in einem Gebäude.		99
wts_35_51	1111	15	1	འཕྲང	phran	phraṅ	3	phaṅ:2; plraṅ:1; siṅ:1	competing_latin_forms	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	non_dominant_accepted_forms	none	low	defer	འཕྲང་འཕྲེང་ /phran phreṅ Verlangen.	Accepted dotted forms do not yet establish a dominant internal consensus.	7
wts_35_51	1108	42	1	འཕྱོང	phyon	phyoṅ	1		insufficient_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	single_accepted_attestation	none	low	defer	"འཕྱོང་ ""phyon"	Only one accepted aligned target attestation is available.	1
wts_35_51	1108	76	1	འཕྱོང	phyon	phyoṅ	1		insufficient_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	single_accepted_attestation	none	low	defer	"འཕྱོང་ ""phyon auch 'phyons aufhängen, vgl."	Only one accepted aligned target attestation is available.	1
wts_35_51	756	63	2	སྡིང	sdih	sdiṅ	1		insufficient_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	single_accepted_attestation	none	low	defer	དཔྱད་སྡིང་བཅུ་གསུམ་ dpyad sdih ben gsum eine	Only one accepted aligned target attestation is available.	1
wts_35_51	294	65	1	སྡོང	sdon	sdoṅ	26		dominant_internal_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	strong_accepted_form_consensus	none	high	exact_review_candidate	སྡོང་ 'sdon.		26
wts_35_51	444	17	4	ཤིང	Sin	siṅ	30	Siṅ:17; ciṅ:1	competing_latin_forms	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	non_dominant_accepted_forms	none	low	defer	ནས་ཀྱི་འཁྲི་ཤིང་ nas kyi 'khri Sin.	Accepted dotted forms do not yet establish a dominant internal consensus.	48
wts_35_51	881	47	3	ཤིང	sih	siṅ	30	Siṅ:17; ciṅ:1	competing_latin_forms	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	non_dominant_accepted_forms	none	low	defer	ཕག་གི་ཤིང་རྟ་ phag gi sih rta	Accepted dotted forms do not yet establish a dominant internal consensus.	48
wts_35_51	767	1	1	སྤང	span	spaṅ	25	sbaṅ:5; spyaṅ:2; smaṅ:1	dominant_internal_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	strong_accepted_form_consensus	none	high	exact_review_candidate	"སྤང་ ""span"		33
wts_35_51	767	48	1	སྤང	span	spaṅ	25	sbaṅ:5; spyaṅ:2; smaṅ:1	dominant_internal_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	strong_accepted_form_consensus	none	high	exact_review_candidate	"སྤང་ ""span"		33
wts_35_51	283	21	2	ཡང	yah	yaṅ	29		dominant_internal_consensus	positionally_aligned_corpus_consensus	exact_same_tibetan_syllable	strong_accepted_form_consensus	none	high	exact_review_candidate	སྡུམ་ཡང་ sdum yah eine Amtsbezeichnung in		29
