volume	page	line	token_index	tibetan_syllable	current_latin_token	integrity_status	integrity_pass	known_feature_violation	feature_coverage	transcription_gateway_status	transcription_exception_status	transcription_exception_scope	alignment_confidence	headword_transliteration_span_status	headword_domain_status	headword_domain_evidence	token_start	token_end	preceding_character	following_character	token_boundary_status	expected_high_confidence_features	observed_features	violated_rules	canonical_full_target	canonical_target_evidence	domain_context	damage_scope	marker_attached	context_excerpt
wts_35_51	1	1	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་ཕེབས་ drod phebs
wts_35_51	1	1	2	ཕེབས	phebs	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	16	21	 		token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་ཕེབས་ drod phebs
wts_35_51	1	7	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	11	15	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་ཕེབས་ drod phebs auch drod phab dus, drod
wts_35_51	1	7	2	ཕེབས	phebs	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	16	21	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་ཕེབས་ drod phebs auch drod phab dus, drod
wts_35_51	1	15	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	14	18	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་བག་དྲོན་ drod bag dron warm.
wts_35_51	1	15	2	བག	bag	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	19	22	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་བག་དྲོན་ drod bag dron warm.
wts_35_51	1	15	3	དྲོན	dron	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	23	27	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་བག་དྲོན་ drod bag dron warm.
wts_35_51	1	17	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	9	13	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་བུ་ drod bu ein Gefäß.
wts_35_51	1	17	2	བུ	bu	insufficient_feature_coverage	no	no	none	unresolved			probable_alignment	missing_transliteration	ordinary_tibetan_lexical_or_compound	line_zone:tibetan_only	14	16	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་བུ་ drod bu ein Gefäß.
wts_35_51	1	19	1	དྲོད	drod	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	16	20	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་འབེབས་དུས་ drod 'bebs dus tdrod phebs.
wts_35_51	1	19	2	འབེབས	'bebs	insufficient_feature_coverage	no	no	none	unresolved			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	21	26	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་འབེབས་དུས་ drod 'bebs dus tdrod phebs.
wts_35_51	1	19	3	དུས	dus	insufficient_feature_coverage	yes	no	sufficient	pass			secure_positional_alignment	secure_complete_span	ordinary_tibetan_lexical_or_compound	line_zone:headword_line	27	30	 	 	token_boundary_secure						ordinary_tibetan_lexical_or_compound	none	no	དྲོད་འབེབས་དུས་ drod 'bebs dus tdrod phebs.
