tibetan_syllable	source_variant	source_signature	proposed_target	candidate_count	old_categories	new_categories	compatible_accepted_target_count	compatible_competing_forms	incompatible_dotted_forms_excluded	damage_count	volumes
ཤིང	sin	si<FINAL_NASAL>	siṅ	36	competing_latin_forms:36	source_compatible_dominant_consensus:36	30		Siṅ:17; ciṅ:1	0	wts_1_34;wts_8_b
ཤིང	sih	si<FINAL_NASAL>	siṅ	2	competing_latin_forms:2	source_compatible_dominant_consensus:2	30		Siṅ:17; ciṅ:1	0	wts_35_51;wts_8_b
ཤིང	Sin	Si<FINAL_NASAL>	Siṅ	20	competing_latin_forms:20	source_compatible_dominant_consensus:20	17		siṅ:30; ciṅ:1	0	wts_1_34;wts_35_51
ལུང	lun	lu<FINAL_NASAL>	luṅ	14	competing_latin_forms:14	source_compatible_dominant_consensus:14	12		laṅ:3; haṅ:2; Tuṅ:1; beṅ:1	0	wts_1_34;wts_35_51
ལུང	luh	lu<FINAL_NASAL>	luṅ	1	competing_latin_forms:1	source_compatible_dominant_consensus:1	12		laṅ:3; haṅ:2; Tuṅ:1; beṅ:1	0	wts_35_51
ཀློང	klon	klo<FINAL_NASAL>	kloṅ	20	competing_latin_forms:19; damaged_context:1	source_compatible_dominant_consensus:19; source_compatible_damaged_context:1	3		groṅ:2	1	wts_1_34
སྙིང	sin	si<FINAL_NASAL>	siṅ	13	competing_latin_forms:13	source_compatible_structure_mismatch:13	3		sāiṅ:1; sñiṅ:1; stiṅ:1	0	wts_1_34
སང	san	sa<FINAL_NASAL>	saṅ	6	competing_latin_forms:6	source_compatible_dominant_consensus:6	3		siṅ:1; sdaṅ:1	0	wts_1_34
འཕྲང	phran	phra<FINAL_NASAL>	phraṅ	1	competing_latin_forms:1	source_compatible_marker_attached:1	3		phaṅ:2; plraṅ:1; siṅ:1	0	wts_35_51
མེང	min	mi<FINAL_NASAL>	miṅ	1	competing_latin_forms:1	source_compatible_structure_mismatch:1	2		maṅ:1	0	wts_1_34
རྱོང	myon	myo<FINAL_NASAL>	myoṅ	1	competing_latin_forms:1	source_compatible_structure_mismatch:1	2		mmyoṅ:1	0	wts_1_34
ཁོང	khon	kho<FINAL_NASAL>	khoṅ	28	competing_latin_forms:27; damaged_context:1	source_compatible_insufficient_evidence:27; source_compatible_damaged_context:1	1		kboṅ:1	1	wts_1_34
ཏིང	tin	ti<FINAL_NASAL>	tiṅ	16	competing_latin_forms:16	source_compatible_insufficient_evidence:16	1		dziṅ:1	0	wts_1_34;wts_8_b
སློང	slon	slo<FINAL_NASAL>	sloṅ	15	competing_latin_forms:15	source_compatible_insufficient_evidence:15	1		slonṅ:1	0	wts_1_34
གླེང	glen	gle<FINAL_NASAL>	gleṅ	12	competing_latin_forms:11; damaged_context:1	source_compatible_insufficient_evidence:11; source_compatible_damaged_context:1	1		gliṅ:1	1	wts_1_34
འཆེང	chin	chi<FINAL_NASAL>	chiṅ	7	insufficient_consensus:7	source_compatible_structure_mismatch:7	1			0	wts_1_34
ཞེང	Zen	Ze<FINAL_NASAL>	Zeṅ	4	competing_latin_forms:4	source_compatible_insufficient_evidence:4	1		zeṅ:1; Ziṅ:1; ziṅ:1	0	wts_1_34
འཚང	tshan	tsha<FINAL_NASAL>	tshaṅ	2	competing_latin_forms:2	source_compatible_insufficient_evidence:2	1		shaṅ:1	0	wts_1_34
ཤང	San	Sa<FINAL_NASAL>	Saṅ	2	competing_latin_forms:2	source_compatible_insufficient_evidence:2	1		siṅ:1	0	wts_1_34
སྲང	srun	sru<FINAL_NASAL>	sruṅ	2	competing_latin_forms:2	source_compatible_insufficient_evidence:2	1		ssdaṅ:1; seruṅ:1; sriṅ:1	0	wts_1_34
ནིང	nin	ni<FINAL_NASAL>	niṅ	1	competing_latin_forms:1	source_compatible_insufficient_evidence:1	1		miṅ:1	0	wts_1_34
ཁོང	Khon	Kho<FINAL_NASAL>	khoṅ	1	competing_latin_forms:1	source_compatible_insufficient_evidence:1	0		khoṅ:1; kboṅ:1	0	wts_1_34
ལྗང	Dan	Da<FINAL_NASAL>	daṅ	1	competing_latin_forms:1	source_compatible_insufficient_evidence:1	0		daṅ:1; ldaṅ:1; laṅ:1	0	wts_1_34
