source_queue	volume	page	line	token_index	source_token	proposed_target	reference_marker_source	reference_marker_target	base_source_token	base_proposed_target	tibetan_witness	candidate_family	review_category	context_excerpt	evidence	confidence	suggested_action	score	score_explanation
corrected_text_scan	wts_35_51	34	42	2	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	direct_unique_alignment	གདོང་ཆུང་ gdoṅ chun.	tibetan_script_witness	high	exact_promotion_candidate	98	One Tibetan final-ང witness aligns with one Latin candidate in the corresponding headword or transliteration phrase.
corrected_text_scan	wts_35_51	226	35	1	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	direct_unique_alignment	རྡུལ་ཆུང་ངུ་ chun ru eiṅ sehr kleines Län-	tibetan_script_witness	high	exact_promotion_candidate	98	One Tibetan final-ང witness aligns with one Latin candidate in the corresponding headword or transliteration phrase.
corrected_text_scan	wts_35_51	360	43	7	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ན་ཁ་ཆུང་ na kha chuṅ auch na ga chun, na gu	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_35_51	361	1	3	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	direct_unique_alignment	ན་གརཆུང་ na ga chun	tibetan_script_witness	high	exact_promotion_candidate	98	One Tibetan final-ང witness aligns with one Latin candidate in the corresponding headword or transliteration phrase.
corrected_text_scan	wts_35_51	361	8	2	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ན་ག་ཆུང་ raga chun lṅa kha chun.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_35_51	361	8	5	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ན་ག་ཆུང་ raga chun lṅa kha chun.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_35_51	361	53	6	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ན་གུ་ཆུང་ na gu chuṅ lṅa kha chun.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_35_51	465	41	7	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	ནེ་ཆུང་ ne chuṅ npr. auch gSen-za ne'u chun-	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_35_51	547	8	4	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	repeated_same_lemma_alignment	མནོག་ཆུང་ mnog chuṅ Tninag chun.	tibetan_script_witness	manual	manual_alignment_review	70	One Tibetan witness co-occurs with repeated Latin candidates; each repetition must be aligned independently.
corrected_text_scan	wts_35_51	633	2	1	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	same_line_unaligned	སྣང་ཆུང་ chun.	tibetan_script_witness	low	defer_unless_entry_alignment_confirmed	35	Tibetan and Latin forms share a line, but direct headword or phrase alignment is not established.
corrected_text_scan	wts_35_51	740	13	5	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	direct_unique_alignment	དཔུང་ཆུང་ dpuṅ chuh Idpun bu chun.	tibetan_script_witness	high	exact_promotion_candidate	98	One Tibetan final-ང witness aligns with one Latin candidate in the corresponding headword or transliteration phrase.
corrected_text_scan	wts_35_51	1120	51	2	chun	chuṅ			chun	chuṅ	ཆུང	tibetan_script_ng_witness	same_line_unaligned	འཕྲུལ་བུ་ཆུང་ bu chun npr. Neffe des	tibetan_script_witness	low	defer_unless_entry_alignment_confirmed	35	Tibetan and Latin forms share a line, but direct headword or phrase alignment is not established.
