page	line	entry_id	zone	from_token	to_token	tier	reason	watchdog_flags	line_excerpt
6	80	0	german_prose	1111	im	A	german_numeric_function_word_confusion	high_edit_distance_drift	tibetischer Texte bekannt geworden. Diese Texte wurden in rascher Folge 1111 Exil
7	35	0	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Unsicherheit. Man entschied sich jedoch schließlich dafür, diese Texte 111 Auswahl auf-
7	74	0	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	waren 111 den Fällen besonders willkommen, in denen in der Wörtersammlung keine,
8	45	0	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Da 111 den Wörterbüchern in einigen Fällen Uneinheitlichkeit in der alphabetischen
9	51	0	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	111. Belege in lexikographischen Werken
10	15	0	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	111). Es können auch syntaktische Gesichtspunkte für eine Untergliederung maß-
10	22	0	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	folgt die Angabe der Bedeutung in der Herkunftssprache; gegebenenfalls folgen 111
10	76	0	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	111. Belege in lexikographischen Werken
12	25	3	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	unterschieden. Die genauen bibliographischen Angaben hierzu sind unten auf pp. xli- ] 111 aufge-
23	86	4	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Etudes, Sciences philologiques et historiques, Fasc. 111).
35	36	37	german_prose_with_translit	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	einem Register, 111 der Reihenfolge der alpha-
38	116	112	german_prose	111	in	A	german_numeric_function_word_confusion	high_edit_distance_drift	Ort namens Ka-drod 111 der Nähe [des Klos-
