page	line	entry_id	zone	token	issue	suggestion	line_excerpt
3	14	0	german_prose_with_translit	alterungsbeständigem	invalid_translit_shape	alterungsbeständigem	Gedruckt auf säurefreiem und alterungsbeständigem Papier
3	14	0	german_prose_with_translit	alterungsbeständigem	german_umlaut_in_translit_context	alterungsbeständigem	Gedruckt auf säurefreiem und alterungsbeständigem Papier
3	37	0	german_prose_with_translit	Abkürzungsverzeichnisse	invalid_translit_shape	Abkürzungsverzeichnisse	Literatur- und Abkürzungsverzeichnisse. . . . , › - - - - nn 2111
3	37	0	german_prose_with_translit	Abkürzungsverzeichnisse	german_umlaut_in_translit_context	Abkürzungsverzeichnisse	Literatur- und Abkürzungsverzeichnisse. . . . , › - - - - nn 2111
3	38	0	german_prose_with_translit	Abkürzungen	invalid_translit_shape	Abkürzungen	Abkürzungen für Quellentexte und zitierte Werke... . . . . - . - . 5111
3	38	0	german_prose_with_translit	Abkürzungen	german_umlaut_in_translit_context	Abkürzungen	Abkürzungen für Quellentexte und zitierte Werke... . . . . - . - . 5111
3	40	0	german_prose_with_translit	Abkürzungen	invalid_translit_shape	Abkürzungen	Allgemeine Abkürzungen ......... nn , › › _ 11¥
3	40	0	german_prose_with_translit	Abkürzungen	german_umlaut_in_translit_context	Abkürzungen	Allgemeine Abkürzungen ......... nn , › › _ 11¥
4	19	0	german_prose_with_translit	Übersetzung	invalid_translit_shape	Übersetzung	Bei der Übersetzung der philosophischen Fachterminologie haben in dankenswerter
4	19	0	german_prose_with_translit	Übersetzung	german_umlaut_in_translit_context	Übersetzung	Bei der Übersetzung der philosophischen Fachterminologie haben in dankenswerter
5	5	0	german_prose_with_translit	Gründung	invalid_translit_shape	Gründung	Mit der Gründung der Kommission für zentralasiatische Studien der Bayerischen
5	5	0	german_prose_with_translit	Gründung	german_umlaut_in_translit_context	Gründung	Mit der Gründung der Kommission für zentralasiatische Studien der Bayerischen
5	9	0	german_prose_with_translit	Förderung	invalid_translit_shape	Förderung	"die Förderung der philologischen Erforschung Zentralasiens zum Ziel gesetzt. ""Trotz"
5	9	0	german_prose_with_translit	Förderung	german_umlaut_in_translit_context	Förderung	"die Förderung der philologischen Erforschung Zentralasiens zum Ziel gesetzt. ""Trotz"
