source_token	suggested_token	source_count	suggested_count	edit_distance	confidence	ambiguous	example
cañ	can	1	1456	0	medium	0	ses bya ba ni lcag pod dam / rgya cañ gañ yanı
$u	su	22	811	0	medium	0	ka = kim $u ka’i zur chag ste rgya skyegs
ñur	nas	2	769	2	medium	1	drags na chun nur gtoṅ bar bya fun ñur gtoṅ
ṅuṅ	nas	2	769	2	medium	1	pa ṅuṅ ba „mit der Zeit waren die Gelehrten
dañ	dan	12	730	0	medium	0	Lex. klu’i rgyal po dga’ bo dañ nier dga’ ’jog po
thyıs	thugs	1	674	2	medium	1	གྱིས་ '©3/75 Thyıs.
ba'i	ba’i	2	600	0	medium	0	nam mkha’ la / a gas ti nid — dan bral ba'i
bhir	ba’i	2	600	2	medium	1	(Liy2 63); ko’u Sam bhir (Debm 426); ko’u $a
bkıh	ba’i	4	600	2	medium	1	Pferde krıgs se krıg“ (bKıh ca 630,4).
thañ	than	1	509	0	medium	0	ཀོ་ Au) བྲང་ཚ། ko ko than ma !ko ka thañ dmar glın.
thaṅ	than	2	509	0	medium	0	bu mo’i ched du ... thaṅ ka la ri mor bris te
$o	so	23	261	0	medium	1	von Büchern“ (Be’uD 203,1); $o ka li’am dpe
tashi	tshig	3	206	2	medium	1	rMog lcog pa Rin chen brtson ’grus 1) 'TAsHI YANGPHEL TASHIGANG 1970 [Nigu]
tashı	tshig	2	206	2	medium	1	Ye $es rgyal mtshan 1 Tashı 1011 1973 [Gansri]
tseng	tshig	2	206	2	medium	1	Tseng, Te-ming 2005: Sino-tibetische Divinationskalkulation (Nag-rtsis), dargestellt anhand des
tsnın	tshig	1	206	2	medium	1	tsnın chun.
tsrıa	tshig	1	206	2	medium	1	1. Tsrıa kho.
tstıe	tshig	1	206	2	medium	1	Bro BZAN TstıE 1111 1982: bDud rtsi siüin po yan lag breyad pa gsarı ba man nag gi rgyud.
yañ	yan	7	202	0	medium	0	g.yu rañ yañ snah ba mtha’ yas sam ... — la
ys$	yan	2	202	2	medium	1	in doppelter Menge pulverisiert“ (Ys$ 23);
mjiṅ	ma’i	2	197	2	medium	1	Lex. rı’i ga’ dan mgo’l Itag khun „Bergsattel und Genick“ (brDa); mjiṅ pa’! Itag daṅ
dgoñs	dgons	1	181	0	medium	0	86,18); lha ... mi ~~ par dgoñs par gyur na mi
kots	kyis	2	177	2	medium	1	dan ... — „die Farbe des Kots ist weiß, er ist
kısh	kyis	1	177	2	medium	1	er eine Portrait-Statue“ (Kısh 2: 255,1); dge
dbyañs	dbyans	4	141	0	medium	0	lun bstan pa’i dbyañs byed cin - byed pa dan
keng	khog	2	123	2	medium	1	(T.N.); vgl. — sa, sdon — sa. — chin. B& keng
khuñs	khuns	1	95	0	medium	0	rtsis khan las khuñs su zu ba ~ phul ’byor 1
rkoṅ	rkon	2	87	0	medium	0	(Nel 846); grau mo g.yas la rkoṅ po bu chu /
brdugs	brtags	2	81	2	medium	1	joms par g.yul / dmag gis - la brdugs par
btañ	btan	1	79	0	medium	0	(r)keyan pa’i khrus btañ ño „man macht eine
rdebs	rdzas	2	73	2	medium	1	ZAFäT thal mo Handfläche; ~ rdebs in die
mtshoi	mtsho’i	2	61	0	medium	0	rgya mtshoi glin thog ’bar du / gsas khan ’di’i
luṅı	lo’i	1	55	2	medium	1	bDud rtsi bum pa’i luṅı / Amrtakalasasiddhi. Abt. rÑiñ rgyud, ga 21624-
rtiṅ	rtin	2	52	0	medium	0	(Mvy 8412); rtiṅ skyes sam nu bo’i min
$a’i	sa’i	7	46	0	medium	0	Lex. kusanagaram (Mvy 4125); ku $a’i gron =
spriñs	sgrigs	2	40	2	medium	1	sleb mtha’ dag la spriñs pa „an alle Füh-
tshaṅs	tshans	2	36	0	medium	0	und Matte, die beiden“ (brDa); ~ nañ tshaṅs
songs	shags	2	36	2	medium	1	— 1990: Divinity secularized. An inquiry into the nature and form of the songs ascribed to the
tä’i	ta’i	1	35	0	medium	0	bu nog can, kä tä’i bu nog can
prats	phags	2	30	2	medium	0	by R. Prats. Excerpts in English translated by Namkhai Norbu and Ramon Prats. Roma: Is-
kheṅs	khens	2	28	0	medium	0	kyi stobs rgyas pa’am rdzig po’am / kheṅs
mduṅ	mdun	2	27	0	medium	0	1$0“ (Bea 5.30); g.yu ~ la breyus pa mduṅ
bskyañs	bskyans	1	22	0	medium	0	Lex. lus rgyas pa’am bskyañs pa’i ’tsho ba
bskyaṅs	bskyans	2	22	0	medium	0	srid lo - Inar bskyaṅs „er hatte 15 Jahre lang
abhaya	abhang	2	22	2	medium	0	Lex. abhaya (Ak 126.163), abhaya (Ak
mchiñ	mchin	1	20	0	medium	0	zen“ (VinUp 24,6); nor bu mchiñ bu — khyer
ch’a	cha’	2	19	0	medium	0	ཇི” ja Tee; chin. & ch’a (LAUTER 1916: 505 Nr.
khaṅı	khani	2	18	0	medium	0	Lex. khaṅı bzaṅ rin po che sogs „die Kostbarkeiten wie z. B. Palast usw.“ (Dagy).
umging	umhang	2	17	2	medium	0	güa’ nah — phyin pas „ich floh und umging
bye'u	bye’u	2	15	0	medium	0	ཁང་པའི་བྱེའུ་ khan pa’i bye'u
la’añ	la’an	1	14	0	medium	0	pa = gsol gsar pa la’añ (?) (brDa); ¬ gsarpa =
g$ams	gśegs	1	12	2	medium	1	bstar ba = rgyan gos gzab mchor g$ams pa
wings	wange	2	12	2	medium	0	Houston, Garry W. 1982: Wings of the white crane. Poems of Tshangs dbyangs rgya mtsho
