page	line	entry_id	zone	headword_tibetan	headword_latin	headword_latin_confidence	translit_token_count	german_token_count	audit_candidates	audit_replaced	line_text
1	1	0	german_prose_with_translit			none	1	3	0	0	Wörterbuch der tibetischen Schriftsprache
2	1	0	german_prose			none	0	1	0	0	Wörterbuch
2	2	0	german_prose_with_translit			none	1	2	0	0	der tibetischen Schriftsprache
2	4	0	german_prose			none	0	3	0	0	Im Auftrag der
2	5	0	german_prose			none	0	4	0	0	Kommission für zentral- und ostasiatische Studien
2	7	0	german_prose			none	0	1	0	0	der
2	9	0	german_prose			none	0	4	0	0	Bayerischen Akademie der Wissenschaften
2	11	0	german_prose			none	0	3	0	0	herausgegeben von Herbert Franke
2	13	0	latin_other			none	1	0	0	0	1. Lieferung
2	14	0	latin_other			none	2	0	0	0	ka - kun chub par byed pa
2	16	0	german_prose			none	0	4	0	0	Bearbeitet von Helga Uebach
2	18	0	german_prose			none	0	1	0	0	MÜNCHEN
2	19	0	german_prose			none	0	3	0	0	VERLAG DER BAYERISCHEN AKADEMIE DER WISSENSCHAFTEN
2	20	0	german_prose			none	0	3	0	0	IN KOMMISSION BEIM VERLAG C. H. BECK
2	21	0	other			none	0	0	0	0	2005
3	1	0	german_prose			none	0	2	0	0	Das Vorhaben
3	2	0	german_prose_with_translit			none	1	3	0	0	Wörterbuch der tibetischen Schriftsprache
3	3	0	german_prose			none	0	4	0	0	wurde im Rahmen des Akademienprogramms
3	4	0	german_prose_with_translit			none	1	3	0	0	von der Bundesrepublik Deutschland
3	6	0	german_prose			none	0	5	0	0	und dem Freistaat Bayern gefördert
3	8	0	german_prose			none	0	6	0	0	Copyright 2005 by Bayerische Akademie der Wissenschaften, München
3	9	0	german_prose			none	0	7	0	0	in Kommission beim Verlag C. H. Beck, München
3	11	0	other			none	0	0	0	0	ISBN 3 7696 0934 4
3	12	0	german_prose			none	0	5	0	0	Satz: Kommission für zentral- und ostasiatische Studien
3	14	0	german_prose_with_translit			none	1	4	0	0	Gedruckt auf säurefreiem und alterungsbeständigem Papier
3	15	0	german_prose_with_translit			none	1	6	0	0	Druck und Bindung: AZ Druck und Datentechnik, Kempten
3	17	0	other			none	0	0	0	0	INHALTSVERZEICHNIS
3	19	0	german_prose			none	0	1	0	0	Vorwort. ....... „+ - „ » - ‹ » + - » » » « +, „ „ „ - » „ „ „ - , - - -„ , vu
3	21	0	german_prose			none	0	1	0	0	Von HERBERT FRANKE
3	23	0	german_prose_with_translit			none	1	1	0	0	Einleitung. . . . . - . Como onen. ix
3	24	0	german_prose_with_translit			none	2	5	0	0	Zur Entstehung des Wörterbuchs der tibetischen Schriftsprache . . . ix
3	25	0	german_prose			none	0	2	0	0	Allgemeine Hinweise ... , . - - - - - - » - - - - - -» - » -‹ › › › - › - › RV
3	26	0	german_prose			none	0	1	0	0	Umschrift...... ren xV
3	27	0	german_prose_with_translit			none	2	2	0	0	Alphabetische Anordnung der Lemmata ...... rn xV
3	28	0	german_prose_with_translit			none	1	1	0	0	Unterschiedliche Schreibungen ........... rn xvi
3	29	0	german_prose_with_translit			none	2	3	0	0	Häufige Verschreibungen, Verlesungen und Lesarten ......... xvi
3	30	0	german_prose_with_translit			none	1	4	0	0	Orthographische Besonderheiten in alttibetischen Texten... . . . . xvi
3	31	0	german_prose_with_translit			none	1	4	0	0	Die Anordnung der Artikel... ......... een xvü
3	33	0	german_prose			none	0	2	0	0	Von HELGA UÜEBACH
3	35	0	german_prose_with_translit			none	1	2	0	0	Das tibetische Alphabet... . . . 2... › Como - - - - -„ - - - - - - - xx
3	36	0	german_prose_with_translit			none	2	3	0	0	Einfache Darstellung der alphabetischen Reihenfolge . . . . . . . . . :
3	37	0	german_prose_with_translit			none	1	2	0	0	Literatur- und Abkürzungsverzeichnisse. . . . , › - - - - nn 2111
3	38	0	german_prose_with_translit			none	1	4	0	0	Abkürzungen für Quellentexte und zitierte Werke... . . . . - . - . 5111
3	39	0	german_prose			none	0	1	0	0	Literaturverzeichnis . . . . - ,. . - - „ - - - - - - - - - - - - - - - - -. ¥11
3	40	0	german_prose_with_translit			none	1	1	0	0	Allgemeine Abkürzungen ......... nn , › › _ 11¥
